,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
0,Joel Embiid,JUMP_BALL,None,12:00,1,76ers,Celtics,0 - 0,0,N/A,N/A,N/A
1,Robert Covington,FG_MISS,None,11:40,1,76ers,Celtics,0 - 0,0,27,3,Jumper
2,Team,DEFENSIVE_REBOUND,None,11:40,1,Celtics,76ers,0 - 0,1,N/A,N/A,N/A
3,Jayson Tatum,FG_MISS,None,11:15,1,Celtics,76ers,0 - 0,1,26,3,Jumper
4,Dario Saric,DEFENSIVE_REBOUND,None,11:13,1,76ers,Celtics,0 - 0,0,N/A,N/A,N/A
5,Ben Simmons,TURNOVER,Gordon Hayward,11:08,1,76ers,Celtics,0 - 0,0,N/A,N/A,N/A
6,Jaylen Brown,FG_MISS,None,11:03,1,Celtics,76ers,0 - 0,1,-,3,Jumper
7,Ben Simmons,DEFENSIVE_REBOUND,None,10:58,1,76ers,Celtics,0 - 0,0,N/A,N/A,N/A
8,Joel Embiid,FG_ASSISTED,Ben Simmons,10:55,1,76ers,Celtics,2 - 0,0,-,3,Jumper
9,Jayson Tatum,FG_MISS,None,10:36,1,Celtics,76ers,2 - 0,1,0,2,Layup
10,Ben Simmons,DEFENSIVE_REBOUND,None,10:35,1,76ers,Celtics,2 - 0,0,N/A,N/A,N/A
11,Dario Saric,FG_MISS,None,10:32,1,76ers,Celtics,2 - 0,0,26,3,Jumper
12,Al Horford,DEFENSIVE_REBOUND,None,10:29,1,Celtics,76ers,2 - 0,1,N/A,N/A,N/A
13,Gordon Hayward,FG_MISS,None,10:22,1,Celtics,76ers,2 - 0,1,-,3,Jumper
14,Joel Embiid,DEFENSIVE_REBOUND,None,10:20,1,76ers,Celtics,2 - 0,0,N/A,N/A,N/A
15,Joel Embiid,FG_MISS,None,10:15,1,76ers,Celtics,2 - 0,0,0,2,Layup
16,Kyrie Irving,DEFENSIVE_REBOUND,None,10:12,1,Celtics,76ers,2 - 0,1,N/A,N/A,N/A
17,Jaylen Brown,FG_MISS,None,10:06,1,Celtics,76ers,2 - 0,1,-,3,Jumper
18,Dario Saric,DEFENSIVE_REBOUND,None,10:02,1,76ers,Celtics,2 - 0,0,N/A,N/A,N/A
19,Markelle Fultz,FG_MISS,None,9:58,1,76ers,Celtics,2 - 0,0,-,3,Jumper
20,Al Horford,DEFENSIVE_REBOUND,None,9:58,1,Celtics,76ers,2 - 0,1,N/A,N/A,N/A
21,Kyrie Irving,TURNOVER,None,9:55,1,Celtics,76ers,2 - 0,1,N/A,N/A,N/A
22,Joel Embiid,FG_MISS,Al Horford,9:36,1,Celtics,76ers,2 - 0,0,0,2,Layup
23,Joel Embiid,OFFENSIVE_REBOUND,None,9:35,1,76ers,Celtics,2 - 0,0,N/A,N/A,N/A
