,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
0,Bobby Portis,JUMP_BALL,None,12:00,1,Celtics,Wizards,0 - 0,1,N/A,N/A,N/A
1,Kyrie Irving,FG_UNASSISTED,None,11:45,1,Celtics,Wizards,0 - 2,1,22,3,Jumper
2,Tomas Satoransky,TURNOVER,Marcus Smart,11:35,1,Wizards,Celtics,0 - 2,0,N/A,N/A,N/A
3,Marcus Smart,FG_UNASSISTED,None,11:32,1,Celtics,Wizards,0 - 4,1,-,3,Jumper
4,Marcus Smart,FOUL_ON_FLOOR,None,11:07,1,Celtics,Wizards,0 - 4,1,N/A,N/A,N/A
5,Bradley Beal,FT_MISS,None,11:07,1,Wizards,Celtics,0 - 4,0,N/A,1,N/A
6,Team,OFFENSIVE_REBOUND,None,11:07,1,Wizards,Celtics,0 - 4,0,N/A,N/A,N/A
7,Bradley Beal,FT,None,11:07,1,Wizards,Celtics,1 - 4,0,N/A,1,N/A
8,Bobby Portis,FOUL_ON_FLOOR,None,10:53,1,Wizards,Celtics,1 - 4,0,N/A,N/A,N/A
9,Al Horford,FT,None,10:53,1,Celtics,Wizards,1 - 5,1,N/A,1,N/A
10,Al Horford,FT,None,10:53,1,Celtics,Wizards,1 - 6,1,N/A,1,N/A
11,Trevor Ariza,FG_MISS,None,10:41,1,Wizards,Celtics,1 - 6,0,11,3,Jumper
12,Al Horford,DEFENSIVE_REBOUND,None,10:40,1,Celtics,Wizards,1 - 6,1,N/A,N/A,N/A
13,Kyrie Irving,FG_MISS,None,10:24,1,Celtics,Wizards,1 - 6,1,-,3,Jumper
14,Bobby Portis,DEFENSIVE_REBOUND,None,10:22,1,Wizards,Celtics,1 - 6,0,N/A,N/A,N/A
15,Bradley Beal,FG_MISS,None,10:11,1,Wizards,Celtics,1 - 6,0,26,3,Jumper
16,Kyrie Irving,DEFENSIVE_REBOUND,None,10:09,1,Celtics,Wizards,1 - 6,1,N/A,N/A,N/A
17,Jayson Tatum,FG_ASSISTED,Kyrie Irving,10:04,1,Celtics,Wizards,1 - 8,1,0,2,Dunk
18,Team,Unknown,None,10:04,1,Wizards,Celtics,1 - 8,0,N/A,N/A,N/A
19,Bradley Beal,FG_MISS,None,9:51,1,Wizards,Celtics,1 - 8,0,21,3,Jumper
20,Jayson Tatum,DEFENSIVE_REBOUND,None,9:49,1,Celtics,Wizards,1 - 8,1,N/A,N/A,N/A
21,Marcus Smart,FG_MISS,None,9:27,1,Celtics,Wizards,1 - 8,1,0,2,Layup
22,Team,DEFENSIVE_REBOUND,None,9:27,1,Wizards,Celtics,1 - 8,0,N/A,N/A,N/A
23,Marcus Morris,FOUL_ON_FLOOR,None,9:27,1,Celtics,Wizards,1 - 8,1,N/A,N/A,N/A
24,Bobby Portis,TURNOVER,None,9:17,1,Wizards,Celtics,1 - 8,0,N/A,N/A,N/A
25,Al Horford,FG_UNASSISTED,None,9:02,1,Celtics,Wizards,1 - 10,1, ,3,Jumper
26,Bobby Portis,FG_MISS,None,8:42,1,Wizards,Celtics,1 - 10,0,21,3,Jumper
27,Jayson Tatum,DEFENSIVE_REBOUND,None,8:40,1,Celtics,Wizards,1 - 10,1,N/A,N/A,N/A
28,Jayson Tatum,FG_MISS,None,8:32,1,Celtics,Wizards,1 - 10,1,8,3,Jumper
29,Bobby Portis,DEFENSIVE_REBOUND,None,8:30,1,Wizards,Celtics,1 - 10,0,N/A,N/A,N/A
30,Jeff Green,FG_MISS,None,8:24,1,Wizards,Celtics,1 - 10,0,26,3,Jumper
31,Trevor Ariza,OFFENSIVE_REBOUND,None,8:20,1,Wizards,Celtics,1 - 10,0,N/A,N/A,N/A
32,Bradley Beal,FG_MISS,None,8:18,1,Wizards,Celtics,1 - 10,0,20,3,Jumper
