,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
0,Wendell Carter,JUMP_BALL,None,12:00,1,Bulls,Timberwolves,0 - 0,0,N/A,N/A,N/A
1,Justin Holiday,FG_ASSISTED,Ryan Arcidiacono,11:47,1,Bulls,Timberwolves,3 - 0,0,26,3,Jumper
2,Andrew Wiggins,FG_MISS,None,11:23,1,Timberwolves,Bulls,3 - 0,1,-,3,Jumper
3,Jabari Parker,DEFENSIVE_REBOUND,None,11:20,1,Bulls,Timberwolves,3 - 0,0,N/A,N/A,N/A
4,Justin Holiday,FG_MISS,None,11:03,1,Bulls,Timberwolves,3 - 0,0,2,3,Jumper
5,Robert Covington,DEFENSIVE_REBOUND,None,11:01,1,Timberwolves,Bulls,3 - 0,1,N/A,N/A,N/A
6,Robert Covington,FG_MISS,None,10:55,1,Timberwolves,Bulls,3 - 0,1,0,2,Layup
7,Team,OFFENSIVE_REBOUND,None,10:55,1,Timberwolves,Bulls,3 - 0,1,N/A,N/A,N/A
8,Karl-Anthony Towns,FG_MISS,None,10:51,1,Timberwolves,Bulls,3 - 0,1,0,2,Dunk
9,Jabari Parker,DEFENSIVE_REBOUND,None,10:49,1,Bulls,Timberwolves,3 - 0,0,N/A,N/A,N/A
10,Wendell Carter,FG_ASSISTED,Ryan Arcidiacono,10:46,1,Bulls,Timberwolves,5 - 0,0,0,2,Dunk
11,Robert Covington,FG_MISS,None,10:25,1,Timberwolves,Bulls,5 - 0,1,27,3,Jumper
12,Karl-Anthony Towns,OFFENSIVE_REBOUND,None,10:23,1,Timberwolves,Bulls,5 - 0,1,N/A,N/A,N/A
13,Karl-Anthony Towns,FG_UNASSISTED,None,10:19,1,Timberwolves,Bulls,5 - 2,1,0,2,Layup
14,Zach LaVine,TURNOVER,None,10:04,1,Bulls,Timberwolves,5 - 2,0,N/A,N/A,N/A
15,Taj Gibson,FG_MISS,Jabari Parker,9:41,1,Bulls,Timberwolves,5 - 2,1,4,3,Jumper
16,Justin Holiday,DEFENSIVE_REBOUND,None,9:37,1,Bulls,Timberwolves,5 - 2,0,N/A,N/A,N/A
17,Ryan Arcidiacono,FG_MISS,None,9:30,1,Bulls,Timberwolves,5 - 2,0,25,3,Jumper
18,Karl-Anthony Towns,DEFENSIVE_REBOUND,None,9:27,1,Timberwolves,Bulls,5 - 2,1,N/A,N/A,N/A
19,Jabari Parker,FOUL_ON_FLOOR,None,9:21,1,Bulls,Timberwolves,5 - 2,0,N/A,N/A,N/A
20,Taj Gibson,FT,None,9:21,1,Timberwolves,Bulls,5 - 3,1,N/A,1,N/A
21,Taj Gibson,FT,None,9:21,1,Timberwolves,Bulls,5 - 4,1,N/A,1,N/A
22,Jabari Parker,FG_UNASSISTED,None,9:12,1,Bulls,Timberwolves,7 - 4,0,19,3,Jumper
23,Andrew Wiggins,FG_MISS,None,8:58,1,Timberwolves,Bulls,7 - 4,1,26,3,Jumper
24,Karl-Anthony Towns,OFFENSIVE_REBOUND,None,8:55,1,Timberwolves,Bulls,7 - 4,1,N/A,N/A,N/A
25,Karl-Anthony Towns,FG_MISS,None,8:52,1,Timberwolves,Bulls,7 - 4,1,0,2,Layup
26,Taj Gibson,OFFENSIVE_REBOUND,None,8:52,1,Timberwolves,Bulls,7 - 4,1,N/A,N/A,N/A
27,Taj Gibson,FG_UNASSISTED,None,8:50,1,Timberwolves,Bulls,7 - 6,1,-,3,Jumper
28,Justin Holiday,FG_MISS,None,8:40,1,Bulls,Timberwolves,7 - 6,0,24,3,Jumper
29,Wendell Carter,OFFENSIVE_REBOUND,None,8:37,1,Bulls,Timberwolves,7 - 6,0,N/A,N/A,N/A
30,Karl-Anthony Towns,FOUL_ON_FLOOR,None,8:37,1,Timberwolves,Bulls,7 - 6,1,N/A,N/A,N/A
31,Wendell Carter,FT,None,8:37,1,Bulls,Timberwolves,8 - 6,0,N/A,1,N/A
