,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
0,DeAndre Jordan,JUMP_BALL,None,12:00,1,Mavericks,Pacers,0 - 0,0,N/A,N/A,N/A
1,Myles Turner,FOUL_ON_FLOOR,None,11:49,1,Pacers,Mavericks,0 - 0,1,N/A,N/A,N/A
2,Wesley Matthews,TURNOVER,Myles Turner,11:37,1,Mavericks,Pacers,0 - 0,0,N/A,N/A,N/A
3,DeAndre Jordan,FOUL_ON_FLOOR,None,11:30,1,Mavericks,Pacers,0 - 0,0,N/A,N/A,N/A
4,Bojan Bogdanovic,FT,None,11:30,1,Pacers,Mavericks,0 - 1,1,N/A,1,N/A
5,Bojan Bogdanovic,FT,None,11:30,1,Pacers,Mavericks,0 - 2,1,N/A,1,N/A
6,Luka Doncic,FG_MISS,None,11:13,1,Mavericks,Pacers,0 - 2,0,31,3,Jumper
7,DeAndre Jordan,OFFENSIVE_REBOUND,None,11:09,1,Mavericks,Pacers,0 - 2,0,N/A,N/A,N/A
8,DeAndre Jordan,FG_UNASSISTED,None,11:08,1,Mavericks,Pacers,2 - 2,0,0,2,Dunk
9,Darren Collison,FG_MISS,None,10:51,1,Pacers,Mavericks,2 - 2,1,24,3,Jumper
10,Luka Doncic,DEFENSIVE_REBOUND,None,10:49,1,Mavericks,Pacers,2 - 2,0,N/A,N/A,N/A
11,Luka Doncic's,FG_MISS,Darren Collison,10:41,1,Pacers,Mavericks,2 - 2,0,0,2,Layup
12,Darren Collison,DEFENSIVE_REBOUND,None,10:38,1,Pacers,Mavericks,2 - 2,1,N/A,N/A,N/A
13,Bojan Bogdanovic,FG_MISS,Maximilian Kleber,10:37,1,Mavericks,Pacers,2 - 2,1,0,2,Layup
14,Maximilian Kleber,JUMP_BALL,None,10:35,1,Mavericks,Pacers,2 - 2,0,N/A,N/A,N/A
15,Team,DEFENSIVE_REBOUND,None,10:35,1,Mavericks,Pacers,2 - 2,0,N/A,N/A,N/A
16,Harrison Barnes,FG_ASSISTED,Wesley Matthews,10:22,1,Mavericks,Pacers,4 - 2,0,4,3,Jumper
17,Thaddeus Young,FG_ASSISTED,Darren Collison,10:05,1,Pacers,Mavericks,4 - 4,1,0,2,Layup
18,Luka Doncic,FG_UNASSISTED,None,9:46,1,Mavericks,Pacers,6 - 4,0,6,3,Jumper
19,Victor Oladipo,FG_MISS,Maximilian Kleber,9:30,1,Mavericks,Pacers,6 - 4,1,0,2,Layup
20,Victor Oladipo,OFFENSIVE_REBOUND,None,9:26,1,Pacers,Mavericks,6 - 4,1,N/A,N/A,N/A
21,Myles Turner,FG_MISS,None,9:19,1,Pacers,Mavericks,6 - 4,1,14,3,Jumper
22,DeAndre Jordan,DEFENSIVE_REBOUND,None,9:16,1,Mavericks,Pacers,6 - 4,0,N/A,N/A,N/A
23,Luka Doncic,FG_MISS,None,9:09,1,Mavericks,Pacers,6 - 4,0,-,3,Jumper
24,Darren Collison,DEFENSIVE_REBOUND,None,9:07,1,Pacers,Mavericks,6 - 4,1,N/A,N/A,N/A
25,Darren Collison,TURNOVER,Luka Doncic,8:58,1,Pacers,Mavericks,6 - 4,1,N/A,N/A,N/A
26,DeAndre Jordan,FG_ASSISTED,Luka Doncic,8:49,1,Mavericks,Pacers,8 - 4,0,4,3,Jumper
27,Victor Oladipo,FG_MISS,None,8:37,1,Pacers,Mavericks,8 - 4,1,19,3,Jumper
28,DeAndre Jordan,DEFENSIVE_REBOUND,None,8:35,1,Mavericks,Pacers,8 - 4,0,N/A,N/A,N/A
29,Wesley Matthews,FG_UNASSISTED,None,8:23,1,Mavericks,Pacers,10 - 4,0,-,3,Jumper
30,Darren Collison,FG_UNASSISTED,None,7:59,1,Pacers,Mavericks,10 - 6,1,16,3,Jumper
31,Wesley Matthews,FG_ASSISTED,Luka Doncic,7:42,1,Mavericks,Pacers,13 - 6,0,28,3,Jumper
32,Myles Turner,FG_UNASSISTED,None,7:21,1,Pacers,Mavericks,13 - 8,1,8,3,Jumper
33,Victor Oladipo,FOUL_ON_FLOOR,None,7:01,1,Pacers,Mavericks,13 - 8,1,N/A,N/A,N/A
34,Wesley Matthews,TURNOVER,None,6:52,1,Mavericks,Pacers,13 - 8,0,N/A,N/A,N/A
35,Team,Unknown,None,6:52,1,Pacers,Mavericks,13 - 8,1,N/A,N/A,N/A
36,Jalen Brunson,SUBSTITUTION,Doncic Luka,6:52,1,Mavericks,Pacers,13 - 8,0,N/A,N/A,N/A
37,Myles Turner,FG_ASSISTED,Victor Oladipo,6:34,1,Pacers,Mavericks,13 - 10,1,0,2,Dunk
38,Harrison Barnes,FG_MISS,None,6:15,1,Mavericks,Pacers,13 - 10,0,11,3,Jumper
39,DeAndre Jordan,OFFENSIVE_REBOUND,None,6:14,1,Mavericks,Pacers,13 - 10,0,N/A,N/A,N/A
40,DeAndre Jordan,FG_MISS,None,6:14,1,Mavericks,Pacers,13 - 10,0,2,3,Jumper
41,Victor Oladipo,DEFENSIVE_REBOUND,None,6:13,1,Pacers,Mavericks,13 - 10,1,N/A,N/A,N/A
42,Victor Oladipo,FG_MISS,None,6:07,1,Pacers,Mavericks,13 - 10,1, ,3,Jumper
