,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
0,Andre Drummond,JUMP_BALL,None,12:00,1,Lakers,Pistons,0 - 0,1,N/A,N/A,N/A
1,Brandon Ingram,FG_UNASSISTED,None,11:36,1,Lakers,Pistons,0 - 2,1,0,2,Dunk
2,Blake Griffin,FG_MISS,None,11:14,1,Pistons,Lakers,0 - 2,0,0,2,Layup
3,Andre Drummond,OFFENSIVE_REBOUND,None,11:14,1,Pistons,Lakers,0 - 2,0,N/A,N/A,N/A
4,Kyle Kuzma,FOUL_ON_FLOOR,None,11:14,1,Lakers,Pistons,0 - 2,1,N/A,N/A,N/A
5,Andre Drummond,FT,None,11:14,1,Pistons,Lakers,1 - 2,0,N/A,1,N/A
6,Andre Drummond,FT_MISS,None,11:14,1,Pistons,Lakers,1 - 2,0,N/A,1,N/A
7,JaVale McGee,DEFENSIVE_REBOUND,None,11:12,1,Lakers,Pistons,1 - 2,1,N/A,N/A,N/A
8,Kyle Kuzma,FG_UNASSISTED,None,10:56,1,Lakers,Pistons,1 - 4,1,4,3,Jumper
9,Reggie Bullock,FG_ASSISTED,Blake Griffin,10:47,1,Pistons,Lakers,4 - 4,0,27,3,Jumper
10,Brandon Ingram,FG_MISS,None,10:33,1,Lakers,Pistons,4 - 4,1,14,3,Jumper
11,Brandon Ingram,OFFENSIVE_REBOUND,None,10:31,1,Lakers,Pistons,4 - 4,1,N/A,N/A,N/A
12,Josh Hart,FG_ASSISTED,Lonzo Ball,10:27,1,Lakers,Pistons,4 - 6,1,0,2,Layup
13,Andre Drummond,FG_ASSISTED,Reggie Jackson,10:02,1,Pistons,Lakers,6 - 6,0,3,3,Jumper
14,Brandon Ingram,TURNOVER,None,9:58,1,Lakers,Pistons,6 - 6,1,N/A,N/A,N/A
15,Brandon Ingram,TURNOVER,None,9:58,1,Lakers,Pistons,6 - 6,1,N/A,N/A,N/A
16,Josh Hart,FOUL_ON_FLOOR,None,9:51,1,Lakers,Pistons,6 - 6,1,N/A,N/A,N/A
17,shot clock,TURNOVER,None,9:34,1,Pistons,Lakers,6 - 6,0,N/A,N/A,N/A
18,Kyle Kuzma,FG_MISS,None,9:31,1,Lakers,Pistons,6 - 6,1,25,3,Jumper
19,Team,OFFENSIVE_REBOUND,None,9:29,1,Lakers,Pistons,6 - 6,1,N/A,N/A,N/A
20,Lonzo Ball,FG_MISS,None,9:25,1,Lakers,Pistons,6 - 6,1,24,3,Jumper
21,Andre Drummond,DEFENSIVE_REBOUND,None,9:22,1,Pistons,Lakers,6 - 6,0,N/A,N/A,N/A
22,Andre Drummond,FG_MISS,None,9:16,1,Pistons,Lakers,6 - 6,0,-,3,Jumper
23,JaVale McGee,DEFENSIVE_REBOUND,None,9:13,1,Lakers,Pistons,6 - 6,1,N/A,N/A,N/A
24,Lonzo Ball,FG_MISS,None,9:01,1,Lakers,Pistons,6 - 6,1,26,3,Jumper
25,Reggie Bullock,DEFENSIVE_REBOUND,None,8:59,1,Pistons,Lakers,6 - 6,0,N/A,N/A,N/A
26,Reggie Jackson,FG_MISS,None,8:47,1,Pistons,Lakers,6 - 6,0,27,3,Jumper
27,Andre Drummond,OFFENSIVE_REBOUND,None,8:43,1,Pistons,Lakers,6 - 6,0,N/A,N/A,N/A
28,Andre Drummond,FG_MISS,None,8:43,1,Pistons,Lakers,6 - 6,0,-,3,Jumper
29,Lonzo Ball,DEFENSIVE_REBOUND,None,8:42,1,Lakers,Pistons,6 - 6,1,N/A,N/A,N/A
30,Kyle Kuzma,FG_ASSISTED,Lonzo Ball,8:25,1,Lakers,Pistons,6 - 8,1,0,2,Layup
31,Blake Griffin,FG_MISS,None,8:15,1,Pistons,Lakers,6 - 8,0,26,3,Jumper
32,Lonzo Ball,DEFENSIVE_REBOUND,None,8:11,1,Lakers,Pistons,6 - 8,1,N/A,N/A,N/A
33,Josh Hart,FG_MISS,None,8:05,1,Lakers,Pistons,6 - 8,1,27,3,Jumper
34,Andre Drummond,DEFENSIVE_REBOUND,None,8:03,1,Pistons,Lakers,6 - 8,0,N/A,N/A,N/A
35,Andre Drummond,FG_MISS,None,7:41,1,Pistons,Lakers,6 - 8,0,27,3,Jumper
36,Brandon Ingram,DEFENSIVE_REBOUND,None,7:39,1,Lakers,Pistons,6 - 8,1,N/A,N/A,N/A
37,Kyle Kuzma,FG_MISS,None,7:30,1,Lakers,Pistons,6 - 8,1,27,3,Jumper
38,Andre Drummond,DEFENSIVE_REBOUND,None,7:28,1,Pistons,Lakers,6 - 8,0,N/A,N/A,N/A
39,JaVale McGee,FOUL_TECHNICAL,None,7:18,1,Lakers,Pistons,6 - 8,1,N/A,N/A,N/A
40,Reggie Jackson,FT,None,7:18,1,Pistons,Lakers,7 - 8,0,N/A,1,N/A
41,Blake Griffin,FG_MISS,None,7:10,1,Pistons,Lakers,7 - 8,0,27,3,Jumper
42,Lonzo Ball,DEFENSIVE_REBOUND,None,7:06,1,Lakers,Pistons,7 - 8,1,N/A,N/A,N/A
43,Kyle Kuzma,FG_ASSISTED,Lonzo Ball,7:04,1,Lakers,Pistons,7 - 10,1, ,3,Jumper
44,Blake Griffin,FG_ASSISTED,Reggie Jackson,6:53,1,Pistons,Lakers,9 - 10,0,3,3,Jumper
45,Kyle Kuzma,FG_MISS,None,6:35,1,Lakers,Pistons,9 - 10,1,28,3,Jumper
46,Reggie Jackson,DEFENSIVE_REBOUND,None,6:32,1,Pistons,Lakers,9 - 10,0,N/A,N/A,N/A
47,Reggie Jackson,FG_UNASSISTED,None,6:28,1,Pistons,Lakers,12 - 10,0,26,3,Jumper
48,Team,Unknown,None,6:27,1,Lakers,Pistons,12 - 10,1,N/A,N/A,N/A
49,Jose Calderon,SUBSTITUTION,Jackson Reggie,6:27,1,Pistons,Lakers,12 - 10,0,N/A,N/A,N/A
50,Lonzo Ball,TURNOVER,Andre Drummond,6:06,1,Lakers,Pistons,12 - 10,1,N/A,N/A,N/A
51,Bruce Brown,FG_MISS,None,5:50,1,Pistons,Lakers,12 - 10,0,25,3,Jumper
52,Josh Hart,DEFENSIVE_REBOUND,None,5:47,1,Lakers,Pistons,12 - 10,1,N/A,N/A,N/A
53,Kyle Kuzma,FG_ASSISTED,JaVale McGee,5:42,1,Lakers,Pistons,12 - 12,1,0,2,Dunk
54,Lonzo Ball,FOUL_TECHNICAL,None,5:21,1,Lakers,Pistons,12 - 12,1,N/A,N/A,N/A
55,Reggie Bullock,FT_MISS,None,5:21,1,Pistons,Lakers,12 - 12,0,N/A,1,N/A
56,Team,OFFENSIVE_REBOUND,None,5:21,1,Pistons,Lakers,12 - 12,0,N/A,N/A,N/A
57,Ivica Zubac,SUBSTITUTION,McGee JaVale,5:21,1,Lakers,Pistons,12 - 12,1,N/A,N/A,N/A
58,Luke Kennard,SUBSTITUTION,Bullock Reggie,5:21,1,Pistons,Lakers,12 - 12,0,N/A,N/A,N/A
59,Ivica Zubac,FOUL_ON_FLOOR,None,5:17,1,Lakers,Pistons,12 - 12,1,N/A,N/A,N/A
60,Jose Calderon,FG_MISS,None,5:07,1,Pistons,Lakers,12 - 12,0,27,3,Jumper
61,Brandon Ingram,DEFENSIVE_REBOUND,None,5:04,1,Lakers,Pistons,12 - 12,1,N/A,N/A,N/A
62,Bruce Brown,FOUL_ON_FLOOR,None,5:02,1,Pistons,Lakers,12 - 12,0,N/A,N/A,N/A
63,Stanley Johnson,SUBSTITUTION,Brown Bruce,5:02,1,Pistons,Lakers,12 - 12,0,N/A,N/A,N/A
64,Andre Drummond,FOUL_ON_FLOOR,None,4:46,1,Pistons,Lakers,12 - 12,0,N/A,N/A,N/A
65,Brandon Ingram,FT,None,4:46,1,Lakers,Pistons,12 - 13,1,N/A,1,N/A
66,Kentavious Caldwell-Pope,SUBSTITUTION,Ball Lonzo,4:46,1,Lakers,Pistons,12 - 13,1,N/A,N/A,N/A
67,Brandon Ingram,FT,None,4:46,1,Lakers,Pistons,12 - 14,1,N/A,1,N/A
68,Blake Griffin,FG_MISS,None,4:22,1,Pistons,Lakers,12 - 14,0,27,3,Jumper
69,Brandon Ingram,DEFENSIVE_REBOUND,None,4:19,1,Lakers,Pistons,12 - 14,1,N/A,N/A,N/A
70,Kyle Kuzma,FG_ASSISTED,Brandon Ingram,4:17,1,Lakers,Pistons,12 - 16,1,0,2,Dunk
71,Team,Unknown,None,4:17,1,Pistons,Lakers,12 - 16,0,N/A,N/A,N/A
72,Stanley Johnson,FG_UNASSISTED,None,3:57,1,Pistons,Lakers,14 - 16,0,12,3,Jumper
73,Kyle Kuzma,FG_MISS,None,3:32,1,Lakers,Pistons,14 - 16,1,26,3,Jumper
74,Luke Kennard,DEFENSIVE_REBOUND,None,3:30,1,Pistons,Lakers,14 - 16,0,N/A,N/A,N/A
75,Ivica Zubac,FOUL_ON_FLOOR,None,3:25,1,Lakers,Pistons,14 - 16,1,N/A,N/A,N/A
76,Blake Griffin,FT,None,3:25,1,Pistons,Lakers,15 - 16,0,N/A,1,N/A
77,Blake Griffin,FT,None,3:25,1,Pistons,Lakers,16 - 16,0,N/A,1,N/A
78,Josh Hart,TURNOVER,Stanley Johnson,3:07,1,Lakers,Pistons,16 - 16,1,N/A,N/A,N/A
79,Blake Griffin,FG_MISS,None,3:01,1,Pistons,Lakers,16 - 16,0,27,3,Jumper
80,Brandon Ingram,DEFENSIVE_REBOUND,None,3:00,1,Lakers,Pistons,16 - 16,1,N/A,N/A,N/A
81,Andre Drummond,FOUL_ON_FLOOR,None,3:00,1,Pistons,Lakers,16 - 16,0,N/A,N/A,N/A
82,Brandon Ingram,FG_MISS,None,2:47,1,Lakers,Pistons,16 - 16,1,0,2,Layup
83,Brandon Ingram,OFFENSIVE_REBOUND,None,2:43,1,Lakers,Pistons,16 - 16,1,N/A,N/A,N/A
84,Josh Hart,FG_MISS,None,2:41,1,Lakers,Pistons,16 - 16,1, ,3,Jumper
85,Andre Drummond,DEFENSIVE_REBOUND,None,2:39,1,Pistons,Lakers,16 - 16,0,N/A,N/A,N/A
86,Blake Griffin,FG_UNASSISTED,None,2:35,1,Pistons,Lakers,18 - 16,0, ,3,Jumper
87,Jose Calderon,FOUL_ON_FLOOR,None,2:28,1,Pistons,Lakers,18 - 16,0,N/A,N/A,N/A
88,Lance Stephenson,SUBSTITUTION,Hart Josh,2:28,1,Lakers,Pistons,18 - 16,1,N/A,N/A,N/A
