,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
0,Jonas Valanciunas,JUMP_BALL,None,12:00,1,Clippers,Grizzlies,0 - 0,1,N/A,N/A,N/A
1,Shai Gilgeous-Alexander,FG_MISS,None,11:43,1,Clippers,Grizzlies,0 - 0,1,18,3,Jumper
2,Delon Wright,DEFENSIVE_REBOUND,None,11:38,1,Grizzlies,Clippers,0 - 0,0,N/A,N/A,N/A
3,Jonas Valanciunas,FG_UNASSISTED,None,11:23,1,Grizzlies,Clippers,2 - 0,0,5,3,Jumper
4,Ivica Zubac,TURNOVER,Delon Wright,11:09,1,Clippers,Grizzlies,2 - 0,1,N/A,N/A,N/A
5,Delon Wright,TURNOVER,Shai Gilgeous-Alexander,11:05,1,Grizzlies,Clippers,2 - 0,0,N/A,N/A,N/A
6,Danilo Gallinari,FG_ASSISTED,Patrick Beverley,10:52,1,Clippers,Grizzlies,2 - 2,1,0,2,Layup
7,Tyler Dorsey,FG_MISS,None,10:36,1,Grizzlies,Clippers,2 - 2,0,19,3,Jumper
8,Danilo Gallinari,DEFENSIVE_REBOUND,None,10:34,1,Clippers,Grizzlies,2 - 2,1,N/A,N/A,N/A
9,Bruno Caboclo,FOUL_ON_FLOOR,None,10:25,1,Grizzlies,Clippers,2 - 2,0,N/A,N/A,N/A
10,Danilo Gallinari,FT,None,10:25,1,Clippers,Grizzlies,2 - 3,1,N/A,1,N/A
11,Danilo Gallinari,FT,None,10:25,1,Clippers,Grizzlies,2 - 4,1,N/A,1,N/A
12,Jonas Valanciunas,FG_MISS,None,10:06,1,Grizzlies,Clippers,2 - 4,0,7,3,Jumper
13,Shai Gilgeous-Alexander,DEFENSIVE_REBOUND,None,10:04,1,Clippers,Grizzlies,2 - 4,1,N/A,N/A,N/A
14,Danilo Gallinari,FG_MISS,None,9:57,1,Clippers,Grizzlies,2 - 4,1,19,3,Jumper
15,Patrick Beverley,OFFENSIVE_REBOUND,None,9:54,1,Clippers,Grizzlies,2 - 4,1,N/A,N/A,N/A
16,Shai Gilgeous-Alexander,FG_MISS,None,9:48,1,Clippers,Grizzlies,2 - 4,1,-,3,Jumper
17,Delon Wright,DEFENSIVE_REBOUND,None,9:44,1,Grizzlies,Clippers,2 - 4,0,N/A,N/A,N/A
18,Tyler Dorsey,FG_MISS,None,9:27,1,Grizzlies,Clippers,2 - 4,0,19,3,Jumper
19,Landry Shamet,DEFENSIVE_REBOUND,None,9:23,1,Clippers,Grizzlies,2 - 4,1,N/A,N/A,N/A
20,Shai Gilgeous-Alexander,FG_ASSISTED,Landry Shamet,9:19,1,Clippers,Grizzlies,2 - 6,1,-,3,Jumper
21,Jonas Valanciunas,FG_MISS,None,8:53,1,Grizzlies,Clippers,2 - 6,0,-,3,Jumper
22,Danilo Gallinari,DEFENSIVE_REBOUND,None,8:51,1,Clippers,Grizzlies,2 - 6,1,N/A,N/A,N/A
23,Patrick Beverley,TURNOVER,None,8:49,1,Clippers,Grizzlies,2 - 6,1,N/A,N/A,N/A
24,Justin Holiday,FG_MISS,None,8:40,1,Grizzlies,Clippers,2 - 6,0,15,3,Jumper
25,Ivica Zubac,DEFENSIVE_REBOUND,None,8:37,1,Clippers,Grizzlies,2 - 6,1,N/A,N/A,N/A
26,Ivica Zubac,FG_ASSISTED,Patrick Beverley,8:22,1,Clippers,Grizzlies,2 - 8,1,-,3,Jumper
27,Delon Wright's,FG_MISS,Ivica Zubac,8:09,1,Clippers,Grizzlies,2 - 8,0,0,2,Layup
28,Danilo Gallinari,DEFENSIVE_REBOUND,None,8:06,1,Clippers,Grizzlies,2 - 8,1,N/A,N/A,N/A
29,Patrick Beverley,TURNOVER,Jonas Valanciunas,8:01,1,Clippers,Grizzlies,2 - 8,1,N/A,N/A,N/A
30,Danilo Gallinari,FOUL_ON_FLOOR,None,7:48,1,Clippers,Grizzlies,2 - 8,1,N/A,N/A,N/A
31,Landry Shamet,FOUL_ON_FLOOR,None,7:39,1,Clippers,Grizzlies,2 - 8,1,N/A,N/A,N/A
32,Delon Wright,FOUL_ON_FLOOR,None,7:38,1,Grizzlies,Clippers,2 - 8,0,N/A,N/A,N/A
33,Delon Wright,TURNOVER,None,7:38,1,Grizzlies,Clippers,2 - 8,0,N/A,N/A,N/A
34,Bruno Caboclo,FOUL_ON_FLOOR,None,7:23,1,Grizzlies,Clippers,2 - 8,0,N/A,N/A,N/A
35,Danilo Gallinari,FT,None,7:23,1,Clippers,Grizzlies,2 - 9,1,N/A,1,N/A
36,Julian Washburn,SUBSTITUTION,Caboclo Bruno,7:23,1,Grizzlies,Clippers,2 - 9,0,N/A,N/A,N/A
37,Danilo Gallinari,FT,None,7:23,1,Clippers,Grizzlies,2 - 10,1,N/A,1,N/A
38,Shai Gilgeous-Alexander,FOUL_TECHNICAL,None,7:08,1,Clippers,Grizzlies,2 - 10,1,N/A,N/A,N/A
39,Justin Holiday,FT,None,7:08,1,Grizzlies,Clippers,3 - 10,0,N/A,1,N/A
40,Jonas Valanciunas,TURNOVER,None,7:00,1,Grizzlies,Clippers,3 - 10,0,N/A,N/A,N/A
41,Danilo Gallinari,FG_MISS,None,6:39,1,Clippers,Grizzlies,3 - 10,1, ,3,Jumper
42,Jonas Valanciunas,DEFENSIVE_REBOUND,None,6:36,1,Grizzlies,Clippers,3 - 10,0,N/A,N/A,N/A
43,Jonas Valanciunas,FG_MISS,None,6:22,1,Grizzlies,Clippers,3 - 10,0, ,3,Jumper
44,Danilo Gallinari,DEFENSIVE_REBOUND,None,6:20,1,Clippers,Grizzlies,3 - 10,1,N/A,N/A,N/A
45,Landry Shamet,FG_ASSISTED,Danilo Gallinari,6:17,1,Clippers,Grizzlies,3 - 13,1,25,3,Jumper
46,Chandler Parsons,SUBSTITUTION,Dorsey Tyler,6:15,1,Grizzlies,Clippers,3 - 13,0,N/A,N/A,N/A
47,Team,Unknown,None,6:15,1,Grizzlies,Clippers,3 - 13,0,N/A,N/A,N/A
48,Ivica Zubac,FOUL_ON_FLOOR,None,5:54,1,Clippers,Grizzlies,3 - 13,1,N/A,N/A,N/A
