,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
0,Marc Gasol,JUMP_BALL,None,12:00,1,Timberwolves,Grizzlies,0 - 0,1,N/A,N/A,N/A
1,Jeff Teague,FG_UNASSISTED,None,11:48,1,Timberwolves,Grizzlies,0 - 2,1,11,3,Jumper
2,Jaren Jackson,FG_ASSISTED,Mike Conley,11:21,1,Grizzlies,Timberwolves,2 - 2,0,6,3,Jumper
3,Andrew Wiggins,FG_MISS,None,11:06,1,Timberwolves,Grizzlies,2 - 2,1,22,3,Jumper
4,Garrett Temple,DEFENSIVE_REBOUND,None,11:03,1,Grizzlies,Timberwolves,2 - 2,0,N/A,N/A,N/A
5,Marc Gasol,TURNOVER,Robert Covington,10:49,1,Grizzlies,Timberwolves,2 - 2,0,N/A,N/A,N/A
6,Karl-Anthony Towns,FG_MISS,Marc Gasol,10:35,1,Grizzlies,Timberwolves,2 - 2,1,7,3,Jumper
7,Jaren Jackson,DEFENSIVE_REBOUND,None,10:35,1,Grizzlies,Timberwolves,2 - 2,0,N/A,N/A,N/A
8,Kyle Anderson,FG_ASSISTED,Marc Gasol,10:21,1,Grizzlies,Timberwolves,4 - 2,0,0,2,Layup
9,Jeff Teague,FG_MISS,None,10:12,1,Timberwolves,Grizzlies,4 - 2,1,17,3,Jumper
10,Marc Gasol,DEFENSIVE_REBOUND,None,10:08,1,Grizzlies,Timberwolves,4 - 2,0,N/A,N/A,N/A
11,Kyle Anderson,FG_MISS,None,9:48,1,Grizzlies,Timberwolves,4 - 2,0,23,3,Jumper
12,Karl-Anthony Towns,DEFENSIVE_REBOUND,None,9:45,1,Timberwolves,Grizzlies,4 - 2,1,N/A,N/A,N/A
13,Taj Gibson,TURNOVER,Marc Gasol,9:33,1,Timberwolves,Grizzlies,4 - 2,1,N/A,N/A,N/A
14,Karl-Anthony Towns,FOUL_ON_FLOOR,None,9:28,1,Timberwolves,Grizzlies,4 - 2,1,N/A,N/A,N/A
15,Garrett Temple,FG_MISS,None,9:22,1,Grizzlies,Timberwolves,4 - 2,0,25,3,Jumper
16,Karl-Anthony Towns,DEFENSIVE_REBOUND,None,9:19,1,Timberwolves,Grizzlies,4 - 2,1,N/A,N/A,N/A
17,Andrew Wiggins,TURNOVER,Kyle Anderson,9:10,1,Timberwolves,Grizzlies,4 - 2,1,N/A,N/A,N/A
18,Jaren Jackson,FG_MISS,None,9:04,1,Grizzlies,Timberwolves,4 - 2,0,-,3,Jumper
19,Karl-Anthony Towns,DEFENSIVE_REBOUND,None,9:01,1,Timberwolves,Grizzlies,4 - 2,1,N/A,N/A,N/A
20,Taj Gibson,FG_MISS,None,8:52,1,Timberwolves,Grizzlies,4 - 2,1,5,3,Jumper
21,Team,DEFENSIVE_REBOUND,None,8:51,1,Grizzlies,Timberwolves,4 - 2,0,N/A,N/A,N/A
22,Mike Conley,FG_MISS,None,8:30,1,Grizzlies,Timberwolves,4 - 2,0,14,3,Jumper
23,Marc Gasol,OFFENSIVE_REBOUND,None,8:26,1,Grizzlies,Timberwolves,4 - 2,0,N/A,N/A,N/A
24,Garrett Temple,FG_MISS,None,8:21,1,Grizzlies,Timberwolves,4 - 2,0,0,2,Layup
25,Karl-Anthony Towns,DEFENSIVE_REBOUND,None,8:19,1,Timberwolves,Grizzlies,4 - 2,1,N/A,N/A,N/A
26,Robert Covington,FG_ASSISTED,Jeff Teague,8:12,1,Timberwolves,Grizzlies,4 - 5,1,-,3,Jumper
27,Kyle Anderson,TURNOVER,Robert Covington,8:00,1,Grizzlies,Timberwolves,4 - 5,0,N/A,N/A,N/A
28,Jeff Teague,TURNOVER,Kyle Anderson,7:53,1,Timberwolves,Grizzlies,4 - 5,1,N/A,N/A,N/A
29,Mike Conley,FG_ASSISTED,Kyle Anderson,7:49,1,Grizzlies,Timberwolves,6 - 5,0,-,3,Jumper
30,Andrew Wiggins,TURNOVER,None,7:35,1,Timberwolves,Grizzlies,6 - 5,1,N/A,N/A,N/A
31,Mike Conley,TURNOVER,Taj Gibson,7:27,1,Grizzlies,Timberwolves,6 - 5,0,N/A,N/A,N/A
32,Taj Gibson,FG_ASSISTED,Jeff Teague,7:22,1,Timberwolves,Grizzlies,6 - 7,1,0,2,Dunk
33,Kyle Anderson,FG_UNASSISTED,None,7:02,1,Grizzlies,Timberwolves,8 - 7,0,0,2,Layup
34,Jeff Teague,TURNOVER,None,6:50,1,Timberwolves,Grizzlies,8 - 7,1,N/A,N/A,N/A
