,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
0,Joel Embiid,JUMP_BALL,None,12:00,1,Heat,76ers,0 - 0,1,N/A,N/A,N/A
1,Rodney McGruder,FG_MISS,None,11:48,1,Heat,76ers,0 - 0,1,7,3,Jumper
2,Rodney McGruder,OFFENSIVE_REBOUND,None,11:46,1,Heat,76ers,0 - 0,1,N/A,N/A,N/A
3,Rodney McGruder,FG_MISS,None,11:46,1,Heat,76ers,0 - 0,1,3,3,Jumper
4,Joel Embiid,DEFENSIVE_REBOUND,None,11:45,1,76ers,Heat,0 - 0,0,N/A,N/A,N/A
5,JJ Redick,FG_UNASSISTED,None,11:29,1,76ers,Heat,2 - 0,0,23,3,Jumper
6,Josh Richardson,FG_MISS,None,11:11,1,Heat,76ers,3 - 0,1,28,3,Jumper
7,Joel Embiid,DEFENSIVE_REBOUND,None,11:08,1,76ers,Heat,3 - 0,0,N/A,N/A,N/A
8,Wilson Chandler,FG_ASSISTED,Markelle Fultz,11:01,1,76ers,Heat,5 - 0,0,23,3,Jumper
9,Hassan Whiteside,FG_ASSISTED,Goran Dragic,10:50,1,Heat,76ers,6 - 2,1,0,2,Dunk
10,Hassan Whiteside,FOUL_ON_FLOOR,None,10:34,1,Heat,76ers,6 - 2,1,N/A,N/A,N/A
11,Joel Embiid,FT_MISS,None,10:34,1,76ers,Heat,6 - 2,0,N/A,1,N/A
12,Team,OFFENSIVE_REBOUND,None,10:34,1,76ers,Heat,6 - 2,0,N/A,N/A,N/A
13,Joel Embiid,FT,None,10:34,1,76ers,Heat,7 - 2,0,N/A,1,N/A
14,Justise Winslow,FG_MISS,None,10:24,1,Heat,76ers,6 - 2,1,0,2,Layup
15,Joel Embiid,DEFENSIVE_REBOUND,None,10:24,1,76ers,Heat,6 - 2,0,N/A,N/A,N/A
16,JJ Redick,FG_UNASSISTED,None,10:12,1,76ers,Heat,8 - 2,0,13,3,Jumper
17,Hassan Whiteside,FG_ASSISTED,Justise Winslow,9:50,1,Heat,76ers,8 - 5,1,24,3,Jumper
18,JJ Redick,FG_MISS,None,9:29,1,76ers,Heat,8 - 5,0,24,3,Jumper
19,Wilson Chandler,OFFENSIVE_REBOUND,None,9:27,1,76ers,Heat,8 - 5,0,N/A,N/A,N/A
20,Wilson Chandler,TURNOVER,Goran Dragic,9:23,1,76ers,Heat,8 - 5,0,N/A,N/A,N/A
21,Goran Dragic,FG_UNASSISTED,None,9:18,1,Heat,76ers,8 - 7,1,-,3,Jumper
22,Rodney McGruder,FOUL_ON_FLOOR,None,9:07,1,Heat,76ers,7 - 7,1,N/A,N/A,N/A
23,Wilson Chandler,FG_MISS,None,8:53,1,76ers,Heat,8 - 7,0,17,3,Jumper
24,Hassan Whiteside,DEFENSIVE_REBOUND,None,8:49,1,Heat,76ers,8 - 7,1,N/A,N/A,N/A
25,Goran Dragic,FG_MISS,None,8:46,1,Heat,76ers,8 - 7,1,25,3,Jumper
26,Hassan Whiteside,OFFENSIVE_REBOUND,None,8:44,1,Heat,76ers,8 - 7,1,N/A,N/A,N/A
27,Hassan Whiteside,FG_UNASSISTED,None,8:39,1,Heat,76ers,8 - 9,1,22,3,Jumper
28,Joel Embiid,FG_ASSISTED,Wilson Chandler,8:31,1,76ers,Heat,11 - 9,0,26,3,Jumper
29,Justise Winslow,FG_ASSISTED,Goran Dragic,8:19,1,Heat,76ers,11 - 12,1,25,3,Jumper
30,JJ Redick,FG_ASSISTED,Ben Simmons,8:04,1,76ers,Heat,13 - 12,0,21,3,Jumper
31,Josh Richardson,FG_MISS,None,7:47,1,Heat,76ers,13 - 12,1, ,3,Jumper
32,JJ Redick,DEFENSIVE_REBOUND,None,7:44,1,76ers,Heat,13 - 12,0,N/A,N/A,N/A
33,JJ Redick,FG_MISS,None,7:41,1,76ers,Heat,13 - 12,0, ,3,Jumper
34,Ben Simmons,OFFENSIVE_REBOUND,None,7:38,1,76ers,Heat,13 - 12,0,N/A,N/A,N/A
35,Josh Richardson,FOUL_ON_FLOOR,None,7:32,1,Heat,76ers,13 - 12,1,N/A,N/A,N/A
36,Joel Embiid,FT,None,7:32,1,76ers,Heat,14 - 12,0,N/A,1,N/A
37,Joel Embiid,FT,None,7:32,1,76ers,Heat,15 - 12,0,N/A,1,N/A
38,Hassan Whiteside,FG_UNASSISTED,None,7:12,1,Heat,76ers,15 - 14,1, ,3,Jumper
39,Ben Simmons,FG_UNASSISTED,None,6:59,1,76ers,Heat,17 - 14,0,0,2,Layup
40,Goran Dragic,FG_UNASSISTED,None,6:46,1,Heat,76ers,17 - 16,1, ,3,Jumper
41,Ben Simmons,FG_UNASSISTED,None,6:35,1,76ers,Heat,19 - 16,0,6,3,Jumper
42,Goran Dragic,FG_MISS,None,6:17,1,Heat,76ers,19 - 16,1,26,3,Jumper
43,Ben Simmons,DEFENSIVE_REBOUND,None,6:15,1,76ers,Heat,19 - 16,0,N/A,N/A,N/A
44,Goran Dragic,FOUL_ON_FLOOR,None,6:11,1,Heat,76ers,19 - 16,1,N/A,N/A,N/A
45,Team,Unknown,None,6:11,1,Heat,76ers,19 - 16,1,N/A,N/A,N/A
46,Tyler Johnson,SUBSTITUTION,Dragic Goran,6:11,1,Heat,76ers,19 - 16,1,N/A,N/A,N/A
47,Landry Shamet,SUBSTITUTION,Embiid Joel,6:11,1,76ers,Heat,19 - 16,0,N/A,N/A,N/A
48,Amir Johnson,SUBSTITUTION,Chandler Wilson,6:11,1,76ers,Heat,19 - 16,0,N/A,N/A,N/A
49,Mike Muscala,SUBSTITUTION,Fultz Markelle,6:11,1,76ers,Heat,19 - 16,0,N/A,N/A,N/A
50,Amir Johnson,FG_MISS,None,5:54,1,76ers,Heat,19 - 16,0, ,3,Jumper
51,Hassan Whiteside,DEFENSIVE_REBOUND,None,5:52,1,Heat,76ers,19 - 16,1,N/A,N/A,N/A
52,Wayne Ellington,SUBSTITUTION,Richardson Josh,5:37,1,Heat,76ers,19 - 16,1,N/A,N/A,N/A
53,Amir Johnson,FOUL_ON_FLOOR,None,5:34,1,76ers,Heat,19 - 16,0,N/A,N/A,N/A
54,Wayne Ellington,FG_MISS,None,5:26,1,Heat,76ers,19 - 16,1,23,3,Jumper
55,Mike Muscala,DEFENSIVE_REBOUND,None,5:22,1,76ers,Heat,19 - 16,0,N/A,N/A,N/A
56,JJ Redick,FG_MISS,None,5:11,1,76ers,Heat,19 - 16,0,24,3,Jumper
57,Hassan Whiteside,DEFENSIVE_REBOUND,None,5:09,1,Heat,76ers,19 - 16,1,N/A,N/A,N/A
58,Hassan Whiteside,FG_UNASSISTED,None,5:00,1,Heat,76ers,19 - 18,1, ,3,Jumper
59,Mike Muscala,FG_MISS,None,4:48,1,76ers,Heat,19 - 18,0,26,3,Jumper
60,Hassan Whiteside,DEFENSIVE_REBOUND,None,4:44,1,Heat,76ers,19 - 18,1,N/A,N/A,N/A
61,Hassan Whiteside,FG_MISS,None,4:37,1,Heat,76ers,19 - 18,1,25,3,Jumper
62,Mike Muscala,DEFENSIVE_REBOUND,None,4:34,1,76ers,Heat,19 - 18,0,N/A,N/A,N/A
63,JJ Redick,FG_ASSISTED,Amir Johnson,4:23,1,76ers,Heat,22 - 18,0,24,3,Jumper
64,Tyler Johnson,FG_MISS,None,4:11,1,Heat,76ers,22 - 18,1,0,2,Layup
65,Team,DEFENSIVE_REBOUND,None,4:11,1,76ers,Heat,22 - 18,0,N/A,N/A,N/A
66,Justise Winslow,FOUL_ON_FLOOR,None,4:11,1,Heat,76ers,22 - 18,1,N/A,N/A,N/A
67,Team,Unknown,None,4:11,1,76ers,Heat,22 - 18,0,N/A,N/A,N/A
68,Kelly Olynyk,SUBSTITUTION,Whiteside Hassan,4:11,1,Heat,76ers,22 - 18,1,N/A,N/A,N/A
69,T.J. McConnell,SUBSTITUTION,Johnson Amir,4:11,1,76ers,Heat,22 - 18,0,N/A,N/A,N/A
70,Joel Embiid,SUBSTITUTION,Redick JJ,4:11,1,76ers,Heat,22 - 18,0,N/A,N/A,N/A
71,Mike Muscala,FT_MISS,None,4:11,1,76ers,Heat,22 - 18,0,N/A,1,N/A
72,Team,OFFENSIVE_REBOUND,None,4:11,1,76ers,Heat,22 - 18,0,N/A,N/A,N/A
73,Mike Muscala,FT,None,4:11,1,76ers,Heat,23 - 18,0,N/A,1,N/A
74,Justise Winslow,FG_MISS,None,3:54,1,Heat,76ers,23 - 18,1,0,2,Layup
75,Mike Muscala,DEFENSIVE_REBOUND,None,3:52,1,76ers,Heat,23 - 18,0,N/A,N/A,N/A
76,Ben Simmons,TURNOVER,Rodney McGruder,3:35,1,76ers,Heat,23 - 18,0,N/A,N/A,N/A
77,Rodney McGruder,FG_UNASSISTED,None,3:29,1,Heat,76ers,23 - 20,1,0,2,Dunk
78,Landry Shamet,FG_MISS,None,3:10,1,76ers,Heat,23 - 20,0,23,3,Jumper
