,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
0,Enes Kanter,JUMP_BALL,None,12:00,1,Bucks,Knicks,0 - 0,1,N/A,N/A,N/A
1,Khris Middleton,FG_UNASSISTED,None,11:37,1,Bucks,Knicks,0 - 2,1,-,3,Jumper
2,Malcolm Brogdon,FOUL_ON_FLOOR,None,11:30,1,Bucks,Knicks,0 - 2,1,N/A,N/A,N/A
3,Enes Kanter,FG_ASSISTED,Frank Ntilikina,11:15,1,Knicks,Bucks,2 - 2,0,18,3,Jumper
4,Brook Lopez,FG_ASSISTED,Eric Bledsoe,10:59,1,Bucks,Knicks,2 - 5,1,23,3,Jumper
5,Trey Burke,FG_UNASSISTED,None,10:43,1,Knicks,Bucks,4 - 5,0,18,3,Jumper
6,Khris Middleton,FG_ASSISTED,Giannis Antetokounmpo,10:30,1,Bucks,Knicks,4 - 8,1,26,3,Jumper
7,Frank Ntilikina,FG_MISS,None,10:17,1,Knicks,Bucks,4 - 8,0,20,3,Jumper
8,Enes Kanter,OFFENSIVE_REBOUND,None,10:13,1,Knicks,Bucks,4 - 8,0,N/A,N/A,N/A
9,Enes Kanter,FG_UNASSISTED,None,10:10,1,Knicks,Bucks,6 - 8,0,-,3,Jumper
10,Brook Lopez,FG_ASSISTED,Giannis Antetokounmpo,10:02,1,Bucks,Knicks,6 - 11,1,26,3,Jumper
11,Trey Burke,TURNOVER,Khris Middleton,9:43,1,Knicks,Bucks,6 - 11,0,N/A,N/A,N/A
12,Tim Hardaway,JUMP_BALL,None,9:37,1,Bucks,Knicks,6 - 11,1,N/A,N/A,N/A
13,Giannis Antetokounmpo,FG_ASSISTED,Eric Bledsoe,9:33,1,Bucks,Knicks,6 - 13,1,0,2,Dunk
14,Tim Hardaway,FG_UNASSISTED,None,9:25,1,Knicks,Bucks,9 - 13,0,28,3,Jumper
15,Khris Middleton,FG_MISS,None,9:07,1,Bucks,Knicks,9 - 13,1, ,3,Jumper
16,Enes Kanter,DEFENSIVE_REBOUND,None,9:05,1,Knicks,Bucks,9 - 13,0,N/A,N/A,N/A
17,Enes Kanter,FOUL_ON_FLOOR,None,8:55,1,Knicks,Bucks,9 - 13,0,N/A,N/A,N/A
18,Enes Kanter,TURNOVER,None,8:55,1,Knicks,Bucks,9 - 13,0,N/A,N/A,N/A
19,Brook Lopez,FG_MISS,None,8:35,1,Bucks,Knicks,9 - 13,1,14,3,Jumper
20,Enes Kanter,DEFENSIVE_REBOUND,None,8:32,1,Knicks,Bucks,9 - 13,0,N/A,N/A,N/A
21,Frank Ntilikina,FG_ASSISTED,Trey Burke,8:22,1,Knicks,Bucks,11 - 13,0,0,2,Layup
22,Malcolm Brogdon,FG_ASSISTED,Brook Lopez,8:11,1,Bucks,Knicks,11 - 16,1,26,3,Jumper
23,Frank Ntilikina,FG_MISS,None,7:57,1,Knicks,Bucks,11 - 16,0,27,3,Jumper
24,Giannis Antetokounmpo,DEFENSIVE_REBOUND,None,7:54,1,Bucks,Knicks,11 - 16,1,N/A,N/A,N/A
25,Giannis Antetokounmpo,FG_UNASSISTED,None,7:52,1,Bucks,Knicks,11 - 18,1, ,3,Jumper
26,Lance Thomas,FOUL_ON_FLOOR,None,7:52,1,Knicks,Bucks,11 - 18,0,N/A,N/A,N/A
27,Giannis Antetokounmpo,FT_MISS,None,7:52,1,Bucks,Knicks,11 - 18,1,N/A,1,N/A
28,Tim Hardaway,DEFENSIVE_REBOUND,None,7:52,1,Knicks,Bucks,11 - 18,0,N/A,N/A,N/A
29,Trey Burke,FG_UNASSISTED,None,7:35,1,Knicks,Bucks,13 - 18,0,13,3,Jumper
30,Giannis Antetokounmpo,FG_UNASSISTED,None,7:23,1,Bucks,Knicks,13 - 20,1,0,2,Layup
31,Tim Hardaway,FG_ASSISTED,Enes Kanter,7:11,1,Knicks,Bucks,15 - 20,0,0,2,Layup
32,Giannis Antetokounmpo,Unknown,None,7:11,1,Bucks,Knicks,15 - 20,1,N/A,N/A,N/A
33,Team,Unknown,None,7:11,1,Bucks,Knicks,15 - 20,1,N/A,N/A,N/A
34,Ersan Ilyasova,SUBSTITUTION,Brogdon Malcolm,7:11,1,Bucks,Knicks,15 - 20,1,N/A,N/A,N/A
35,Frank Ntilikina,FOUL_ON_FLOOR,None,7:01,1,Knicks,Bucks,15 - 20,0,N/A,N/A,N/A
36,Ersan Ilyasova,FT,None,7:01,1,Bucks,Knicks,15 - 21,1,N/A,1,N/A
37,Ersan Ilyasova,FT_MISS,None,7:01,1,Bucks,Knicks,15 - 21,1,N/A,1,N/A
38,Tim Hardaway,DEFENSIVE_REBOUND,None,6:58,1,Knicks,Bucks,15 - 21,0,N/A,N/A,N/A
39,Enes Kanter,FG_MISS,None,6:46,1,Knicks,Bucks,15 - 21,0, ,3,Jumper
40,Khris Middleton,DEFENSIVE_REBOUND,None,6:43,1,Bucks,Knicks,15 - 21,1,N/A,N/A,N/A
41,Giannis Antetokounmpo,FG_MISS,None,6:29,1,Bucks,Knicks,15 - 21,1,0,2,Layup
42,Enes Kanter,DEFENSIVE_REBOUND,None,6:27,1,Knicks,Bucks,15 - 21,0,N/A,N/A,N/A
43,Tim Hardaway,TURNOVER,Eric Bledsoe,6:22,1,Knicks,Bucks,15 - 21,0,N/A,N/A,N/A
44,Eric Bledsoe,FG_UNASSISTED,None,6:17,1,Bucks,Knicks,15 - 23,1,0,2,Dunk
45,Ersan Ilyasova,FOUL_ON_FLOOR,None,6:01,1,Bucks,Knicks,15 - 23,1,N/A,N/A,N/A
46,Lance Thomas,FT,None,6:01,1,Knicks,Bucks,16 - 23,0,N/A,1,N/A
47,Ron Baker,SUBSTITUTION,Ntilikina Frank,6:01,1,Knicks,Bucks,16 - 23,0,N/A,N/A,N/A
48,Damyean Dotson,SUBSTITUTION,Burke Trey,6:01,1,Knicks,Bucks,16 - 23,0,N/A,N/A,N/A
49,Lance Thomas,FT,None,6:01,1,Knicks,Bucks,17 - 23,0,N/A,1,N/A
50,Giannis Antetokounmpo,FG_UNASSISTED,None,5:41,1,Bucks,Knicks,17 - 25,1, ,3,Jumper
51,Tim Hardaway,FG_MISS,None,5:27,1,Knicks,Bucks,17 - 25,0,12,3,Jumper
52,Ersan Ilyasova,DEFENSIVE_REBOUND,None,5:26,1,Bucks,Knicks,17 - 25,1,N/A,N/A,N/A
53,Damyean Dotson,FOUL_ON_FLOOR,None,5:22,1,Knicks,Bucks,17 - 25,0,N/A,N/A,N/A
54,John Henson,SUBSTITUTION,Lopez Brook,5:22,1,Bucks,Knicks,17 - 25,1,N/A,N/A,N/A
55,Noah Vonleh,SUBSTITUTION,Thomas Lance,5:22,1,Knicks,Bucks,17 - 25,0,N/A,N/A,N/A
56,Eric Bledsoe,FG_MISS,None,5:20,1,Bucks,Knicks,17 - 25,1,24,3,Jumper
57,John Henson,OFFENSIVE_REBOUND,None,5:17,1,Bucks,Knicks,17 - 25,1,N/A,N/A,N/A
58,John Henson,FG_UNASSISTED,None,5:15,1,Bucks,Knicks,17 - 27,1,2,3,Jumper
59,Tim Hardaway,FG_MISS,John Henson,4:56,1,Bucks,Knicks,17 - 27,0,16,3,Jumper
60,John Henson,DEFENSIVE_REBOUND,None,4:52,1,Bucks,Knicks,17 - 27,1,N/A,N/A,N/A
61,Tim Hardaway,FOUL_ON_FLOOR,None,4:51,1,Knicks,Bucks,17 - 27,0,N/A,N/A,N/A
62,Donte DiVincenzo,SUBSTITUTION,Antetokounmpo Giannis,4:51,1,Bucks,Knicks,17 - 27,1,N/A,N/A,N/A
63,Frank Ntilikina,SUBSTITUTION,Baker Ron,4:51,1,Knicks,Bucks,17 - 27,0,N/A,N/A,N/A
64,John Henson,FT,None,4:51,1,Bucks,Knicks,17 - 28,1,N/A,1,N/A
65,John Henson,FT_MISS,None,4:51,1,Bucks,Knicks,17 - 28,1,N/A,1,N/A
66,Enes Kanter,DEFENSIVE_REBOUND,None,4:48,1,Knicks,Bucks,17 - 28,0,N/A,N/A,N/A
67,Enes Kanter,FG_MISS,None,4:37,1,Knicks,Bucks,17 - 28,0,15,3,Jumper
68,Ersan Ilyasova,DEFENSIVE_REBOUND,None,4:34,1,Bucks,Knicks,17 - 28,1,N/A,N/A,N/A
69,Damyean Dotson,FOUL_ON_FLOOR,None,4:27,1,Knicks,Bucks,17 - 28,0,N/A,N/A,N/A
70,Ersan Ilyasova,FT,None,4:27,1,Bucks,Knicks,17 - 29,1,N/A,1,N/A
71,Malcolm Brogdon,SUBSTITUTION,Bledsoe Eric,4:27,1,Bucks,Knicks,17 - 29,1,N/A,N/A,N/A
72,Mario Hezonja,SUBSTITUTION,Kanter Enes,4:27,1,Knicks,Bucks,17 - 29,0,N/A,N/A,N/A
73,Allonzo Trier,SUBSTITUTION,Hardaway Tim,4:27,1,Knicks,Bucks,17 - 29,0,N/A,N/A,N/A
74,Ersan Ilyasova,FT,None,4:27,1,Bucks,Knicks,17 - 30,1,N/A,1,N/A
75,Mario Hezonja,FG_ASSISTED,Allonzo Trier,4:08,1,Knicks,Bucks,19 - 30,0,0,2,Layup
76,Malcolm Brogdon,FG_MISS,None,4:01,1,Bucks,Knicks,19 - 30,1,0,2,Layup
77,Ersan Ilyasova,OFFENSIVE_REBOUND,None,3:59,1,Bucks,Knicks,19 - 30,1,N/A,N/A,N/A
78,Ersan Ilyasova,FG_MISS,None,3:57,1,Bucks,Knicks,19 - 30,1,3,3,Jumper
79,Ersan Ilyasova,OFFENSIVE_REBOUND,None,3:57,1,Bucks,Knicks,19 - 30,1,N/A,N/A,N/A
80,Ersan Ilyasova,FG_MISS,None,3:52,1,Bucks,Knicks,19 - 30,1, ,3,Jumper
81,Ersan Ilyasova,OFFENSIVE_REBOUND,None,3:52,1,Bucks,Knicks,19 - 30,1,N/A,N/A,N/A
82,Ersan Ilyasova,FG_UNASSISTED,None,3:46,1,Bucks,Knicks,19 - 32,1, ,3,Jumper
83,Noah Vonleh,FG_MISS,None,3:41,1,Knicks,Bucks,19 - 32,0,0,2,Layup
84,Noah Vonleh,OFFENSIVE_REBOUND,None,3:40,1,Knicks,Bucks,19 - 32,0,N/A,N/A,N/A
85,John Henson,FOUL_ON_FLOOR,None,3:40,1,Bucks,Knicks,19 - 32,1,N/A,N/A,N/A
86,Noah Vonleh,FT_MISS,None,3:40,1,Knicks,Bucks,19 - 32,0,N/A,1,N/A
87,Team,OFFENSIVE_REBOUND,None,3:40,1,Knicks,Bucks,19 - 32,0,N/A,N/A,N/A
88,Noah Vonleh,FT,None,3:40,1,Knicks,Bucks,20 - 32,0,N/A,1,N/A
89,Ersan Ilyasova,FG_MISS,None,3:23,1,Bucks,Knicks,20 - 32,1,24,3,Jumper
90,Allonzo Trier,DEFENSIVE_REBOUND,None,3:20,1,Knicks,Bucks,20 - 32,0,N/A,N/A,N/A
91,Donte DiVincenzo,FOUL_ON_FLOOR,None,3:18,1,Bucks,Knicks,20 - 32,1,N/A,N/A,N/A
92,Allonzo Trier,FG_UNASSISTED,None,3:10,1,Knicks,Bucks,22 - 32,0,19,3,Jumper
93,Khris Middleton,FG_MISS,None,2:55,1,Bucks,Knicks,22 - 32,1,15,3,Jumper
94,Damyean Dotson,DEFENSIVE_REBOUND,None,2:52,1,Knicks,Bucks,22 - 32,0,N/A,N/A,N/A
95,Mario Hezonja,FG_MISS,None,2:31,1,Knicks,Bucks,22 - 32,0,5,3,Jumper
96,Khris Middleton,DEFENSIVE_REBOUND,None,2:28,1,Bucks,Knicks,22 - 32,1,N/A,N/A,N/A
97,Donte DiVincenzo,FG_MISS,None,2:22,1,Bucks,Knicks,22 - 32,1,26,3,Jumper
98,Frank Ntilikina,DEFENSIVE_REBOUND,None,2:19,1,Knicks,Bucks,22 - 32,0,N/A,N/A,N/A
99,Mario Hezonja,FG_ASSISTED,Allonzo Trier,2:12,1,Knicks,Bucks,24 - 32,0,20,3,Jumper
100,John Henson,TURNOVER,None,1:55,1,Bucks,Knicks,24 - 32,1,N/A,N/A,N/A
101,Team,Unknown,None,1:55,1,Knicks,Bucks,24 - 32,0,N/A,N/A,N/A
102,Giannis Antetokounmpo,SUBSTITUTION,Middleton Khris,1:55,1,Bucks,Knicks,24 - 32,1,N/A,N/A,N/A
103,Mario Hezonja,FG_ASSISTED,Frank Ntilikina,1:39,1,Knicks,Bucks,27 - 32,0,27,3,Jumper
104,John Henson,FG_MISS,None,1:24,1,Bucks,Knicks,27 - 32,1,23,3,Jumper
105,Team,OFFENSIVE_REBOUND,None,1:24,1,Bucks,Knicks,27 - 32,1,N/A,N/A,N/A
106,Allonzo Trier,FOUL_ON_FLOOR,None,1:24,1,Knicks,Bucks,27 - 32,0,N/A,N/A,N/A
107,Donte DiVincenzo,FT_MISS,None,1:24,1,Bucks,Knicks,27 - 32,1,N/A,1,N/A
108,Team,OFFENSIVE_REBOUND,None,1:24,1,Bucks,Knicks,27 - 32,1,N/A,N/A,N/A
109,Donte DiVincenzo,FT,None,1:24,1,Bucks,Knicks,27 - 33,1,N/A,1,N/A
110,Ersan Ilyasova,FOUL_ON_FLOOR,None,1:07,1,Bucks,Knicks,27 - 33,1,N/A,N/A,N/A
111,Noah Vonleh,FT,None,1:07,1,Knicks,Bucks,28 - 33,0,N/A,1,N/A
112,Tony Snell,SUBSTITUTION,Ilyasova Ersan,1:07,1,Bucks,Knicks,28 - 33,1,N/A,N/A,N/A
113,Noah Vonleh,FT,None,1:07,1,Knicks,Bucks,29 - 33,0,N/A,1,N/A
114,Giannis Antetokounmpo's,FG_MISS,Noah Vonleh,44.8,1,Knicks,Bucks,29 - 33,1,0,2,Dunk
115,Noah Vonleh,DEFENSIVE_REBOUND,None,41.9,1,Knicks,Bucks,29 - 33,0,N/A,N/A,N/A
116,Noah Vonleh,FG_MISS,None,37.1,1,Knicks,Bucks,29 - 33,0,0,2,Layup
117,John Henson,DEFENSIVE_REBOUND,None,34.2,1,Bucks,Knicks,29 - 33,1,N/A,N/A,N/A
118,Tony Snell,FG_MISS,None,30.6,1,Bucks,Knicks,29 - 33,1,27,3,Jumper
119,Team,DEFENSIVE_REBOUND,None,25.2,1,Knicks,Bucks,29 - 33,0,N/A,N/A,N/A
120,Damyean Dotson,FG_MISS,None,1.2,1,Knicks,Bucks,29 - 33,0,21,3,Jumper
121,Team,OFFENSIVE_REBOUND,None,1.2,1,Knicks,Bucks,29 - 33,0,N/A,N/A,N/A
122,Enes Kanter,SUBSTITUTION,Trier Allonzo,1.2,1,Knicks,Bucks,29 - 33,0,N/A,N/A,N/A
123,shot clock,TURNOVER,None,1.2,1,Knicks,Bucks,29 - 33,0,N/A,N/A,N/A
124,Giannis Antetokounmpo,FG_MISS,None,0.5,1,Bucks,Knicks,29 - 33,1,28,3,Jumper
125,Team,OFFENSIVE_REBOUND,None,0.1,1,Bucks,Knicks,29 - 33,1,N/A,N/A,N/A
126,End of,Unknown,None,0.0,1,Bucks,Knicks,29 - 33,1,N/A,N/A,N/A
0,Brook Lopez,SUBSTITUTION,Henson John,12:00,2,Bucks,Knicks,29 - 33,1,N/A,N/A,N/A
1,Allonzo Trier,SUBSTITUTION,Kanter Enes,12:00,2,Knicks,Bucks,29 - 33,0,N/A,N/A,N/A
2,Mario Hezonja,FG_ASSISTED,Allonzo Trier,11:39,2,Knicks,Bucks,31 - 33,0,11,3,Jumper
3,Malcolm Brogdon,FG_ASSISTED,Giannis Antetokounmpo,11:24,2,Bucks,Knicks,31 - 36,1,28,3,Jumper
4,Damyean Dotson,FG_MISS,None,11:06,2,Knicks,Bucks,31 - 36,0, ,3,Jumper
5,Giannis Antetokounmpo,DEFENSIVE_REBOUND,None,11:03,2,Bucks,Knicks,31 - 36,1,N/A,N/A,N/A
6,Giannis Antetokounmpo,TURNOVER,Allonzo Trier,10:58,2,Bucks,Knicks,31 - 36,1,N/A,N/A,N/A
7,Damyean Dotson,FG_ASSISTED,Mario Hezonja,10:54,2,Knicks,Bucks,33 - 36,0, ,3,Jumper
8,Malcolm Brogdon,FG_MISS,Noah Vonleh,10:40,2,Knicks,Bucks,33 - 36,1,2,3,Jumper
9,Noah Vonleh,DEFENSIVE_REBOUND,None,10:36,2,Knicks,Bucks,33 - 36,0,N/A,N/A,N/A
10,Noah Vonleh,FG_ASSISTED,Mario Hezonja,10:28,2,Knicks,Bucks,35 - 36,0,0,2,Dunk
11,Team,Unknown,None,10:27,2,Bucks,Knicks,35 - 36,1,N/A,N/A,N/A
12,Brook Lopez,FG_MISS,None,10:07,2,Bucks,Knicks,35 - 36,1,24,3,Jumper
13,Damyean Dotson,DEFENSIVE_REBOUND,None,10:04,2,Knicks,Bucks,35 - 36,0,N/A,N/A,N/A
14,Mario Hezonja,FG_MISS,None,9:52,2,Knicks,Bucks,35 - 36,0,27,3,Jumper
15,Malcolm Brogdon,DEFENSIVE_REBOUND,None,9:49,2,Bucks,Knicks,35 - 36,1,N/A,N/A,N/A
16,Frank Ntilikina,Unknown,None,9:46,2,Knicks,Bucks,35 - 36,0,N/A,N/A,N/A
17,Eric Bledsoe,SUBSTITUTION,DiVincenzo Donte,9:46,2,Bucks,Knicks,35 - 36,1,N/A,N/A,N/A
18,Khris Middleton,SUBSTITUTION,Brogdon Malcolm,9:46,2,Bucks,Knicks,35 - 36,1,N/A,N/A,N/A
19,Tim Hardaway,SUBSTITUTION,Trier Allonzo,9:46,2,Knicks,Bucks,35 - 36,0,N/A,N/A,N/A
20,Frank Ntilikina,FOUL_ON_FLOOR,None,9:43,2,Knicks,Bucks,35 - 36,0,N/A,N/A,N/A
21,Giannis Antetokounmpo,FG_MISS,None,9:36,2,Bucks,Knicks,35 - 36,1,0,2,Layup
22,Eric Bledsoe,OFFENSIVE_REBOUND,None,9:32,2,Bucks,Knicks,35 - 36,1,N/A,N/A,N/A
23,Eric Bledsoe,FG_UNASSISTED,None,9:32,2,Bucks,Knicks,35 - 38,1, ,3,Jumper
24,Mario Hezonja,FG_MISS,None,9:18,2,Knicks,Bucks,35 - 38,0,0,2,Layup
25,Brook Lopez,DEFENSIVE_REBOUND,None,9:15,2,Bucks,Knicks,35 - 38,1,N/A,N/A,N/A
26,Tony Snell,FG_ASSISTED,Eric Bledsoe,9:08,2,Bucks,Knicks,35 - 41,1,26,3,Jumper
27,Noah Vonleh,TURNOVER,None,8:53,2,Knicks,Bucks,35 - 41,0,N/A,N/A,N/A
28,Khris Middleton,FG_ASSISTED,Eric Bledsoe,8:38,2,Bucks,Knicks,35 - 43,1, ,3,Jumper
29,Team,Unknown,None,8:33,2,Knicks,Bucks,35 - 43,0,N/A,N/A,N/A
30,Enes Kanter,SUBSTITUTION,Ntilikina Frank,8:33,2,Knicks,Bucks,35 - 43,0,N/A,N/A,N/A
31,Trey Burke,SUBSTITUTION,Vonleh Noah,8:33,2,Knicks,Bucks,35 - 43,0,N/A,N/A,N/A
32,Khris Middleton,FOUL_ON_FLOOR,None,8:21,2,Bucks,Knicks,35 - 43,1,N/A,N/A,N/A
33,Damyean Dotson,FG_ASSISTED,Tim Hardaway,8:14,2,Knicks,Bucks,38 - 43,0,26,3,Jumper
34,Trey Burke,FOUL_ON_FLOOR,None,8:06,2,Knicks,Bucks,38 - 43,0,N/A,N/A,N/A
35,Eric Bledsoe,FT,None,8:06,2,Bucks,Knicks,38 - 44,1,N/A,1,N/A
36,Eric Bledsoe,FT,None,8:06,2,Bucks,Knicks,38 - 45,1,N/A,1,N/A
37,Tim Hardaway,FG_ASSISTED,Enes Kanter,7:55,2,Knicks,Bucks,41 - 45,0,27,3,Jumper
38,Eric Bledsoe,FG_UNASSISTED,None,7:45,2,Bucks,Knicks,41 - 47,1, ,3,Jumper
39,Trey Burke,FG_MISS,None,7:35,2,Knicks,Bucks,41 - 47,0,15,3,Jumper
40,Team,OFFENSIVE_REBOUND,None,7:35,2,Knicks,Bucks,41 - 47,0,N/A,N/A,N/A
41,Trey Burke,TURNOVER,None,7:35,2,Knicks,Bucks,41 - 47,0,N/A,N/A,N/A
42,Ersan Ilyasova,SUBSTITUTION,Antetokounmpo Giannis,7:35,2,Bucks,Knicks,41 - 47,1,N/A,N/A,N/A
43,Brook Lopez,FG_ASSISTED,Eric Bledsoe,7:24,2,Bucks,Knicks,41 - 49,1,0,2,Layup
44,Tim Hardaway,FG_MISS,None,7:17,2,Knicks,Bucks,41 - 49,0,27,3,Jumper
45,Brook Lopez,DEFENSIVE_REBOUND,None,7:13,2,Bucks,Knicks,41 - 49,1,N/A,N/A,N/A
46,Ersan Ilyasova,TURNOVER,Mario Hezonja,7:03,2,Bucks,Knicks,41 - 49,1,N/A,N/A,N/A
47,Trey Burke,FG_MISS,None,6:55,2,Knicks,Bucks,41 - 49,0,13,3,Jumper
48,Trey Burke,OFFENSIVE_REBOUND,None,6:52,2,Knicks,Bucks,41 - 49,0,N/A,N/A,N/A
49,Trey Burke,FG_UNASSISTED,None,6:51,2,Knicks,Bucks,43 - 49,0, ,3,Jumper
50,Khris Middleton,FG_ASSISTED,Eric Bledsoe,6:42,2,Bucks,Knicks,43 - 52,1,27,3,Jumper
51,Trey Burke,FG_MISS,None,6:26,2,Knicks,Bucks,43 - 52,0,28,3,Jumper
52,Tony Snell,DEFENSIVE_REBOUND,None,6:24,2,Bucks,Knicks,43 - 52,1,N/A,N/A,N/A
53,Khris Middleton,FG_UNASSISTED,None,6:10,2,Bucks,Knicks,43 - 55,1,27,3,Jumper
54,Enes Kanter,TURNOVER,Eric Bledsoe,5:53,2,Knicks,Bucks,43 - 55,0,N/A,N/A,N/A
55,Khris Middleton,FG_ASSISTED,Eric Bledsoe,5:43,2,Bucks,Knicks,43 - 58,1,26,3,Jumper
56,Team,Unknown,None,5:43,2,Knicks,Bucks,43 - 58,0,N/A,N/A,N/A
57,John Henson,SUBSTITUTION,Lopez Brook,5:43,2,Bucks,Knicks,43 - 58,1,N/A,N/A,N/A
58,Lance Thomas,SUBSTITUTION,Hezonja Mario,5:43,2,Knicks,Bucks,43 - 58,0,N/A,N/A,N/A
59,Allonzo Trier,SUBSTITUTION,Dotson Damyean,5:43,2,Knicks,Bucks,43 - 58,0,N/A,N/A,N/A
60,Frank Ntilikina,SUBSTITUTION,Burke Trey,5:43,2,Knicks,Bucks,43 - 58,0,N/A,N/A,N/A
61,Lance Thomas,FG_MISS,None,5:25,2,Knicks,Bucks,43 - 58,0,27,3,Jumper
62,Eric Bledsoe,DEFENSIVE_REBOUND,None,5:21,2,Bucks,Knicks,43 - 58,1,N/A,N/A,N/A
63,Tony Snell,FG_MISS,None,5:17,2,Bucks,Knicks,43 - 58,1,28,3,Jumper
64,Enes Kanter,DEFENSIVE_REBOUND,None,5:13,2,Knicks,Bucks,43 - 58,0,N/A,N/A,N/A
65,Tim Hardaway,FG_MISS,None,5:02,2,Knicks,Bucks,43 - 58,0,7,3,Jumper
66,Enes Kanter,OFFENSIVE_REBOUND,None,4:59,2,Knicks,Bucks,43 - 58,0,N/A,N/A,N/A
67,Enes Kanter,FG_MISS,None,4:59,2,Knicks,Bucks,43 - 58,0, ,3,Jumper
68,Ersan Ilyasova,DEFENSIVE_REBOUND,None,4:58,2,Bucks,Knicks,43 - 58,1,N/A,N/A,N/A
69,Ersan Ilyasova,FG_MISS,None,4:47,2,Bucks,Knicks,43 - 58,1,20,3,Jumper
70,Lance Thomas,DEFENSIVE_REBOUND,None,4:44,2,Knicks,Bucks,43 - 58,0,N/A,N/A,N/A
71,Tony Snell,FOUL_ON_FLOOR,None,4:38,2,Bucks,Knicks,43 - 58,1,N/A,N/A,N/A
72,Allonzo Trier,FT,None,4:38,2,Knicks,Bucks,44 - 58,0,N/A,1,N/A
73,Allonzo Trier,FT,None,4:38,2,Knicks,Bucks,45 - 58,0,N/A,1,N/A
74,Khris Middleton,FG_UNASSISTED,None,4:18,2,Bucks,Knicks,45 - 60,1,10,3,Jumper
75,Frank Ntilikina,FG_MISS,None,4:08,2,Knicks,Bucks,45 - 60,0,11,3,Jumper
76,John Henson,DEFENSIVE_REBOUND,None,4:05,2,Bucks,Knicks,45 - 60,1,N/A,N/A,N/A
77,Eric Bledsoe,FG_ASSISTED,John Henson,4:02,2,Bucks,Knicks,45 - 63,1,26,3,Jumper
78,Frank Ntilikina,FG_ASSISTED,Allonzo Trier,3:35,2,Knicks,Bucks,48 - 63,0,26,3,Jumper
79,Eric Bledsoe,FG_MISS,None,3:18,2,Bucks,Knicks,48 - 63,1,29,3,Jumper
80,John Henson,OFFENSIVE_REBOUND,None,3:12,2,Bucks,Knicks,48 - 63,1,N/A,N/A,N/A
