,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
0,Clint Capela,JUMP_BALL,None,12:00,1,Rockets,Thunder,0 - 0,0,N/A,N/A,N/A
1,Clint Capela,FG_ASSISTED,Eric Gordon,11:43,1,Rockets,Thunder,2 - 0,0,0,2,Layup
2,Russell Westbrook,FG_MISS,None,11:23,1,Thunder,Rockets,2 - 0,1,26,3,Jumper
3,Eric Gordon,DEFENSIVE_REBOUND,None,11:20,1,Rockets,Thunder,2 - 0,0,N/A,N/A,N/A
4,Eric Gordon,FG_UNASSISTED,None,11:15,1,Rockets,Thunder,4 - 0,0,0,2,Layup
5,Terrance Ferguson,FG_ASSISTED,Russell Westbrook,11:03,1,Thunder,Rockets,4 - 2,1,16,3,Jumper
6,PJ Tucker,FG_MISS,None,10:46,1,Rockets,Thunder,4 - 2,0,23,3,Jumper
7,Clint Capela,OFFENSIVE_REBOUND,None,10:43,1,Rockets,Thunder,4 - 2,0,N/A,N/A,N/A
8,Eric Gordon,FG_MISS,None,10:41,1,Rockets,Thunder,4 - 2,0,26,3,Jumper
9,Steven Adams,DEFENSIVE_REBOUND,None,10:38,1,Thunder,Rockets,4 - 2,1,N/A,N/A,N/A
10,Jerami Grant,FG_MISS,None,10:21,1,Thunder,Rockets,4 - 2,1,0,2,Layup
11,Steven Adams,OFFENSIVE_REBOUND,None,10:17,1,Thunder,Rockets,4 - 2,1,N/A,N/A,N/A
12,Steven Adams,FG_MISS,None,10:17,1,Thunder,Rockets,4 - 2,1,-,3,Jumper
13,Clint Capela,DEFENSIVE_REBOUND,None,10:17,1,Rockets,Thunder,4 - 2,0,N/A,N/A,N/A
14,Steven Adams,Unknown,None,10:11,1,Thunder,Rockets,4 - 2,1,N/A,N/A,N/A
15,Chris Paul,FG_MISS,None,10:07,1,Rockets,Thunder,4 - 2,0,0,2,Layup
16,Steven Adams,DEFENSIVE_REBOUND,None,10:05,1,Thunder,Rockets,4 - 2,1,N/A,N/A,N/A
17,Steven Adams,FG_ASSISTED,Terrance Ferguson,9:55,1,Thunder,Rockets,4 - 4,1,0,2,Layup
18,James Harden,FG_MISS,Jerami Grant,9:30,1,Thunder,Rockets,4 - 4,0,0,2,Layup
19,Steven Adams,DEFENSIVE_REBOUND,None,9:28,1,Thunder,Rockets,4 - 4,1,N/A,N/A,N/A
20,Terrance Ferguson,FG_ASSISTED,Russell Westbrook,9:25,1,Thunder,Rockets,4 - 6,1,-,3,Jumper
21,James Harden,FG_UNASSISTED,None,9:06,1,Rockets,Thunder,6 - 6,0,0,2,Layup
22,Paul George,FG_MISS,None,8:53,1,Thunder,Rockets,6 - 6,1,25,3,Jumper
23,PJ Tucker,DEFENSIVE_REBOUND,None,8:51,1,Rockets,Thunder,6 - 6,0,N/A,N/A,N/A
24,James Harden,FG_MISS,None,8:41,1,Rockets,Thunder,6 - 6,0,26,3,Jumper
25,Terrance Ferguson,DEFENSIVE_REBOUND,None,8:38,1,Thunder,Rockets,6 - 6,1,N/A,N/A,N/A
26,Paul George,FG_ASSISTED,Russell Westbrook,8:34,1,Thunder,Rockets,6 - 8,1,-,3,Jumper
27,Clint Capela,FG_ASSISTED,Chris Paul,8:24,1,Rockets,Thunder,8 - 8,0,0,2,Layup
28,Terrance Ferguson,FG_MISS,None,8:16,1,Thunder,Rockets,8 - 8,1,23,3,Jumper
29,Russell Westbrook,OFFENSIVE_REBOUND,None,8:14,1,Thunder,Rockets,8 - 8,1,N/A,N/A,N/A
30,Jerami Grant,FG_ASSISTED,Russell Westbrook,8:12,1,Thunder,Rockets,8 - 11,1,25,3,Jumper
31,Chris Paul,FG_UNASSISTED,None,7:57,1,Rockets,Thunder,11 - 11,0,26,3,Jumper
32,Paul George,FG_MISS,None,7:37,1,Thunder,Rockets,11 - 11,1,10,3,Jumper
33,Steven Adams,OFFENSIVE_REBOUND,None,7:34,1,Thunder,Rockets,11 - 11,1,N/A,N/A,N/A
34,Steven Adams,FG_MISS,None,7:34,1,Thunder,Rockets,11 - 11,1, ,3,Jumper
35,Steven Adams,OFFENSIVE_REBOUND,None,7:34,1,Thunder,Rockets,11 - 11,1,N/A,N/A,N/A
36,Steven Adams,FG_UNASSISTED,None,7:30,1,Thunder,Rockets,11 - 13,1,0,2,Layup
37,Eric Gordon,FG_ASSISTED,Chris Paul,7:13,1,Rockets,Thunder,14 - 13,0,25,3,Jumper
38,Terrance Ferguson,FG_MISS,None,7:05,1,Thunder,Rockets,14 - 13,1,0,2,Layup
39,Clint Capela,DEFENSIVE_REBOUND,None,7:04,1,Rockets,Thunder,14 - 13,0,N/A,N/A,N/A
40,James Harden,FG_MISS,None,6:59,1,Rockets,Thunder,14 - 13,0,26,3,Jumper
41,Russell Westbrook,DEFENSIVE_REBOUND,None,6:56,1,Thunder,Rockets,14 - 13,1,N/A,N/A,N/A
42,Steven Adams,FG_MISS,None,6:52,1,Thunder,Rockets,14 - 13,1,0,2,Layup
43,Steven Adams,OFFENSIVE_REBOUND,None,6:48,1,Thunder,Rockets,14 - 13,1,N/A,N/A,N/A
44,Russell Westbrook,FG_MISS,None,6:42,1,Thunder,Rockets,14 - 13,1, ,3,Jumper
45,Steven Adams,OFFENSIVE_REBOUND,None,6:39,1,Thunder,Rockets,14 - 13,1,N/A,N/A,N/A
46,Jerami Grant,TURNOVER,None,6:36,1,Thunder,Rockets,14 - 13,1,N/A,N/A,N/A
47,Jerami Grant,TURNOVER,None,6:36,1,Thunder,Rockets,14 - 13,1,N/A,N/A,N/A
48,Team,Unknown,None,6:36,1,Thunder,Rockets,14 - 13,1,N/A,N/A,N/A
49,Danuel House,SUBSTITUTION,for game,6:36,1,Rockets,Thunder,14 - 13,0,N/A,N/A,N/A
50,enters the,SUBSTITUTION,Paul Chris,6:36,1,Rockets,Thunder,14 - 13,0,N/A,N/A,N/A
51,James Harden,FG_UNASSISTED,None,6:22,1,Rockets,Thunder,17 - 13,0,27,3,Jumper
52,Russell Westbrook,FG_MISS,None,5:59,1,Thunder,Rockets,17 - 13,1,17,3,Jumper
53,Clint Capela,DEFENSIVE_REBOUND,None,5:56,1,Rockets,Thunder,17 - 13,0,N/A,N/A,N/A
54,Eric Gordon,FG_ASSISTED,Clint Capela,5:47,1,Rockets,Thunder,20 - 13,0,23,3,Jumper
55,Paul George,FG_ASSISTED,Russell Westbrook,5:31,1,Thunder,Rockets,20 - 16,1,25,3,Jumper
56,PJ Tucker,FG_MISS,None,5:13,1,Rockets,Thunder,20 - 16,0,23,3,Jumper
57,James Harden,OFFENSIVE_REBOUND,None,5:10,1,Rockets,Thunder,20 - 16,0,N/A,N/A,N/A
58,Eric Gordon,FG_MISS,None,5:06,1,Rockets,Thunder,20 - 16,0,26,3,Jumper
59,Paul George,DEFENSIVE_REBOUND,None,5:04,1,Thunder,Rockets,20 - 16,1,N/A,N/A,N/A
60,Paul George,FG_MISS,PJ Tucker,4:46,1,Rockets,Thunder,20 - 16,1,0,2,Layup
61,Team,OFFENSIVE_REBOUND,None,4:46,1,Thunder,Rockets,20 - 16,1,N/A,N/A,N/A
62,Austin Rivers,SUBSTITUTION,Gordon Eric,4:46,1,Rockets,Thunder,20 - 16,0,N/A,N/A,N/A
63,Nene Hilario,SUBSTITUTION,Capela Clint,4:46,1,Rockets,Thunder,20 - 16,0,N/A,N/A,N/A
64,Paul George,FG_MISS,None,4:42,1,Thunder,Rockets,20 - 16,1,23,3,Jumper
65,PJ Tucker,DEFENSIVE_REBOUND,None,4:40,1,Rockets,Thunder,20 - 16,0,N/A,N/A,N/A
66,James Harden,FG_MISS,None,4:22,1,Rockets,Thunder,20 - 16,0,0,2,Layup
67,Nene Hilario,OFFENSIVE_REBOUND,None,4:18,1,Rockets,Thunder,20 - 16,0,N/A,N/A,N/A
68,Nene Hilario,FG_MISS,None,4:18,1,Rockets,Thunder,20 - 16,0, ,3,Jumper
69,Jerami Grant,DEFENSIVE_REBOUND,None,4:16,1,Thunder,Rockets,20 - 16,1,N/A,N/A,N/A
70,Jerami Grant,FG_MISS,None,4:06,1,Thunder,Rockets,20 - 16,1,5,3,Jumper
71,James Harden,DEFENSIVE_REBOUND,None,4:02,1,Rockets,Thunder,20 - 16,0,N/A,N/A,N/A
72,James Harden,FG_MISS,None,3:54,1,Rockets,Thunder,20 - 16,0,0,2,Layup
73,Steven Adams,DEFENSIVE_REBOUND,None,3:53,1,Thunder,Rockets,20 - 16,1,N/A,N/A,N/A
74,Paul George,FG_UNASSISTED,None,3:48,1,Thunder,Rockets,20 - 18,1, ,3,Jumper
75,Nene Hilario,FG_MISS,None,3:21,1,Rockets,Thunder,20 - 18,0, ,3,Jumper
76,PJ Tucker,OFFENSIVE_REBOUND,None,3:17,1,Rockets,Thunder,20 - 18,0,N/A,N/A,N/A
77,PJ Tucker,FG_MISS,None,3:15,1,Rockets,Thunder,20 - 18,0,23,3,Jumper
78,Russell Westbrook,DEFENSIVE_REBOUND,None,3:13,1,Thunder,Rockets,20 - 18,1,N/A,N/A,N/A
79,Russell Westbrook,FG_UNASSISTED,None,3:08,1,Thunder,Rockets,20 - 20,1,0,2,Layup
80,Danuel House,FOUL_ON_FLOOR,None,3:08,1,Rockets,Thunder,20 - 20,0,N/A,N/A,N/A
81,Dennis Schroder,SUBSTITUTION,Adams Steven,3:08,1,Thunder,Rockets,20 - 20,1,N/A,N/A,N/A
82,Nerlens Noel,SUBSTITUTION,George Paul,3:08,1,Thunder,Rockets,20 - 20,1,N/A,N/A,N/A
83,Russell Westbrook,FT,None,3:08,1,Thunder,Rockets,20 - 21,1,N/A,1,N/A
84,James Harden,FG_MISS,None,2:44,1,Rockets,Thunder,20 - 21,0,29,3,Jumper
85,Russell Westbrook,DEFENSIVE_REBOUND,None,2:42,1,Thunder,Rockets,20 - 21,1,N/A,N/A,N/A
86,Terrance Ferguson,TURNOVER,PJ Tucker,2:37,1,Thunder,Rockets,20 - 21,1,N/A,N/A,N/A
87,James Harden,FG_ASSISTED,Austin Rivers,2:30,1,Rockets,Thunder,22 - 21,0,0,2,Layup
88,Terrance Ferguson,FOUL_ON_FLOOR,None,2:30,1,Thunder,Rockets,22 - 21,1,N/A,N/A,N/A
89,Team,Unknown,None,2:30,1,Rockets,Thunder,22 - 21,0,N/A,N/A,N/A
90,Paul George,SUBSTITUTION,Westbrook Russell,2:30,1,Thunder,Rockets,22 - 21,1,N/A,N/A,N/A
91,James Harden,FT,None,2:30,1,Rockets,Thunder,23 - 21,0,N/A,1,N/A
92,Chris Paul,SUBSTITUTION,Tucker PJ,2:30,1,Rockets,Thunder,23 - 21,0,N/A,N/A,N/A
93,Dennis Schroder,TURNOVER,Danuel House,2:15,1,Thunder,Rockets,23 - 21,1,N/A,N/A,N/A
94,Austin Rivers,FG_ASSISTED,Nene Hilario,2:00,1,Rockets,Thunder,26 - 21,0,24,3,Jumper
95,Nerlens Noel,FG_MISS,None,1:45,1,Thunder,Rockets,26 - 21,1,10,3,Jumper
96,Austin Rivers,DEFENSIVE_REBOUND,None,1:42,1,Rockets,Thunder,26 - 21,0,N/A,N/A,N/A
97,Nerlens Noel,FOUL_ON_FLOOR,None,1:29,1,Thunder,Rockets,26 - 21,1,N/A,N/A,N/A
98,James Harden,FT,None,1:29,1,Rockets,Thunder,27 - 21,0,N/A,1,N/A
99,James Harden,FT,None,1:29,1,Rockets,Thunder,28 - 21,0,N/A,1,N/A
100,James Harden,FT,None,1:29,1,Rockets,Thunder,29 - 21,0,N/A,1,N/A
101,Jerami Grant,FG_ASSISTED,Paul George,1:15,1,Thunder,Rockets,29 - 24,1,23,3,Jumper
102,Danuel House,FG_MISS,None,55.8,1,Rockets,Thunder,29 - 24,0,27,3,Jumper
103,Nerlens Noel,DEFENSIVE_REBOUND,None,53.8,1,Thunder,Rockets,29 - 24,1,N/A,N/A,N/A
104,Dennis Schroder,FG_UNASSISTED,None,46.8,1,Thunder,Rockets,29 - 26,1,13,3,Jumper
105,James Harden,FG_UNASSISTED,None,37.7,1,Rockets,Thunder,32 - 26,0,24,3,Jumper
106,Terrance Ferguson,FG_MISS,None,28.0,1,Thunder,Rockets,32 - 26,1,23,3,Jumper
107,Austin Rivers,DEFENSIVE_REBOUND,None,25.4,1,Rockets,Thunder,32 - 26,0,N/A,N/A,N/A
108,James Harden,FG_MISS,None,4.4,1,Rockets,Thunder,32 - 26,0,27,3,Jumper
109,Terrance Ferguson,DEFENSIVE_REBOUND,None,1.4,1,Thunder,Rockets,32 - 26,1,N/A,N/A,N/A
110,End of,Unknown,None,0.0,1,Thunder,Rockets,32 - 26,1,N/A,N/A,N/A
0,Raymond Felton,SUBSTITUTION,Grant Jerami,12:00,2,Thunder,Rockets,32 - 26,1,N/A,N/A,N/A
1,Markieff Morris,SUBSTITUTION,Ferguson Terrance,12:00,2,Thunder,Rockets,32 - 26,1,N/A,N/A,N/A
2,Eric Gordon,SUBSTITUTION,Harden James,12:00,2,Rockets,Thunder,32 - 26,0,N/A,N/A,N/A
3,Clint Capela,SUBSTITUTION,Rivers Austin,12:00,2,Rockets,Thunder,32 - 26,0,N/A,N/A,N/A
4,Gerald Green,SUBSTITUTION,Hilario Nene,12:00,2,Rockets,Thunder,32 - 26,0,N/A,N/A,N/A
5,Dennis Schroder,FG_ASSISTED,Paul George,11:46,2,Thunder,Rockets,32 - 29,1,24,3,Jumper
6,Clint Capela,FG_MISS,None,11:27,2,Rockets,Thunder,32 - 29,0, ,3,Jumper
7,Markieff Morris,DEFENSIVE_REBOUND,None,11:24,2,Thunder,Rockets,32 - 29,1,N/A,N/A,N/A
8,Dennis Schroder,TURNOVER,Eric Gordon,11:18,2,Thunder,Rockets,32 - 29,1,N/A,N/A,N/A
9,Gerald Green,FG_MISS,None,11:13,2,Rockets,Thunder,32 - 29,0,26,3,Jumper
10,Clint Capela,OFFENSIVE_REBOUND,None,11:09,2,Rockets,Thunder,32 - 29,0,N/A,N/A,N/A
11,Clint Capela,FG_MISS,None,11:08,2,Rockets,Thunder,32 - 29,0, ,3,Jumper
12,Dennis Schroder,DEFENSIVE_REBOUND,None,11:06,2,Thunder,Rockets,32 - 29,1,N/A,N/A,N/A
13,Paul George,FG_MISS,None,10:58,2,Thunder,Rockets,32 - 29,1,25,3,Jumper
14,Chris Paul,DEFENSIVE_REBOUND,None,10:54,2,Rockets,Thunder,32 - 29,0,N/A,N/A,N/A
