,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
0,Thomas Bryant,JUMP_BALL,None,12:00,1,Wizards,Nets,0 - 0,0,N/A,N/A,N/A
1,Thomas Bryant's,FG_MISS,Joe Harris,11:40,1,Nets,Wizards,0 - 0,0,0,2,Layup
2,Team,OFFENSIVE_REBOUND,None,11:40,1,Wizards,Nets,0 - 0,0,N/A,N/A,N/A
3,Bradley Beal,FG_MISS,None,11:37,1,Wizards,Nets,0 - 0,0,16,3,Jumper
4,Rodions Kurucs,DEFENSIVE_REBOUND,None,11:33,1,Nets,Wizards,0 - 0,1,N/A,N/A,N/A
5,Rodions Kurucs,FG_UNASSISTED,None,11:16,1,Nets,Wizards,0 - 2,1,-,3,Jumper
6,John Wall,TURNOVER,Jarrett Allen,11:03,1,Wizards,Nets,0 - 2,0,N/A,N/A,N/A
7,D'Angelo Russell,FG_ASSISTED,Rondae Hollis-Jefferson,10:59,1,Nets,Wizards,0 - 5,1,26,3,Jumper
8,Tomas Satoransky,FG_MISS,None,10:43,1,Wizards,Nets,0 - 5,0,-,3,Jumper
9,Jarrett Allen,DEFENSIVE_REBOUND,None,10:39,1,Nets,Wizards,0 - 5,1,N/A,N/A,N/A
10,Rondae Hollis-Jefferson,FG_MISS,None,10:22,1,Nets,Wizards,0 - 5,1,16,3,Jumper
11,Rodions Kurucs,OFFENSIVE_REBOUND,None,10:19,1,Nets,Wizards,0 - 5,1,N/A,N/A,N/A
12,Rodions Kurucs,FG_UNASSISTED,None,10:17,1,Nets,Wizards,0 - 7,1,-,3,Jumper
13,Thomas Bryant,FG_ASSISTED,John Wall,10:04,1,Wizards,Nets,2 - 7,0,0,2,Layup
14,D'Angelo Russell,FOUL_ON_FLOOR,None,10:04,1,Nets,Wizards,2 - 7,1,N/A,N/A,N/A
15,Thomas Bryant,FT_MISS,None,10:04,1,Wizards,Nets,2 - 7,0,N/A,1,N/A
16,Rondae Hollis-Jefferson,DEFENSIVE_REBOUND,None,10:04,1,Nets,Wizards,2 - 7,1,N/A,N/A,N/A
17,Joe Harris,FG_ASSISTED,Jarrett Allen,9:53,1,Nets,Wizards,2 - 9,1,0,2,Layup
18,John Wall,FG_MISS,None,9:42,1,Wizards,Nets,2 - 9,0,20,3,Jumper
19,Rodions Kurucs,DEFENSIVE_REBOUND,None,9:42,1,Nets,Wizards,2 - 9,1,N/A,N/A,N/A
20,Rodions Kurucs,FG_MISS,Thomas Bryant,9:34,1,Wizards,Nets,2 - 9,1,0,2,Layup
21,Team,DEFENSIVE_REBOUND,None,9:34,1,Wizards,Nets,2 - 9,0,N/A,N/A,N/A
22,Jeff Green,FG_ASSISTED,John Wall,9:30,1,Wizards,Nets,4 - 9,0,0,2,Layup
23,Jarrett Allen,FOUL_ON_FLOOR,None,9:30,1,Nets,Wizards,4 - 9,1,N/A,N/A,N/A
24,D'Angelo Russell,Unknown,None,9:30,1,Nets,Wizards,4 - 9,1,N/A,N/A,N/A
25,Jeff Green,FT,None,9:30,1,Wizards,Nets,5 - 9,0,N/A,1,N/A
26,D'Angelo Russell,TURNOVER,Jeff Green,9:10,1,Nets,Wizards,5 - 9,1,N/A,N/A,N/A
27,Bradley Beal,FG_MISS,None,9:06,1,Wizards,Nets,5 - 9,0,0,2,Layup
28,Team,DEFENSIVE_REBOUND,None,9:05,1,Nets,Wizards,5 - 9,1,N/A,N/A,N/A
29,D'Angelo Russell,FG_MISS,None,8:47,1,Nets,Wizards,5 - 9,1,3,3,Jumper
30,Thomas Bryant,DEFENSIVE_REBOUND,None,8:44,1,Wizards,Nets,5 - 9,0,N/A,N/A,N/A
31,Thomas Bryant,TURNOVER,Joe Harris,8:34,1,Wizards,Nets,5 - 9,0,N/A,N/A,N/A
32,Jarrett Allen,FG_ASSISTED,D'Angelo Russell,8:24,1,Nets,Wizards,5 - 11,1,2,3,Jumper
33,Tomas Satoransky,FG_ASSISTED,Bradley Beal,8:10,1,Wizards,Nets,8 - 11,0,25,3,Jumper
34,Rondae Hollis-Jefferson,FG_MISS,None,7:55,1,Nets,Wizards,8 - 11,1,0,2,Layup
35,Team,DEFENSIVE_REBOUND,None,7:50,1,Wizards,Nets,8 - 11,0,N/A,N/A,N/A
36,Markieff Morris,SUBSTITUTION,Bryant Thomas,7:50,1,Wizards,Nets,8 - 11,0,N/A,N/A,N/A
37,Jeff Green,FG_MISS,None,7:39,1,Wizards,Nets,8 - 11,0,0,2,Dunk
38,Rodions Kurucs,DEFENSIVE_REBOUND,None,7:31,1,Nets,Wizards,8 - 11,1,N/A,N/A,N/A
39,Jarrett Allen,FG_ASSISTED,Rondae Hollis-Jefferson,7:30,1,Nets,Wizards,8 - 13,1,0,2,Dunk
40,Team,Unknown,None,7:29,1,Wizards,Nets,8 - 13,0,N/A,N/A,N/A
41,John Wall,FG_MISS,None,7:17,1,Wizards,Nets,8 - 13,0,25,3,Jumper
42,Rodions Kurucs,DEFENSIVE_REBOUND,None,7:14,1,Nets,Wizards,8 - 13,1,N/A,N/A,N/A
43,Rondae Hollis-Jefferson,FG_MISS,None,6:59,1,Nets,Wizards,8 - 13,1,0,2,Layup
44,Markieff Morris,DEFENSIVE_REBOUND,None,6:56,1,Wizards,Nets,8 - 13,0,N/A,N/A,N/A
45,Markieff Morris,TURNOVER,None,6:56,1,Wizards,Nets,8 - 13,0,N/A,N/A,N/A
46,Joe Harris,FG_ASSISTED,D'Angelo Russell,6:45,1,Nets,Wizards,8 - 15,1,0,2,Layup
47,Bradley Beal,FG_ASSISTED,John Wall,6:32,1,Wizards,Nets,10 - 15,0,0,2,Layup
48,D'Angelo Russell,TURNOVER,None,6:24,1,Nets,Wizards,10 - 15,1,N/A,N/A,N/A
49,Spencer Dinwiddie,SUBSTITUTION,Russell D'Angelo,6:24,1,Nets,Wizards,10 - 15,1,N/A,N/A,N/A
50,John Wall,FG_UNASSISTED,None,6:14,1,Wizards,Nets,12 - 15,0,17,3,Jumper
51,Tomas Satoransky,FOUL_ON_FLOOR,None,6:00,1,Wizards,Nets,12 - 15,0,N/A,N/A,N/A
52,Jarrett Allen,FT,None,6:00,1,Nets,Wizards,12 - 16,1,N/A,1,N/A
53,Jarrett Allen,FT,None,6:00,1,Nets,Wizards,12 - 17,1,N/A,1,N/A
54,John Wall,FG_MISS,None,5:46,1,Wizards,Nets,12 - 17,0, ,3,Jumper
55,Rondae Hollis-Jefferson,DEFENSIVE_REBOUND,None,5:42,1,Nets,Wizards,12 - 17,1,N/A,N/A,N/A
56,Spencer Dinwiddie,FG_ASSISTED,Rondae Hollis-Jefferson,5:24,1,Nets,Wizards,12 - 19,1,0,2,Dunk
57,Rodions Kurucs,FOUL_ON_FLOOR,None,5:05,1,Nets,Wizards,12 - 19,1,N/A,N/A,N/A
58,DeMarre Carroll,SUBSTITUTION,Kurucs Rodions,5:05,1,Nets,Wizards,12 - 19,1,N/A,N/A,N/A
59,Bradley Beal,FG_UNASSISTED,None,5:00,1,Wizards,Nets,14 - 19,0,12,3,Jumper
60,Joe Harris,FG_MISS,None,4:39,1,Nets,Wizards,14 - 19,1,26,3,Jumper
61,Bradley Beal,DEFENSIVE_REBOUND,None,4:36,1,Wizards,Nets,14 - 19,0,N/A,N/A,N/A
62,Tomas Satoransky,FG_ASSISTED,Bradley Beal,4:28,1,Wizards,Nets,16 - 19,0, ,3,Jumper
63,Team,Unknown,None,4:28,1,Nets,Wizards,16 - 19,1,N/A,N/A,N/A
64,Kelly Oubre,SUBSTITUTION,Satoransky Tomas,4:28,1,Wizards,Nets,16 - 19,0,N/A,N/A,N/A
65,Sam Dekker,SUBSTITUTION,Green Jeff,4:28,1,Wizards,Nets,16 - 19,0,N/A,N/A,N/A
66,DeMarre Carroll,FG_MISS,None,4:05,1,Nets,Wizards,16 - 19,1, ,3,Jumper
67,Kelly Oubre,DEFENSIVE_REBOUND,None,4:03,1,Wizards,Nets,16 - 19,0,N/A,N/A,N/A
68,John Wall,FG_UNASSISTED,None,3:57,1,Wizards,Nets,18 - 19,0,0,2,Layup
69,Joe Harris,FG_MISS,None,3:42,1,Nets,Wizards,18 - 19,1,26,3,Jumper
70,Markieff Morris,DEFENSIVE_REBOUND,None,3:40,1,Wizards,Nets,18 - 19,0,N/A,N/A,N/A
71,Sam Dekker,FG_MISS,None,3:32,1,Wizards,Nets,18 - 19,0,22,3,Jumper
72,Rondae Hollis-Jefferson,DEFENSIVE_REBOUND,None,3:27,1,Nets,Wizards,18 - 19,1,N/A,N/A,N/A
73,Rondae Hollis-Jefferson,TURNOVER,None,3:24,1,Nets,Wizards,18 - 19,1,N/A,N/A,N/A
74,Jared Dudley,SUBSTITUTION,Hollis-Jefferson Rondae,3:24,1,Nets,Wizards,18 - 19,1,N/A,N/A,N/A
75,Ed Davis,SUBSTITUTION,Allen Jarrett,3:24,1,Nets,Wizards,18 - 19,1,N/A,N/A,N/A
76,Markieff Morris,FOUL_ON_FLOOR,None,3:12,1,Wizards,Nets,18 - 19,0,N/A,N/A,N/A
77,Markieff Morris,TURNOVER,None,3:12,1,Wizards,Nets,18 - 19,0,N/A,N/A,N/A
78,Austin Rivers,SUBSTITUTION,Wall John,3:12,1,Wizards,Nets,18 - 19,0,N/A,N/A,N/A
79,Ed Davis,FG_ASSISTED,Spencer Dinwiddie,2:55,1,Nets,Wizards,18 - 21,1,0,2,Layup
80,Kelly Oubre,FG_ASSISTED,Bradley Beal,2:41,1,Wizards,Nets,20 - 21,0,0,2,Dunk
81,Joe Harris,FG_MISS,None,2:29,1,Nets,Wizards,20 - 21,1,24,3,Jumper
82,Ed Davis,OFFENSIVE_REBOUND,None,2:26,1,Nets,Wizards,20 - 21,1,N/A,N/A,N/A
83,Spencer Dinwiddie,FG_MISS,None,2:17,1,Nets,Wizards,20 - 21,1,26,3,Jumper
84,Jared Dudley,OFFENSIVE_REBOUND,None,2:14,1,Nets,Wizards,20 - 21,1,N/A,N/A,N/A
85,Ed Davis,FG_MISS,None,2:11,1,Nets,Wizards,20 - 21,1,26,3,Jumper
86,Sam Dekker,DEFENSIVE_REBOUND,None,2:08,1,Wizards,Nets,20 - 21,0,N/A,N/A,N/A
87,DeMarre Carroll,FOUL_ON_FLOOR,None,2:02,1,Nets,Wizards,20 - 21,1,N/A,N/A,N/A
88,Bradley Beal,FT,None,2:02,1,Wizards,Nets,21 - 21,0,N/A,1,N/A
89,D'Angelo Russell,SUBSTITUTION,Harris Joe,2:02,1,Nets,Wizards,21 - 21,1,N/A,N/A,N/A
90,Bradley Beal,FT,None,2:02,1,Wizards,Nets,22 - 21,0,N/A,1,N/A
91,D'Angelo Russell,FG_UNASSISTED,None,1:43,1,Nets,Wizards,22 - 23,1,8,3,Jumper
92,Kelly Oubre,FG_ASSISTED,Bradley Beal,1:35,1,Wizards,Nets,24 - 23,0,0,2,Dunk
93,Team,Unknown,None,1:34,1,Nets,Wizards,24 - 23,1,N/A,N/A,N/A
94,Tomas Satoransky,SUBSTITUTION,Beal Bradley,1:34,1,Wizards,Nets,24 - 23,0,N/A,N/A,N/A
95,Team,Unknown,None,1:34,1,Nets,Wizards,24 - 23,1,N/A,N/A,N/A
96,Spencer Dinwiddie,TURNOVER,None,1:22,1,Nets,Wizards,24 - 23,1,N/A,N/A,N/A
97,Ed Davis,FOUL_ON_FLOOR,None,1:10,1,Nets,Wizards,24 - 23,1,N/A,N/A,N/A
98,Markieff Morris,FT,None,1:10,1,Wizards,Nets,25 - 23,0,N/A,1,N/A
99,Markieff Morris,FT_MISS,None,1:10,1,Wizards,Nets,25 - 23,0,N/A,1,N/A
100,Sam Dekker,OFFENSIVE_REBOUND,None,1:06,1,Wizards,Nets,25 - 23,0,N/A,N/A,N/A
101,Tomas Satoransky,FG_ASSISTED,Markieff Morris,1:03,1,Wizards,Nets,27 - 23,0,19,3,Jumper
102,DeMarre Carroll,FG_MISS,None,48.1,1,Nets,Wizards,27 - 23,1,23,3,Jumper
103,Ed Davis,OFFENSIVE_REBOUND,None,44.5,1,Nets,Wizards,27 - 23,1,N/A,N/A,N/A
104,Ed Davis,FG_UNASSISTED,None,42.8,1,Nets,Wizards,27 - 25,1,4,3,Jumper
105,Sam Dekker,FG_ASSISTED,Markieff Morris,31.6,1,Wizards,Nets,29 - 25,0, ,3,Jumper
106,Jared Dudley,FG_ASSISTED,Spencer Dinwiddie,23.2,1,Nets,Wizards,29 - 27,1, ,3,Jumper
107,Sam Dekker,FG_ASSISTED,Tomas Satoransky,1.4,1,Wizards,Nets,31 - 27,0,0,2,Layup
108,End of,Unknown,None,0.0,1,Nets,Wizards,31 - 27,1,N/A,N/A,N/A
0,Rodions Kurucs,SUBSTITUTION,Dinwiddie Spencer,12:00,3,Nets,Wizards,59 - 70,1,N/A,N/A,N/A
1,D'Angelo Russell,SUBSTITUTION,Carroll DeMarre,12:00,3,Nets,Wizards,59 - 70,1,N/A,N/A,N/A
2,Tomas Satoransky,SUBSTITUTION,Rivers Austin,12:00,3,Wizards,Nets,59 - 70,0,N/A,N/A,N/A
3,Rondae Hollis-Jefferson,FG_ASSISTED,D'Angelo Russell,11:37,3,Nets,Wizards,59 - 72,1,6,3,Jumper
4,Joe Harris,FOUL_ON_FLOOR,None,11:25,3,Nets,Wizards,59 - 72,1,N/A,N/A,N/A
5,Bradley Beal,FG_UNASSISTED,None,11:15,3,Wizards,Nets,61 - 72,0,14,3,Jumper
6,Joe Harris,TURNOVER,None,11:03,3,Nets,Wizards,61 - 72,1,N/A,N/A,N/A
7,Jeff Green,FG_ASSISTED,Bradley Beal,10:57,3,Wizards,Nets,64 - 72,0,24,3,Jumper
8,D'Angelo Russell,FG_MISS,None,10:39,3,Nets,Wizards,64 - 72,1,26,3,Jumper
9,Team,DEFENSIVE_REBOUND,None,10:36,3,Wizards,Nets,64 - 72,0,N/A,N/A,N/A
10,Bradley Beal,FG_MISS,None,10:29,3,Wizards,Nets,64 - 72,0,25,3,Jumper
11,D'Angelo Russell,DEFENSIVE_REBOUND,None,10:26,3,Nets,Wizards,64 - 72,1,N/A,N/A,N/A
12,Rondae Hollis-Jefferson,FG_ASSISTED,Joe Harris,10:20,3,Nets,Wizards,64 - 74,1,8,3,Jumper
13,Rondae Hollis-Jefferson,FOUL_ON_FLOOR,None,10:05,3,Nets,Wizards,64 - 74,1,N/A,N/A,N/A
14,Thomas Bryant,FG_MISS,None,9:59,3,Wizards,Nets,64 - 74,0,26,3,Jumper
15,Rondae Hollis-Jefferson,DEFENSIVE_REBOUND,None,9:55,3,Nets,Wizards,64 - 74,1,N/A,N/A,N/A
16,John Wall,FOUL_ON_FLOOR,None,9:51,3,Wizards,Nets,64 - 74,0,N/A,N/A,N/A
17,Joe Harris,FG_ASSISTED,D'Angelo Russell,9:40,3,Nets,Wizards,64 - 76,1, ,3,Jumper
