,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
0,Noah Vonleh,JUMP_BALL,None,12:00,1,Hornets,Knicks,0 - 0,1,N/A,N/A,N/A
1,Bismack Biyombo,FG_ASSISTED,Jeremy Lamb,11:46,1,Hornets,Knicks,0 - 2,1,0,2,Dunk
2,Lance Thomas,FG_MISS,None,11:25,1,Knicks,Hornets,0 - 2,0,20,2,Jumper
3,Kemba Walker,DEFENSIVE_REBOUND,None,11:20,1,Hornets,Knicks,0 - 2,1,N/A,N/A,N/A
4,Marvin Williams,FG_MISS,None,11:17,1,Hornets,Knicks,0 - 2,1,30,3,Jumper
5,Tim Hardaway,DEFENSIVE_REBOUND,None,11:13,1,Knicks,Hornets,0 - 2,0,N/A,N/A,N/A
6,Kevin Knox,FG_MISS,None,11:05,1,Knicks,Hornets,0 - 2,0,18,2,Jumper
7,Kemba Walker,DEFENSIVE_REBOUND,None,11:02,1,Hornets,Knicks,0 - 2,1,N/A,N/A,N/A
8,Jeremy Lamb,FG_ASSISTED,Marvin Williams,10:47,1,Hornets,Knicks,0 - 5,1,26,3,Jumper
9,Trey Burke,FG_MISS,None,10:32,1,Knicks,Hornets,0 - 5,0,11,2,Jumper
10,Jeremy Lamb,DEFENSIVE_REBOUND,None,10:28,1,Hornets,Knicks,0 - 5,1,N/A,N/A,N/A
11,Kemba Walker,FG_MISS,None,10:19,1,Hornets,Knicks,0 - 5,1,0,2,Layup
12,Tim Hardaway,DEFENSIVE_REBOUND,None,10:16,1,Knicks,Hornets,0 - 5,0,N/A,N/A,N/A
13,Kevin Knox,FG_ASSISTED,Tim Hardaway,10:09,1,Knicks,Hornets,2 - 5,0,8,2,Jumper
14,Bismack Biyombo,FG_MISS,None,9:53,1,Hornets,Knicks,2 - 5,1,-,2,Jumper
15,Tim Hardaway,DEFENSIVE_REBOUND,None,9:48,1,Knicks,Hornets,2 - 5,0,N/A,N/A,N/A
16,Tim Hardaway,FG_UNASSISTED,None,9:47,1,Knicks,Hornets,4 - 5,0,0,2,Layup
17,Jeremy Lamb,FOUL_ON_FLOOR,None,9:47,1,Hornets,Knicks,4 - 5,1,N/A,N/A,N/A
18,Tim Hardaway,FT,None,9:47,1,Knicks,Hornets,5 - 5,0,N/A,1,N/A
19,Bismack Biyombo,FG_ASSISTED,Kemba Walker,9:26,1,Hornets,Knicks,5 - 7,1,0,2,Layup
20,Noah Vonleh,FG_MISS,None,9:14,1,Knicks,Hornets,5 - 7,0,27,3,Jumper
21,Nicolas Batum,DEFENSIVE_REBOUND,None,9:11,1,Hornets,Knicks,5 - 7,1,N/A,N/A,N/A
22,Kemba Walker,FG_MISS,None,9:02,1,Hornets,Knicks,5 - 7,1,24,3,Jumper
23,Kevin Knox,DEFENSIVE_REBOUND,None,8:59,1,Knicks,Hornets,5 - 7,0,N/A,N/A,N/A
24,Lance Thomas,FG_MISS,None,8:52,1,Knicks,Hornets,5 - 7,0,23,3,Jumper
25,Jeremy Lamb,DEFENSIVE_REBOUND,None,8:49,1,Hornets,Knicks,5 - 7,1,N/A,N/A,N/A
26,Marvin Williams,FG_ASSISTED,Jeremy Lamb,8:40,1,Hornets,Knicks,5 - 9,1,0,2,Layup
27,Noah Vonleh,FG_MISS,None,8:25,1,Knicks,Hornets,5 - 9,0,26,3,Jumper
28,Bismack Biyombo,DEFENSIVE_REBOUND,None,8:22,1,Hornets,Knicks,5 - 9,1,N/A,N/A,N/A
29,Marvin Williams,FG_MISS,None,8:18,1,Hornets,Knicks,5 - 9,1,23,2,Jumper
30,Noah Vonleh,DEFENSIVE_REBOUND,None,8:14,1,Knicks,Hornets,5 - 9,0,N/A,N/A,N/A
31,Tim Hardaway,FG_ASSISTED,Noah Vonleh,8:01,1,Knicks,Hornets,8 - 9,0,25,3,Jumper
32,Nicolas Batum,FG_MISS,None,7:46,1,Hornets,Knicks,8 - 9,1,27,3,Jumper
33,Noah Vonleh,DEFENSIVE_REBOUND,None,7:33,1,Knicks,Hornets,8 - 9,0,N/A,N/A,N/A
34,Trey Burke,FG_UNASSISTED,None,7:31,1,Knicks,Hornets,10 - 9,0,0,2,Layup
35,Nicolas Batum,FG_MISS,None,7:17,1,Hornets,Knicks,10 - 9,1,-,2,Jumper
36,Tim Hardaway,DEFENSIVE_REBOUND,None,7:15,1,Knicks,Hornets,10 - 9,0,N/A,N/A,N/A
37,Tim Hardaway,FG_UNASSISTED,None,7:12,1,Knicks,Hornets,12 - 9,0,17,2,Jumper
38,Team,Unknown,None,7:11,1,Hornets,Knicks,12 - 9,1,N/A,N/A,N/A
39,Michael Kidd-Gilchrist,SUBSTITUTION,Biyombo Bismack,7:11,1,Hornets,Knicks,12 - 9,1,N/A,N/A,N/A
40,Jeremy Lamb,FG_UNASSISTED,None,6:47,1,Hornets,Knicks,12 - 11,1,11,2,Jumper
41,Trey Burke,FG_MISS,None,6:28,1,Knicks,Hornets,12 - 11,0, ,2,Jumper
42,Marvin Williams,DEFENSIVE_REBOUND,None,6:25,1,Hornets,Knicks,12 - 11,1,N/A,N/A,N/A
43,Kemba Walker,FG_MISS,None,6:14,1,Hornets,Knicks,12 - 11,1,23,2,Jumper
44,Michael Kidd-Gilchrist,OFFENSIVE_REBOUND,None,6:12,1,Hornets,Knicks,12 - 11,1,N/A,N/A,N/A
