,Player,Play Type,Secondary Player,Clock,Quarter,Team,Opponent,Score,Home?,Distance,Points,Shot Type
0,Myles Turner,JUMP_BALL,None,12:00,1,76ers,Pacers,0 - 0,1,N/A,N/A,N/A
1,Ben Simmons,FG_UNASSISTED,None,11:45,1,76ers,Pacers,0 - 2,1,-,2,Jumper
2,Thaddeus Young,FG_MISS,None,11:37,1,Pacers,76ers,0 - 2,0,0,2,Layup
3,Ben Simmons,DEFENSIVE_REBOUND,None,11:35,1,76ers,Pacers,0 - 2,1,N/A,N/A,N/A
4,JJ Redick,FG_ASSISTED,Joel Embiid,11:28,1,76ers,Pacers,0 - 4,1,17,2,Jumper
5,Myles Turner,FG_MISS,None,11:00,1,Pacers,76ers,0 - 4,0,15,2,Jumper
6,Ben Simmons,DEFENSIVE_REBOUND,None,10:57,1,76ers,Pacers,0 - 4,1,N/A,N/A,N/A
7,Furkan Korkmaz,FG_MISS,None,10:45,1,76ers,Pacers,0 - 4,1,-,2,Jumper
8,Joel Embiid,OFFENSIVE_REBOUND,None,10:40,1,76ers,Pacers,0 - 4,1,N/A,N/A,N/A
9,Joel Embiid,FG_UNASSISTED,None,10:40,1,76ers,Pacers,0 - 6,1,-,2,Jumper
10,Myles Turner,FG_MISS,None,10:27,1,Pacers,76ers,0 - 6,0,11,2,Jumper
11,Ben Simmons,DEFENSIVE_REBOUND,None,10:24,1,76ers,Pacers,0 - 6,1,N/A,N/A,N/A
12,Bojan Bogdanovic,FOUL_ON_FLOOR,None,10:20,1,Pacers,76ers,0 - 6,0,N/A,N/A,N/A
13,Joel Embiid,FG_MISS,None,10:07,1,76ers,Pacers,0 - 6,1,1,2,Jumper
14,Joel Embiid,OFFENSIVE_REBOUND,None,10:07,1,76ers,Pacers,0 - 6,1,N/A,N/A,N/A
15,Myles Turner,FOUL_ON_FLOOR,None,10:07,1,Pacers,76ers,0 - 6,0,N/A,N/A,N/A
16,Joel Embiid,FT_MISS,None,10:07,1,76ers,Pacers,0 - 6,1,N/A,1,N/A
17,Team,OFFENSIVE_REBOUND,None,10:07,1,76ers,Pacers,0 - 6,1,N/A,N/A,N/A
18,Joel Embiid,FT,None,10:07,1,76ers,Pacers,0 - 7,1,N/A,1,N/A
19,Thaddeus Young,FG_MISS,None,9:56,1,Pacers,76ers,0 - 7,0,14,2,Jumper
20,Ben Simmons,DEFENSIVE_REBOUND,None,9:53,1,76ers,Pacers,0 - 7,1,N/A,N/A,N/A
21,JJ Redick,FG_ASSISTED,Ben Simmons,9:47,1,76ers,Pacers,0 - 10,1,27,3,Jumper
22,Darren Collison,FG_UNASSISTED,None,9:33,1,Pacers,76ers,2 - 10,0,0,2,Layup
23,Furkan Korkmaz,FG_MISS,None,9:22,1,76ers,Pacers,2 - 10,1,24,3,Jumper
24,Myles Turner,DEFENSIVE_REBOUND,None,9:20,1,Pacers,76ers,2 - 10,0,N/A,N/A,N/A
25,Thaddeus Young,FG_MISS,None,9:11,1,Pacers,76ers,2 - 10,0,26,3,Jumper
26,Team,DEFENSIVE_REBOUND,None,9:08,1,76ers,Pacers,2 - 10,1,N/A,N/A,N/A
27,JJ Redick,FG_UNASSISTED,None,8:53,1,76ers,Pacers,2 - 12,1,21,2,Jumper
28,Furkan Korkmaz,FOUL_ON_FLOOR,None,8:47,1,76ers,Pacers,2 - 12,1,N/A,N/A,N/A
29,Team,Unknown,None,8:47,1,Pacers,76ers,2 - 12,0,N/A,N/A,N/A
30,Bojan Bogdanovic,FG_UNASSISTED,None,8:34,1,Pacers,76ers,4 - 12,0,8,2,Jumper
31,Joel Embiid,TURNOVER,Victor Oladipo,8:22,1,76ers,Pacers,4 - 12,1,N/A,N/A,N/A
32,JJ Redick,FOUL_ON_FLOOR,None,8:22,1,76ers,Pacers,4 - 12,1,N/A,N/A,N/A
33,Victor Oladipo,FT,None,8:22,1,Pacers,76ers,5 - 12,0,N/A,1,N/A
34,Victor Oladipo,FT,None,8:22,1,Pacers,76ers,6 - 12,0,N/A,1,N/A
