,TEAM,LOCATION,OPPONENT,DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
0,TOR,Away,BKN,02/12/2020,L,240,91,34,90,37.8,13,43,30.2,10,13,76.9,6,36,42,21,6,4,13,20,-10
1,BKN,Home,TOR,02/12/2020,W,240,101,36,88,40.9,9,35,25.7,20,25,80.0,12,43,55,27,7,5,17,16,10
2,DET,Away,ORL,02/12/2020,L,265,112,40,92,43.5,18,45,40.0,14,15,93.3,9,38,47,28,5,7,21,20,-4
3,ORL,Home,DET,02/12/2020,W,265,116,44,96,45.8,12,36,33.3,16,18,88.9,9,37,46,34,13,7,13,16,4
4,CLE,Home,ATL,02/12/2020,W,240,127,48,94,51.1,10,28,35.7,21,25,84.0,17,38,55,25,8,6,17,22,22
5,ATL,Away,CLE,02/12/2020,L,240,105,36,84,42.9,13,34,38.2,20,25,80.0,9,29,38,24,11,5,17,26,-22
6,PHX,Home,GSW,02/12/2020,W,240,112,42,91,46.2,14,37,37.8,14,15,93.3,8,32,40,25,14,4,14,21,6
7,GSW,Away,PHX,02/12/2020,L,240,106,39,77,50.6,11,31,35.5,17,19,89.5,4,34,38,27,8,7,22,20,-6
8,OKC,Home,SAS,02/11/2020,L,240,106,39,85,45.9,11,31,35.5,17,21,81.0,6,29,35,19,8,2,14,24,-8
9,SAS,Away,OKC,02/11/2020,W,240,114,41,84,48.8,7,25,28.0,25,27,92.6,7,39,46,20,9,7,12,19,8
10,HOU,Home,BOS,02/11/2020,W,240,116,33,77,42.9,13,45,28.9,37,42,88.1,5,40,45,17,9,6,14,21,11
11,BOS,Away,HOU,02/11/2020,L,240,105,37,85,43.5,11,32,34.4,20,25,80.0,10,38,48,24,11,4,18,26,-11
12,POR,Away,NOP,02/11/2020,L,240,117,44,93,47.3,7,29,24.1,22,28,78.6,12,28,40,21,5,3,15,26,-21
13,NOP,Home,POR,02/11/2020,W,240,138,49,92,53.3,14,34,41.2,26,32,81.3,14,36,50,40,7,5,14,20,21
14,PHI,Home,LAC,02/11/2020,W,240,110,44,95,46.3,8,27,29.6,14,21,66.7,11,39,50,25,3,7,8,11,7
15,LAC,Away,PHI,02/11/2020,L,240,103,40,90,44.4,14,31,45.2,9,13,69.2,5,37,42,25,2,6,9,19,-7
16,WAS,Home,CHI,02/11/2020,W,240,126,48,89,53.9,11,32,34.4,19,24,79.2,9,35,44,28,11,6,17,16,12
17,CHI,Away,WAS,02/11/2020,L,240,114,44,92,47.8,16,39,41.0,10,14,71.4,10,34,44,25,9,4,22,22,-12
18,MIA,Away,GSW,02/10/2020,W,240,113,43,87,49.4,12,33,36.4,15,21,71.4,7,38,45,36,10,3,12,19,12
19,GSW,Home,MIA,02/10/2020,L,240,101,30,77,39.0,11,34,32.4,30,34,88.2,6,34,40,23,8,2,16,21,-12
20,PHX,Away,LAL,02/10/2020,L,240,100,32,76,42.1,11,31,35.5,25,31,80.6,3,26,29,26,7,2,13,19,-25
21,LAL,Home,PHX,02/10/2020,W,240,125,47,91,51.6,14,37,37.8,17,25,68.0,16,43,59,28,8,4,16,22,25
22,SAS,Away,DEN,02/10/2020,L,240,120,41,85,48.2,16,32,50.0,22,25,88.0,9,27,36,33,7,1,10,17,-7
23,DEN,Home,SAS,02/10/2020,W,240,127,45,80,56.3,18,35,51.4,19,23,82.6,9,28,37,34,7,5,11,16,7
24,UTA,Away,DAL,02/10/2020,W,240,123,46,78,59.0,15,35,42.9,16,21,76.2,10,35,45,27,5,2,21,29,4
25,DAL,Home,UTA,02/10/2020,L,240,119,39,83,47.0,15,43,34.9,26,31,83.9,4,22,26,24,8,3,7,18,-4
26,SAC,Away,MIL,02/10/2020,L,240,111,42,101,41.6,14,43,32.6,13,18,72.2,10,39,49,23,6,5,13,22,-12
