,Unnamed: 0,Unnamed: 0.1,Player,Secondary Player,Clock,Team,Opponent,Score,Home?,Distance,Points,Shot Type,Won?,Made?
11035,0,1,Danilo Gallinari,None,2861.0,Clippers,Knicks,2,1,0,2.0,Dunk,1,True
11040,5,9,Danilo Gallinari,Shai Gilgeous-Alexander,2788.0,Clippers,Knicks,0,1,0,2.0,Layup,1,True
11043,8,15,Danilo Gallinari,None,2739.0,Clippers,Knicks,0,1,26,3.0,Jumper,1,False
11046,11,21,Shai Gilgeous-Alexander,None,2721.0,Clippers,Knicks,0,1,-,2.0,Jumper,1,False
11047,12,23,Landry Shamet,Ivica Zubac,2716.0,Clippers,Knicks,3,1,26,3.0,Jumper,1,True
11049,14,27,Landry Shamet,Danilo Gallinari,2676.0,Clippers,Knicks,6,1,26,3.0,Jumper,1,True
11051,16,30,Danilo Gallinari,None,2638.0,Clippers,Knicks,8,1,18,2.0,Jumper,1,True
11053,18,32,Danilo Gallinari,Patrick Beverley,2592.0,Clippers,Knicks,8,1,26,2.0,Jumper,1,True
11055,20,38,Danilo Gallinari,None,2557.0,Clippers,Knicks,8,1,27,3.0,Jumper,1,False
11056,21,40,Ivica Zubac,None,2553.0,Clippers,Knicks,8,1, ,2.0,Jumper,1,False
11058,23,44,Landry Shamet,None,2537.0,Clippers,Knicks,8,1, ,2.0,Jumper,1,False
11060,25,48,Shai Gilgeous-Alexander,Patrick Beverley,2521.0,Clippers,Knicks,11,1,27,3.0,Jumper,1,True
11062,27,52,Landry Shamet,Danilo Gallinari,2473.0,Clippers,Knicks,11,1,27,3.0,Jumper,1,True
11063,28,54,Landry Shamet,Patrick Beverley,2448.0,Clippers,Knicks,14,1,25,3.0,Jumper,1,True
11065,30,57,Ivica Zubac,Danilo Gallinari,2409.0,Clippers,Knicks,16,1,0,2.0,Layup,1,True
11070,35,66,Landry Shamet,Ivica Zubac,2353.0,Clippers,Knicks,17,1,26,3.0,Jumper,1,True
11073,38,75,Landry Shamet,Patrick Beverley,2320.0,Clippers,Knicks,20,1,26,3.0,Jumper,1,True
11075,40,78,Lou Williams,None,2300.0,Clippers,Knicks,20,1,20,2.0,Jumper,1,False
11076,41,85,Landry Shamet,None,2277.0,Clippers,Knicks,18,1,25,3.0,Jumper,1,False
11077,42,87,Emmanuel Mudiay,JaMychal Green,2265.0,Clippers,Knicks,-18,0,0,2.0,Layup,0,False
11078,43,91,Lou Williams,None,2256.0,Clippers,Knicks,18,1,0,2.0,Layup,1,False
11080,45,94,JaMychal Green,Lou Williams,2223.0,Clippers,Knicks,18,1,0,2.0,Layup,1,True
11081,46,99,JaMychal Green,Tyrone Wallace,2196.0,Clippers,Knicks,19,1,22,3.0,Jumper,1,True
11083,48,106,Lou Williams,None,2160.2,Clippers,Knicks,18,1,29,3.0,Jumper,1,False
11085,50,113,Montrezl Harrell,Tyrone Wallace,2111.0,Clippers,Knicks,20,1,0,2.0,Dunk,1,True
