,Unnamed: 0,Unnamed: 0.1,Player,Secondary Player,Clock,Team,Opponent,Score,Home?,Distance,Points,Shot Type,Won?,Made?
1,1,5,Tim Hardaway,None,2838.0,Knicks,Hawks,0,1,28,3.0,Jumper,1,False
4,4,11,Enes Kanter,None,2818.0,Knicks,Hawks,0,1,20,2.0,Jumper,1,False
6,6,15,Trey Burke,None,2784.0,Knicks,Hawks,0,1,19,2.0,Jumper,1,False
7,7,18,Trey Burke,None,2774.0,Knicks,Hawks,0,1,14,2.0,Jumper,1,False
8,8,27,Tim Hardaway,None,2739.0,Knicks,Hawks,0,1,25,2.0,Jumper,1,False
12,12,36,Trey Burke,None,2680.0,Knicks,Hawks,-4,1,-,2.0,Jumper,1,False
13,13,38,Enes Kanter,None,2678.0,Knicks,Hawks,-4,1,0,2.0,Dunk,1,False
15,15,42,Tim Hardaway,None,2657.0,Knicks,Hawks,-6,1,15,2.0,Jumper,1,False
17,17,45,Frank Ntilikina,Tim Hardaway,2632.0,Knicks,Hawks,-5,1,26,3.0,Jumper,1,True
19,19,48,Frank Ntilikina,None,2602.0,Knicks,Hawks,-5,1,17,2.0,Jumper,1,False
20,20,51,Trey Burke,Tim Hardaway,2588.0,Knicks,Hawks,-3,1,-,2.0,Jumper,1,True
22,22,56,Tim Hardaway,None,2553.0,Knicks,Hawks,-1,1,0,2.0,Layup,1,True
23,23,58,Trey Burke,Tim Hardaway,2531.0,Knicks,Hawks,2,1,26,3.0,Jumper,1,True
25,25,66,Kevin Knox,None,2470.0,Knicks,Hawks,2,1,0,2.0,Layup,1,False
26,26,69,Tim Hardaway,None,2445.0,Knicks,Hawks,4,1,0,2.0,Layup,1,True
28,28,75,Kevin Knox,None,2418.0,Knicks,Hawks,2,1,20,2.0,Jumper,1,False
30,30,86,Mitchell Robinson,Ron Baker,2366.0,Knicks,Hawks,2,1,0,2.0,Layup,1,True
32,32,89,Allonzo Trier,None,2348.0,Knicks,Hawks,2,1,26,3.0,Jumper,1,False
34,34,99,Kevin Knox,None,2317.0,Knicks,Hawks,0,1,19,2.0,Jumper,1,False
36,36,104,Kevin Knox,None,2286.0,Knicks,Hawks,-2,1,16,2.0,Jumper,1,False
37,37,106,Noah Vonleh,None,2284.0,Knicks,Hawks,0,1,0,2.0,Dunk,1,True
42,42,122,Ron Baker,None,2163.7,Knicks,Hawks,-2,1,23,3.0,Jumper,1,False
44,44,130,Allonzo Trier,None,2149.0,Knicks,Hawks,-1,1,15,2.0,Jumper,1,False
45,45,133,Noah Vonleh,Mario Hezonja,2139.0,Knicks,Hawks,1,1,0,2.0,Dunk,1,True
46,46,135,Allonzo Trier,None,2114.0,Knicks,Hawks,3,1, ,2.0,Jumper,1,True
48,48,138,Mario Hezonja,None,2083.0,Knicks,Hawks,3,1, ,2.0,Jumper,1,False
49,49,140,Mario Hezonja,None,2078.0,Knicks,Hawks,3,1,25,3.0,Jumper,1,False
50,50,143,Allonzo Trier,None,2069.0,Knicks,Hawks,5,1,17,2.0,Jumper,1,True
51,51,147,Mario Hezonja,None,2033.0,Knicks,Hawks,6,1,27,3.0,Jumper,1,True
53,53,149,Kevin Knox,Noah Vonleh,2001.0,Knicks,Hawks,6,1,13,2.0,Jumper,1,True
55,55,152,Noah Vonleh,None,1974.0,Knicks,Hawks,8,1,7,2.0,Jumper,1,True
57,57,161,Tim Hardaway,None,1935.0,Knicks,Hawks,10,1,11,2.0,Jumper,1,True
58,58,163,Tim Hardaway,Trey Burke,1919.0,Knicks,Hawks,12,1,0,2.0,Dunk,1,True
60,60,165,Tim Hardaway,Noah Vonleh,1888.0,Knicks,Hawks,12,1,25,3.0,Jumper,1,True
62,62,168,Kevin Knox,Noah Vonleh,1864.0,Knicks,Hawks,14,1,18,2.0,Jumper,1,True
64,64,175,Kevin Knox,None,1843.0,Knicks,Hawks,15,1,23,3.0,Jumper,1,False
65,65,177,Trae Young's,Kevin Knox,1836.0,Knicks,Hawks,-15,0,0,2.0,Layup,0,False
67,67,181,Trey Burke,None,1799.0,Knicks,Hawks,14,1,20,2.0,Jumper,1,True
68,68,185,Tim Hardaway,Enes Kanter,1774.0,Knicks,Hawks,16,1,12,2.0,Jumper,1,True
70,70,190,Frank Ntilikina,None,1742.0,Knicks,Hawks,16,1,26,3.0,Jumper,1,False
72,72,193,Trey Burke,None,1725.0,Knicks,Hawks,16,1,3,2.0,Jumper,1,True
75,75,200,Tim Hardaway,Trey Burke,1673.0,Knicks,Hawks,17,1,26,2.0,Jumper,1,True
76,76,201,Alex Poythress's,Lance Thomas,1661.0,Knicks,Hawks,-17,0,0,2.0,Layup,0,False
77,77,203,Tim Hardaway,None,1643.0,Knicks,Hawks,19,1,16,2.0,Jumper,1,True
78,78,207,Enes Kanter,Tim Hardaway,1615.0,Knicks,Hawks,21,1,0,2.0,Dunk,1,True
80,80,211,Tim Hardaway,None,1588.0,Knicks,Hawks,21,1,25,3.0,Jumper,1,False
81,81,214,Lance Thomas,None,1584.0,Knicks,Hawks,21,1,20,2.0,Jumper,1,False
82,82,216,Tim Hardaway,None,1577.0,Knicks,Hawks,21,1,12,2.0,Jumper,1,False
84,84,221,Frank Ntilikina,None,1554.0,Knicks,Hawks,18,1,17,2.0,Jumper,1,False
86,86,236,Enes Kanter,None,1496.5,Knicks,Hawks,22,1, ,2.0,Jumper,1,True
88,88,239,Allonzo Trier,Ron Baker,1480.7,Knicks,Hawks,25,1,26,3.0,Jumper,1,True
89,89,244,Enes Kanter,None,1449.4,Knicks,Hawks,25,1,0,2.0,Dunk,1,True
92,92,254,Enes Kanter,None,1416.0,Knicks,Hawks,25,1, ,2.0,Jumper,1,True
94,94,256,Trey Burke,None,1389.0,Knicks,Hawks,26,1,25,3.0,Jumper,1,True
96,96,259,Tim Hardaway,None,1356.0,Knicks,Hawks,26,1,25,3.0,Jumper,1,False
97,97,265,Lance Thomas,Trey Burke,1332.0,Knicks,Hawks,28,1, ,3.0,Jumper,1,True
99,99,267,Tim Hardaway,None,1310.0,Knicks,Hawks,26,1, ,2.0,Jumper,1,False
102,102,273,Trey Burke,None,1291.0,Knicks,Hawks,28,1,10,2.0,Jumper,1,True
104,104,280,Trae Young,Enes Kanter,1238.0,Knicks,Hawks,-26,0,4,2.0,Jumper,0,False
105,105,282,Trey Burke,None,1233.0,Knicks,Hawks,26,1,25,3.0,Jumper,1,False
106,106,289,Kevin Knox,None,1209.0,Knicks,Hawks,25,1,27,3.0,Jumper,1,False
108,108,292,Kevin Knox,None,1196.0,Knicks,Hawks,23,1,0,2.0,Layup,1,False
110,110,299,Kevin Knox,Trey Burke,1142.0,Knicks,Hawks,25,1,27,3.0,Jumper,1,True
112,112,301,Trey Burke,None,1120.0,Knicks,Hawks,22,1,17,2.0,Jumper,1,False
116,116,308,Frank Ntilikina,None,1095.0,Knicks,Hawks,27,1,0,2.0,Layup,1,True
118,118,310,Tim Hardaway,None,1076.0,Knicks,Hawks,24,1,26,3.0,Jumper,1,False
121,121,322,Kevin Knox,None,1017.0,Knicks,Hawks,18,1,25,3.0,Jumper,1,False
122,122,324,Enes Kanter,None,1013.0,Knicks,Hawks,18,1,3,2.0,Jumper,1,False
124,124,330,Frank Ntilikina,None,981.0,Knicks,Hawks,13,1,18,2.0,Jumper,1,False
125,125,333,Allonzo Trier,None,942.0,Knicks,Hawks,13,1,0,2.0,Layup,1,False
126,126,335,Allonzo Trier,None,934.0,Knicks,Hawks,15,1,0,2.0,Layup,1,True
128,128,346,Kevin Knox,None,881.0,Knicks,Hawks,16,1,0,2.0,Layup,1,False
130,130,354,Kevin Knox,Ron Baker,869.0,Knicks,Hawks,18,1,0,2.0,Layup,1,True
132,132,357,Tim Hardaway,None,842.0,Knicks,Hawks,18,1, ,2.0,Jumper,1,False
133,133,359,Noah Vonleh,None,836.0,Knicks,Hawks,20,1, ,2.0,Jumper,1,True
135,135,362,Kevin Knox,None,810.0,Knicks,Hawks,20,1,9,2.0,Jumper,1,False
138,138,373,Allonzo Trier,None,778.2,Knicks,Hawks,22,1,23,3.0,Jumper,1,False
142,142,384,Tim Hardaway,None,748.3,Knicks,Hawks,22,1,25,3.0,Jumper,1,True
144,144,386,Allonzo Trier,Tim Hardaway,721.5,Knicks,Hawks,22,1,0,2.0,Dunk,1,True
147,147,397,Ron Baker,None,668.0,Knicks,Hawks,20,1,23,3.0,Jumper,1,False
148,148,399,Tim Hardaway,None,666.0,Knicks,Hawks,22,1,1,2.0,Jumper,1,True
150,150,402,Tim Hardaway,None,634.0,Knicks,Hawks,20,1,23,3.0,Jumper,1,False
153,153,408,Noah Vonleh,None,610.0,Knicks,Hawks,22,1,1,2.0,Jumper,1,True
156,156,415,Ron Baker,None,552.0,Knicks,Hawks,20,1,26,3.0,Jumper,1,False
157,157,419,Tim Hardaway,None,524.0,Knicks,Hawks,20,1,13,2.0,Jumper,1,False
159,159,424,Mario Hezonja,None,497.0,Knicks,Hawks,20,1,0,2.0,Layup,1,False
162,162,433,Enes Kanter,None,456.0,Knicks,Hawks,18,1,16,2.0,Jumper,1,False
165,165,440,Mario Hezonja,None,410.0,Knicks,Hawks,20,1,0,2.0,Layup,1,True
167,167,450,Mario Hezonja,Frank Ntilikina,368.0,Knicks,Hawks,21,1,26,3.0,Jumper,1,True
170,170,454,Mario Hezonja,None,340.0,Knicks,Hawks,21,1,20,2.0,Jumper,1,True
172,172,456,Mario Hezonja,Enes Kanter,307.0,Knicks,Hawks,20,1,2,2.0,Jumper,1,True
173,173,458,Mario Hezonja,None,297.0,Knicks,Hawks,20,1,26,3.0,Jumper,1,False
174,174,461,Enes Kanter,Ron Baker,285.0,Knicks,Hawks,22,1,0,2.0,Layup,1,True
175,175,470,Mario Hezonja,Enes Kanter,229.0,Knicks,Hawks,26,1,24,3.0,Jumper,1,True
176,176,480,Mario Hezonja,None,160.0,Knicks,Hawks,27,1,1,2.0,Jumper,1,False
177,177,482,DeAndre' Bembry,Allonzo Trier,154.0,Knicks,Hawks,-27,0,2,2.0,Jumper,0,False
179,179,485,Mario Hezonja,None,148.0,Knicks,Hawks,25,1,25,3.0,Jumper,1,False
181,181,491,Kevin Knox,None,125.0,Knicks,Hawks,23,1,25,3.0,Jumper,1,False
182,182,496,Alex Poythress,Frank Ntilikina,99.0,Knicks,Hawks,-23,0,0,2.0,Dunk,0,False
183,183,498,Mario Hezonja,None,76.0,Knicks,Hawks,23,1,1,3.0,Jumper,1,False
185,185,501,Frank Ntilikina,None,52.5,Knicks,Hawks,21,1,11,2.0,Jumper,1,False
188,188,507,Kevin Huerter,Allonzo Trier,16.3,Knicks,Hawks,-19,0,2,2.0,Jumper,0,False
189,0,1,Tim Hardaway,Frank Ntilikina,2864.0,Knicks,Nets,2,0,0,2.0,Layup,0,True
191,2,3,Tim Hardaway,None,2823.0,Knicks,Nets,0,0,-,2.0,Jumper,0,False
192,3,6,Trey Burke,None,2808.0,Knicks,Nets,0,0,15,2.0,Jumper,0,False
196,7,18,Enes Kanter,None,2715.0,Knicks,Nets,-4,0,-,2.0,Jumper,0,False
198,9,21,Enes Kanter,None,2687.0,Knicks,Nets,-5,0,3,2.0,Jumper,0,True
200,11,23,Enes Kanter,None,2647.0,Knicks,Nets,-7,0,26,3.0,Jumper,0,False
201,12,26,Lance Thomas,None,2619.0,Knicks,Nets,-7,0,13,2.0,Jumper,0,False
202,13,28,Enes Kanter,None,2617.0,Knicks,Nets,-5,0, ,2.0,Jumper,0,True
204,15,32,Frank Ntilikina,None,2582.0,Knicks,Nets,-6,0,25,3.0,Jumper,0,False
206,17,37,Tim Hardaway,None,2563.0,Knicks,Nets,-6,0,0,2.0,Layup,0,False
210,21,45,Enes Kanter,None,2497.0,Knicks,Nets,-8,0,5,2.0,Jumper,0,True
211,22,47,Enes Kanter,Trey Burke,2480.0,Knicks,Nets,-6,0,0,2.0,Layup,0,True
213,24,54,Tim Hardaway,Lance Thomas,2450.0,Knicks,Nets,-5,0,0,2.0,Layup,0,True
216,27,61,Trey Burke,None,2415.0,Knicks,Nets,-3,0,26,3.0,Jumper,0,True
218,29,64,Tim Hardaway,None,2382.0,Knicks,Nets,-3,0, ,3.0,Jumper,0,False
219,30,70,Ron Baker,None,2359.0,Knicks,Nets,-3,0,26,3.0,Jumper,0,False
220,31,72,Tim Hardaway,None,2346.0,Knicks,Nets,-3,0,21,2.0,Jumper,0,False
223,34,82,Mario Hezonja,None,2294.0,Knicks,Nets,-4,0, ,2.0,Jumper,0,False
225,36,85,Enes Kanter,None,2262.0,Knicks,Nets,-6,0,19,2.0,Jumper,0,False
227,38,89,Kevin Knox,None,2245.0,Knicks,Nets,-7,0,0,2.0,Layup,0,True
230,41,93,Allonzo Trier,None,2202.7,Knicks,Nets,-9,0,25,3.0,Jumper,0,False
232,43,98,Allonzo Trier,None,2165.5,Knicks,Nets,-9,0,21,2.0,Jumper,0,False
234,45,103,Kevin Knox,None,2125.0,Knicks,Nets,-9,0, ,2.0,Jumper,0,False
235,46,109,Mario Hezonja,None,2088.0,Knicks,Nets,-8,0,14,2.0,Jumper,0,True
236,47,114,Mario Hezonja,None,2068.0,Knicks,Nets,-8,0,25,3.0,Jumper,0,False
239,50,124,Kevin Knox,Mario Hezonja,2018.0,Knicks,Nets,-9,0,20,2.0,Jumper,0,True
242,53,130,Allonzo Trier,None,1966.0,Knicks,Nets,-9,0,13,2.0,Jumper,0,True
244,55,133,Kevin Knox,None,1946.0,Knicks,Nets,-9,0,0,2.0,Layup,0,False
246,57,137,Kevin Knox,None,1918.0,Knicks,Nets,-6,0,26,3.0,Jumper,0,True
248,59,147,Kevin Knox,None,1889.0,Knicks,Nets,-6,0,25,3.0,Jumper,0,False
249,60,152,Trey Burke,None,1861.0,Knicks,Nets,-8,0,26,2.0,Jumper,0,False
252,63,166,Tim Hardaway,None,1792.0,Knicks,Nets,-9,0, ,2.0,Jumper,0,False
256,67,175,Lance Thomas,None,1750.0,Knicks,Nets,-11,0,0,2.0,Layup,0,False
257,68,178,Trey Burke,None,1718.0,Knicks,Nets,-9,0,19,2.0,Jumper,0,True
258,69,180,Trey Burke,None,1702.0,Knicks,Nets,-9,0,15,2.0,Jumper,0,False
259,70,182,Trey Burke,None,1695.0,Knicks,Nets,-9,0, ,2.0,Jumper,0,False
261,72,185,Enes Kanter,None,1660.0,Knicks,Nets,-11,0,5,2.0,Jumper,0,False
263,74,189,Tim Hardaway,None,1644.0,Knicks,Nets,-9,0,10,2.0,Jumper,0,True
264,75,194,Enes Kanter,None,1614.0,Knicks,Nets,-9,0,7,2.0,Jumper,0,True
266,77,199,Trey Burke,Enes Kanter,1579.0,Knicks,Nets,-9,0,26,3.0,Jumper,0,True
268,79,202,Enes Kanter,Frank Ntilikina,1548.0,Knicks,Nets,-7,0,0,2.0,Layup,0,True
270,81,204,Frank Ntilikina,None,1498.4,Knicks,Nets,-10,0,25,3.0,Jumper,0,False
271,82,207,Tim Hardaway,None,1482.2,Knicks,Nets,-7,0,25,2.0,Jumper,0,True
272,83,209,Tim Hardaway,None,1468.1,Knicks,Nets,-7,0,32,3.0,Jumper,0,False
273,84,211,Trey Burke,None,1462.1,Knicks,Nets,-7,0, ,2.0,Jumper,0,False
276,87,220,Enes Kanter,None,1408.0,Knicks,Nets,-9,0,2,2.0,Jumper,0,False
279,90,227,Lance Thomas,None,1343.0,Knicks,Nets,-11,0, ,2.0,Jumper,0,False
284,95,237,Tim Hardaway,None,1322.0,Knicks,Nets,-9,0, ,2.0,Jumper,0,True
285,96,242,Frank Ntilikina,None,1299.0,Knicks,Nets,-7,0,26,3.0,Jumper,0,True
287,98,244,Enes Kanter,None,1255.0,Knicks,Nets,-8,0,3,2.0,Jumper,0,True
288,99,246,Frank Ntilikina,None,1237.0,Knicks,Nets,-6,0,16,2.0,Jumper,0,True
290,101,249,Trey Burke,None,1206.0,Knicks,Nets,-6,0,11,2.0,Jumper,0,False
