,Unnamed: 0,Unnamed: 0.1,Player,Secondary Player,Clock,Team,Opponent,Score,Home?,Distance,Points,Shot Type,Won?,Made?
6613,0,1,Mason Plumlee,None,2853.0,Nuggets,Knicks,0,1,-,2.0,Jumper,1,False
6615,2,4,Juan Hernangomez,None,2815.0,Nuggets,Knicks,-3,1,25,3.0,Jumper,1,False
6617,4,8,Nikola Jokic,None,2785.0,Nuggets,Knicks,-3,1,4,2.0,Jumper,1,False
6619,6,11,Torrey Craig,Nikola Jokic,2757.0,Nuggets,Knicks,-3,1,2,2.0,Jumper,1,True
6621,8,14,Torrey Craig,Nikola Jokic,2729.0,Nuggets,Knicks,0,1,25,3.0,Jumper,1,True
6623,10,17,Jamal Murray,Nikola Jokic,2708.0,Nuggets,Knicks,2,1,0,2.0,Dunk,1,True
6624,11,19,Torrey Craig,Jamal Murray,2690.0,Nuggets,Knicks,5,1,23,3.0,Jumper,1,True
6626,13,21,Juan Hernangomez,None,2653.0,Nuggets,Knicks,2,1,24,3.0,Jumper,1,False
6627,14,23,Tim Hardaway,Nikola Jokic,2645.0,Nuggets,Knicks,-2,0,0,2.0,Layup,0,False
6630,17,29,Mason Plumlee,Nikola Jokic,2613.0,Nuggets,Knicks,4,1,0,2.0,Dunk,1,True
6632,19,31,Torrey Craig,None,2576.0,Nuggets,Knicks,1,1,24,3.0,Jumper,1,False
6635,22,39,Paul Millsap,None,2518.0,Nuggets,Knicks,-1,1,14,2.0,Jumper,1,False
6636,23,42,Emmanuel Mudiay,Torrey Craig,2506.0,Nuggets,Knicks,1,0,3,2.0,Jumper,0,False
6638,25,49,Gary Harris,None,2477.0,Nuggets,Knicks,-1,1, ,2.0,Jumper,1,False
6640,27,55,Juan Hernangomez,Nikola Jokic,2443.0,Nuggets,Knicks,2,1,25,3.0,Jumper,1,True
6642,29,58,Nikola Jokic,None,2409.0,Nuggets,Knicks,4,1,0,2.0,Layup,1,True
6644,31,64,Jamal Murray,Nikola Jokic,2384.0,Nuggets,Knicks,5,1,0,2.0,Dunk,1,True
6646,33,67,Paul Millsap,None,2352.0,Nuggets,Knicks,5,1,22,3.0,Jumper,1,False
6648,35,76,Malik Beasley,Mason Plumlee,2322.0,Nuggets,Knicks,5,1,15,2.0,Jumper,1,True
6650,37,83,Gary Harris,None,2285.0,Nuggets,Knicks,3,1, ,2.0,Jumper,1,False
6651,38,85,Mason Plumlee,Gary Harris,2271.0,Nuggets,Knicks,5,1,0,2.0,Dunk,1,True
6652,39,89,Paul Millsap,Malik Beasley,2244.0,Nuggets,Knicks,5,1,4,2.0,Jumper,1,True
6655,42,99,Monte Morris,None,2194.9,Nuggets,Knicks,-1,1, ,2.0,Jumper,1,False
6656,43,101,Trey Lyles,None,2190.4,Nuggets,Knicks,-1,1,26,3.0,Jumper,1,False
6658,45,104,Monte Morris,None,2160.8,Nuggets,Knicks,-4,1,27,3.0,Jumper,1,False
6660,47,108,Nikola Jokic,None,2117.0,Nuggets,Knicks,-6,1,11,2.0,Jumper,1,False
6663,50,118,Gary Harris,None,2061.0,Nuggets,Knicks,-6,1, ,2.0,Jumper,1,False
6665,52,121,Trey Lyles,None,2034.0,Nuggets,Knicks,-8,1,14,2.0,Jumper,1,False
6666,53,123,Allonzo Trier,Trey Lyles,2027.0,Nuggets,Knicks,8,0,2,2.0,Jumper,0,False
6669,56,133,Trey Lyles,Nikola Jokic,1980.0,Nuggets,Knicks,-5,1,25,3.0,Jumper,1,True
6671,58,142,Malik Beasley,Nikola Jokic,1906.0,Nuggets,Knicks,-5,1,25,3.0,Jumper,1,True
6673,60,145,Trey Lyles,Nikola Jokic,1883.0,Nuggets,Knicks,-3,1,0,2.0,Layup,1,True
6675,62,151,Jamal Murray,None,1852.0,Nuggets,Knicks,-5,1,25,3.0,Jumper,1,False
6676,63,154,Trey Lyles,Nikola Jokic,1842.0,Nuggets,Knicks,-3,1,0,2.0,Dunk,1,True
6678,65,156,Nikola Jokic,Jamal Murray,1816.0,Nuggets,Knicks,-4,1,7,2.0,Jumper,1,True
6680,67,158,Jamal Murray,None,1793.0,Nuggets,Knicks,-7,1,17,2.0,Jumper,1,False
6681,68,160,Trey Lyles,None,1791.0,Nuggets,Knicks,-5,1, ,2.0,Jumper,1,True
6683,70,163,Torrey Craig,None,1753.0,Nuggets,Knicks,-7,1,23,3.0,Jumper,1,False
6685,72,172,Trey Lyles,None,1721.0,Nuggets,Knicks,-7,1,25,3.0,Jumper,1,False
6687,74,175,Paul Millsap,None,1689.0,Nuggets,Knicks,-10,1,26,3.0,Jumper,1,False
6689,76,179,Jamal Murray,None,1673.0,Nuggets,Knicks,-10,1,25,3.0,Jumper,1,False
6691,78,183,Paul Millsap,None,1646.0,Nuggets,Knicks,-10,1,5,2.0,Jumper,1,False
6693,80,200,Malik Beasley,Paul Millsap,1586.0,Nuggets,Knicks,-7,1,20,2.0,Jumper,1,True
6696,83,206,Nikola Jokic,Torrey Craig,1539.0,Nuggets,Knicks,-5,1,7,2.0,Jumper,1,True
6697,84,207,Enes Kanter's,Nikola Jokic,1519.0,Nuggets,Knicks,5,0, ,2.0,Jumper,0,False
6698,85,215,Nikola Jokic,Jamal Murray,1507.0,Nuggets,Knicks,-3,1,4,2.0,Jumper,1,True
6699,86,216,Emmanuel Mudiay,Nikola Jokic,1488.5,Nuggets,Knicks,3,0,3,2.0,Jumper,0,False
6700,87,218,Torrey Craig,Paul Millsap,1483.1,Nuggets,Knicks,-1,1,0,2.0,Dunk,1,True
6702,89,223,Malik Beasley,None,1440.4,Nuggets,Knicks,-1,1,25,3.0,Jumper,1,False
6705,92,233,Jamal Murray,None,1395.0,Nuggets,Knicks,-3,1, ,2.0,Jumper,1,False
