,Unnamed: 0,Unnamed: 0.1,Player,Secondary Player,Clock,Team,Opponent,Score,Home?,Distance,Points,Shot Type,Won?,Made?
2639,2,6,Anthony Davis,None,2828.0,Pelicans,Knicks,0,1,9,2.0,Jumper,1,False
2642,5,13,Elfrid Payton,None,2779.0,Pelicans,Knicks,0,1,0,2.0,Layup,1,False
2644,7,16,Nikola Mirotic,None,2762.0,Pelicans,Knicks,-2,1,27,3.0,Jumper,1,False
2646,9,20,Anthony Davis,Jrue Holiday,2738.0,Pelicans,Knicks,-2,1,0,2.0,Dunk,1,True
2648,11,23,Jrue Holiday,None,2715.0,Pelicans,Knicks,-4,1,23,2.0,Jumper,1,False
2650,13,27,Nikola Mirotic,Anthony Davis,2688.0,Pelicans,Knicks,-2,1,-,2.0,Jumper,1,True
2651,14,29,Nikola Mirotic,None,2673.0,Pelicans,Knicks,-2,1,21,2.0,Jumper,1,False
2653,16,35,Nikola Mirotic,Anthony Davis,2631.0,Pelicans,Knicks,-2,1,25,3.0,Jumper,1,True
2658,21,44,Wesley Johnson,Anthony Davis,2573.0,Pelicans,Knicks,-4,1,26,3.0,Jumper,1,True
2660,23,46,Julius Randle,None,2531.0,Pelicans,Knicks,-5,1, ,2.0,Jumper,1,True
2663,26,51,E'Twaun Moore,None,2510.0,Pelicans,Knicks,-5,1,26,3.0,Jumper,1,False
2665,28,55,Wesley Johnson,None,2490.0,Pelicans,Knicks,-5,1, ,3.0,Jumper,1,False
2670,33,67,Elfrid Payton,None,2427.0,Pelicans,Knicks,-10,1,0,2.0,Layup,1,False
2671,34,69,Kevin Knox's,Wesley Johnson,2421.0,Pelicans,Knicks,10,0,0,2.0,Layup,0,False
2672,35,71,Anthony Davis,None,2414.0,Pelicans,Knicks,-10,1,0,2.0,Dunk,1,False
2675,38,79,Julius Randle,Jrue Holiday,2377.0,Pelicans,Knicks,-10,1,0,2.0,Dunk,1,True
2677,40,82,Nikola Mirotic,None,2345.0,Pelicans,Knicks,-10,1,27,3.0,Jumper,1,False
2679,42,87,Nikola Mirotic,None,2317.0,Pelicans,Knicks,-12,1, ,3.0,Jumper,1,False
2681,44,98,Julius Randle,None,2271.0,Pelicans,Knicks,-12,1, ,2.0,Jumper,1,False
2682,45,100,Ian Clark,None,2269.0,Pelicans,Knicks,-12,1,15,2.0,Jumper,1,False
2683,46,105,Jrue Holiday,None,2241.0,Pelicans,Knicks,-14,1,15,2.0,Jumper,1,False
2685,48,108,Julius Randle,None,2216.5,Pelicans,Knicks,-14,1,0,2.0,Layup,1,True
2688,51,115,Wesley Johnson,None,2160.9,Pelicans,Knicks,-16,1,26,3.0,Jumper,1,False
2689,52,119,Jrue Holiday,None,2150.0,Pelicans,Knicks,-16,1,3,2.0,Jumper,1,False
2691,54,122,Anthony Davis,None,2126.0,Pelicans,Knicks,-18,1,8,2.0,Jumper,1,False
2693,56,126,Jrue Holiday,None,2098.0,Pelicans,Knicks,-18,1,0,2.0,Layup,1,False
2695,58,130,Jrue Holiday,Ian Clark,2076.0,Pelicans,Knicks,-16,1, ,2.0,Jumper,1,True
2697,60,132,Ian Clark,None,2048.0,Pelicans,Knicks,-19,1,13,2.0,Jumper,1,False
2699,62,136,Nikola Mirotic,Anthony Davis,2032.0,Pelicans,Knicks,-17,1,0,2.0,Layup,1,True
2701,64,139,Ian Clark,None,2000.0,Pelicans,Knicks,-19,1,21,2.0,Jumper,1,False
2703,66,144,Jrue Holiday,None,1983.0,Pelicans,Knicks,-16,1,27,2.0,Jumper,1,True
2704,67,149,Jrue Holiday,None,1966.0,Pelicans,Knicks,-15,1,0,2.0,Layup,1,True
2705,68,154,Anthony Davis,Darius Miller,1951.0,Pelicans,Knicks,-12,1,0,2.0,Dunk,1,True
2707,70,162,Anthony Davis,Julius Randle,1911.0,Pelicans,Knicks,-11,1,0,2.0,Layup,1,True
2709,72,166,Julius Randle,None,1875.0,Pelicans,Knicks,-9,1,3,2.0,Jumper,1,True
2711,74,172,Ian Clark,None,1843.0,Pelicans,Knicks,-9,1,25,3.0,Jumper,1,False
2713,76,175,Darius Miller,None,1827.0,Pelicans,Knicks,-11,1,26,3.0,Jumper,1,False
2715,78,186,Anthony Davis,Darius Miller,1786.0,Pelicans,Knicks,-7,1,0,2.0,Layup,1,True
2719,82,199,Anthony Davis,Darius Miller,1725.0,Pelicans,Knicks,-8,1, ,2.0,Jumper,1,True
2721,84,205,Tim Hardaway,Darius Miller,1678.0,Pelicans,Knicks,9,0,0,2.0,Dunk,0,False
2723,86,208,Darius Miller,None,1665.0,Pelicans,Knicks,-11,1,26,3.0,Jumper,1,False
2725,88,211,Anthony Davis,None,1648.0,Pelicans,Knicks,-11,1,8,2.0,Jumper,1,True
2727,90,217,Anthony Davis,Jrue Holiday,1607.0,Pelicans,Knicks,-10,1,15,2.0,Jumper,1,True
2729,92,228,Julius Randle,None,1563.0,Pelicans,Knicks,-13,1,27,3.0,Jumper,1,False
2731,94,231,Nikola Mirotic,None,1542.0,Pelicans,Knicks,-16,1,26,3.0,Jumper,1,False
2732,95,233,Anthony Davis,None,1541.0,Pelicans,Knicks,-14,1, ,2.0,Jumper,1,True
2736,99,251,Darius Miller,None,1477.0,Pelicans,Knicks,-12,1,27,3.0,Jumper,1,False
2739,102,265,Anthony Davis,E'Twaun Moore,1429.0,Pelicans,Knicks,-8,1, ,2.0,Jumper,1,True
2741,104,270,Anthony Davis,Jrue Holiday,1377.0,Pelicans,Knicks,-8,1,0,2.0,Dunk,1,True
2743,106,272,Nikola Mirotic,None,1357.0,Pelicans,Knicks,-11,1,27,3.0,Jumper,1,False
2745,108,284,E'Twaun Moore,Jrue Holiday,1326.0,Pelicans,Knicks,-10,1,2,2.0,Jumper,1,True
2747,110,286,Jrue Holiday,None,1297.0,Pelicans,Knicks,-12,1,17,2.0,Jumper,1,False
2749,112,290,Anthony Davis,None,1270.0,Pelicans,Knicks,-12,1,19,2.0,Jumper,1,False
2750,113,292,E'Twaun Moore,Jrue Holiday,1264.0,Pelicans,Knicks,-10,1,0,2.0,Layup,1,True
2752,115,295,Anthony Davis,None,1238.0,Pelicans,Knicks,-13,1,25,3.0,Jumper,1,False
2754,117,301,Tim Hardaway,Jrue Holiday,1214.0,Pelicans,Knicks,13,0,0,2.0,Layup,0,False
2755,118,303,Wesley Johnson,Anthony Davis,1209.0,Pelicans,Knicks,-11,1,0,2.0,Dunk,1,True
2757,120,305,E'Twaun Moore,None,1179.0,Pelicans,Knicks,-11,1,24,3.0,Jumper,1,True
2759,122,308,Jrue Holiday,None,1151.0,Pelicans,Knicks,-10,1,0,2.0,Layup,1,True
2761,124,314,E'Twaun Moore,None,1119.0,Pelicans,Knicks,-7,1, ,2.0,Jumper,1,True
2762,125,321,Darius Miller,None,1063.0,Pelicans,Knicks,-8,1,25,3.0,Jumper,1,False
2763,126,325,Noah Vonleh,Anthony Davis,1042.0,Pelicans,Knicks,8,0,0,2.0,Layup,0,False
2766,129,334,Ian Clark,None,992.0,Pelicans,Knicks,-8,1,8,2.0,Jumper,1,False
2768,131,337,E'Twaun Moore,None,970.0,Pelicans,Knicks,-8,1,5,2.0,Jumper,1,True
2770,133,339,Anthony Davis,None,944.0,Pelicans,Knicks,-8,1,20,2.0,Jumper,1,True
2772,135,342,Anthony Davis,Ian Clark,917.0,Pelicans,Knicks,-5,1,25,3.0,Jumper,1,True
2774,137,345,Anthony Davis,None,887.0,Pelicans,Knicks,-5,1,25,3.0,Jumper,1,False
2775,138,353,Anthony Davis,Ian Clark,872.0,Pelicans,Knicks,-3,1,14,2.0,Jumper,1,True
2778,141,357,Frank Jackson,Nikola Mirotic,831.0,Pelicans,Knicks,-5,1,23,3.0,Jumper,1,True
2780,143,360,Ian Clark,None,811.0,Pelicans,Knicks,-5,1,13,2.0,Jumper,1,False
2781,144,362,Ian Clark,None,808.0,Pelicans,Knicks,-5,1, ,2.0,Jumper,1,False
2783,146,365,Nikola Mirotic,None,779.4,Pelicans,Knicks,-7,1,24,3.0,Jumper,1,False
2785,148,368,Frank Jackson,None,753.2,Pelicans,Knicks,-10,1,23,3.0,Jumper,1,False
2787,150,376,Ian Clark,None,726.3,Pelicans,Knicks,-6,1, ,2.0,Jumper,1,True
2790,153,383,Jrue Holiday,None,680.0,Pelicans,Knicks,-8,1,0,2.0,Layup,1,True
2792,155,385,Jrue Holiday,None,647.0,Pelicans,Knicks,-10,1,26,3.0,Jumper,1,False
