,Unnamed: 0,Unnamed: 0.1,Player,Secondary Player,Clock,Team,Opponent,Score,Home?,Distance,Points,Shot Type,Won?,Made?
10491,1,2,LaMarcus Aldridge,None,2845.0,Spurs,Knicks,-1,0,-,2.0,Jumper,0,True
10493,3,4,LaMarcus Aldridge,None,2819.0,Spurs,Knicks,-3,0,19,2.0,Jumper,0,False
10494,4,6,Bryn Forbes,None,2819.0,Spurs,Knicks,-1,0,-,2.0,Jumper,0,True
10496,6,8,LaMarcus Aldridge,None,2783.0,Spurs,Knicks,-3,0,15,2.0,Jumper,0,False
10499,9,17,Davis Bertans,None,2737.0,Spurs,Knicks,-1,0,27,3.0,Jumper,0,False
10501,11,21,Rudy Gay,None,2713.0,Spurs,Knicks,-1,0,12,2.0,Jumper,0,False
10503,13,24,Davis Bertans,None,2686.0,Spurs,Knicks,-4,0,28,3.0,Jumper,0,False
10505,15,28,LaMarcus Aldridge,None,2661.0,Spurs,Knicks,-2,0,14,2.0,Jumper,0,True
10507,17,31,LaMarcus Aldridge,None,2635.0,Spurs,Knicks,-2,0,16,2.0,Jumper,0,False
10509,19,35,Bryn Forbes,None,2607.0,Spurs,Knicks,-2,0,26,3.0,Jumper,0,False
10510,20,37,Bryn Forbes,None,2603.0,Spurs,Knicks,-2,0,27,3.0,Jumper,0,False
10511,21,39,Noah Vonleh,DeMar DeRozan,2584.0,Spurs,Knicks,2,1,0,2.0,Layup,1,False
10513,23,44,LaMarcus Aldridge,None,2552.0,Spurs,Knicks,-4,0, ,2.0,Jumper,0,False
10516,26,51,Rudy Gay,None,2518.0,Spurs,Knicks,-2,0,13,2.0,Jumper,0,True
10519,29,56,Patty Mills,DeMar DeRozan,2488.0,Spurs,Knicks,1,0, ,3.0,Jumper,0,True
10521,31,60,LaMarcus Aldridge,Patty Mills,2463.0,Spurs,Knicks,1,0,0,2.0,Dunk,0,True
10523,33,66,DeMar DeRozan,None,2421.0,Spurs,Knicks,3,0,18,2.0,Jumper,0,True
10525,35,72,Mitchell Robinson's,Davis Bertans,2399.0,Spurs,Knicks,-3,1, ,2.0,Jumper,1,False
10528,38,77,DeMar DeRozan,None,2365.0,Spurs,Knicks,2,0,3,2.0,Jumper,0,True
10531,41,89,Patty Mills,None,2321.0,Spurs,Knicks,2,0,27,3.0,Jumper,0,True
10533,43,91,Marco Belinelli,None,2303.0,Spurs,Knicks,0,0,27,3.0,Jumper,0,False
10537,47,98,Jakob Poeltl,Rudy Gay,2245.0,Spurs,Knicks,0,0,0,2.0,Layup,0,True
