,Unnamed: 0,Unnamed: 0.1,Player,Secondary Player,Clock,Team,Opponent,Score,Home?,Distance,Points,Shot Type,Won?,Made?
3006,1,4,CJ McCollum,None,2858.0,Trail Blazers,Knicks,0,0,26,3.0,Jumper,1,False
3007,2,6,Damian Lillard,None,2851.0,Trail Blazers,Knicks,0,0,32,3.0,Jumper,1,False
3009,4,9,Jusuf Nurkic,Damian Lillard,2820.0,Trail Blazers,Knicks,0,0,21,2.0,Jumper,1,True
3011,6,12,CJ McCollum,None,2796.0,Trail Blazers,Knicks,0,0,20,2.0,Jumper,1,False
3012,7,17,Damian Lillard,Jusuf Nurkic,2777.0,Trail Blazers,Knicks,0,0,20,2.0,Jumper,1,True
3014,9,19,Jusuf Nurkic,Damian Lillard,2734.0,Trail Blazers,Knicks,0,0,0,2.0,Layup,1,True
3016,11,21,Damian Lillard,Jusuf Nurkic,2702.0,Trail Blazers,Knicks,-1,0,-,2.0,Jumper,1,True
3017,12,22,Tim Hardaway,Jusuf Nurkic,2694.0,Trail Blazers,Knicks,1,1,1,2.0,Jumper,0,False
3018,13,24,Jusuf Nurkic,Damian Lillard,2680.0,Trail Blazers,Knicks,1,0,0,2.0,Layup,1,True
3020,15,26,Jusuf Nurkic,None,2654.0,Trail Blazers,Knicks,-1,0,25,3.0,Jumper,1,False
3022,17,29,Damian Lillard,Jusuf Nurkic,2619.0,Trail Blazers,Knicks,0,0,26,3.0,Jumper,1,True
3024,19,32,Damian Lillard,None,2597.0,Trail Blazers,Knicks,0,0,17,2.0,Jumper,1,False
3025,20,34,Jake Layman,None,2590.0,Trail Blazers,Knicks,0,0,26,3.0,Jumper,1,False
3027,22,38,CJ McCollum,None,2560.0,Trail Blazers,Knicks,0,0,0,2.0,Layup,1,False
3028,23,40,Jusuf Nurkic,None,2556.0,Trail Blazers,Knicks,0,0, ,2.0,Jumper,1,False
3029,24,42,CJ McCollum,None,2556.0,Trail Blazers,Knicks,2,0,0,2.0,Dunk,1,True
3031,26,44,CJ McCollum,None,2528.0,Trail Blazers,Knicks,0,0,20,2.0,Jumper,1,False
3036,31,61,CJ McCollum,Damian Lillard,2440.0,Trail Blazers,Knicks,-2,0,0,2.0,Layup,1,True
3037,32,67,Zach Collins,None,2411.0,Trail Blazers,Knicks,-2,0,27,3.0,Jumper,1,False
3038,33,69,Damian Lillard,None,2405.0,Trail Blazers,Knicks,1,0,27,3.0,Jumper,1,True
3041,36,73,Meyers Leonard,None,2361.0,Trail Blazers,Knicks,-2,0, ,3.0,Jumper,1,False
3043,38,82,CJ McCollum,None,2312.0,Trail Blazers,Knicks,0,0,17,2.0,Jumper,1,True
3045,40,85,CJ McCollum,Evan Turner,2278.0,Trail Blazers,Knicks,3,0, ,3.0,Jumper,1,True
3049,44,98,Evan Turner,None,2203.8,Trail Blazers,Knicks,2,0,14,2.0,Jumper,1,False
3051,46,103,Meyers Leonard,None,2182.4,Trail Blazers,Knicks,-2,0,16,2.0,Jumper,1,False
3053,48,106,Nik Stauskas,None,2160.0,Trail Blazers,Knicks,-2,0,39,3.0,Jumper,1,True
3054,49,109,Nik Stauskas,None,2121.0,Trail Blazers,Knicks,-2,0,27,3.0,Jumper,1,False
3056,51,115,Meyers Leonard,Nik Stauskas,2092.0,Trail Blazers,Knicks,0,0,0,2.0,Dunk,1,True
3057,52,117,Jake Layman,None,2070.0,Trail Blazers,Knicks,0,0,24,3.0,Jumper,1,False
3059,54,120,Meyers Leonard,Nik Stauskas,2038.0,Trail Blazers,Knicks,1,0,26,3.0,Jumper,1,True
3060,55,124,Nik Stauskas,None,2011.0,Trail Blazers,Knicks,1,0,21,2.0,Jumper,1,True
3062,57,126,Meyers Leonard,Nik Stauskas,1983.0,Trail Blazers,Knicks,2,0,27,3.0,Jumper,1,True
3066,61,133,Evan Turner,None,1919.0,Trail Blazers,Knicks,0,0,22,2.0,Jumper,1,False
3068,63,136,Evan Turner,Meyers Leonard,1887.0,Trail Blazers,Knicks,-1,0, ,2.0,Jumper,1,True
3072,67,148,Damian Lillard,None,1812.0,Trail Blazers,Knicks,-3,0,0,2.0,Layup,1,False
3073,68,150,CJ McCollum,Jake Layman,1808.0,Trail Blazers,Knicks,0,0, ,3.0,Jumper,1,True
3074,69,151,Allonzo Trier's,Jusuf Nurkic,1790.0,Trail Blazers,Knicks,0,1,0,2.0,Layup,0,False
3075,70,153,CJ McCollum,None,1780.0,Trail Blazers,Knicks,0,0,22,2.0,Jumper,1,False
3077,72,157,Nik Stauskas,None,1760.0,Trail Blazers,Knicks,0,0, ,3.0,Jumper,1,False
3079,74,169,Damian Lillard,None,1732.0,Trail Blazers,Knicks,-3,0,12,2.0,Jumper,1,False
3081,76,172,CJ McCollum,None,1701.0,Trail Blazers,Knicks,-5,0,25,3.0,Jumper,1,False
3082,77,174,Nik Stauskas,None,1695.0,Trail Blazers,Knicks,-5,0, ,2.0,Jumper,1,False
3084,79,185,Jusuf Nurkic,None,1640.0,Trail Blazers,Knicks,-1,0, ,2.0,Jumper,1,True
3087,82,195,CJ McCollum,None,1585.0,Trail Blazers,Knicks,-1,0,14,2.0,Jumper,1,True
3089,84,199,Damian Lillard,None,1558.0,Trail Blazers,Knicks,-2,0,6,2.0,Jumper,1,True
3091,86,202,Evan Turner,None,1536.0,Trail Blazers,Knicks,-2,0,18,2.0,Jumper,1,False
3093,88,206,Damian Lillard,None,1510.0,Trail Blazers,Knicks,-4,0,29,3.0,Jumper,1,False
3097,92,218,Damian Lillard,None,1442.4,Trail Blazers,Knicks,-2,0,0,2.0,Dunk,1,True
3099,94,223,Noah Vonleh's,Jake Layman,1421.0,Trail Blazers,Knicks,2,1, ,2.0,Jumper,0,False
3100,95,225,Jusuf Nurkic,None,1411.0,Trail Blazers,Knicks,-2,0,0,2.0,Layup,1,False
3101,96,227,Jusuf Nurkic,None,1408.0,Trail Blazers,Knicks,0,0,2,2.0,Jumper,1,True
3103,98,229,Jusuf Nurkic,None,1377.0,Trail Blazers,Knicks,-3,0,15,2.0,Jumper,1,False
3106,101,235,Damian Lillard,None,1350.0,Trail Blazers,Knicks,-1,0,12,2.0,Jumper,1,True
3108,103,237,CJ McCollum,None,1312.0,Trail Blazers,Knicks,-3,0,26,3.0,Jumper,1,False
3110,105,241,Damian Lillard,None,1284.0,Trail Blazers,Knicks,-5,0,25,3.0,Jumper,1,False
3112,107,244,Jake Layman,Damian Lillard,1254.0,Trail Blazers,Knicks,-5,0,25,3.0,Jumper,1,True
3114,109,249,Damian Lillard,None,1189.0,Trail Blazers,Knicks,-7,0,0,2.0,Layup,1,False
3117,112,255,Al-Farouq Aminu,None,1165.0,Trail Blazers,Knicks,-7,0,23,3.0,Jumper,1,False
3119,114,259,CJ McCollum,Jusuf Nurkic,1135.0,Trail Blazers,Knicks,-8,0,15,2.0,Jumper,1,True
3120,115,261,Al-Farouq Aminu,Evan Turner,1113.0,Trail Blazers,Knicks,-5,0,25,3.0,Jumper,1,True
3122,117,263,Damian Lillard,Evan Turner,1087.0,Trail Blazers,Knicks,-4,0,26,3.0,Jumper,1,True
3124,119,266,Damian Lillard,None,1065.0,Trail Blazers,Knicks,-4,0,26,3.0,Jumper,1,False
3125,120,272,Damian Lillard,None,1026.0,Trail Blazers,Knicks,-4,0,25,3.0,Jumper,1,False
3127,122,278,CJ McCollum,None,979.0,Trail Blazers,Knicks,-4,0,20,2.0,Jumper,1,True
3129,124,281,Jusuf Nurkic,CJ McCollum,954.0,Trail Blazers,Knicks,-2,0,0,2.0,Layup,1,True
3134,129,297,Zach Collins,Evan Turner,840.0,Trail Blazers,Knicks,-3,0,9,2.0,Jumper,1,True
3135,130,299,Evan Turner,Damian Lillard,814.0,Trail Blazers,Knicks,-1,0,0,2.0,Layup,1,True
3137,132,302,Meyers Leonard,Damian Lillard,793.0,Trail Blazers,Knicks,2,0,22,3.0,Jumper,1,True
3138,133,306,Evan Turner,None,751.6,Trail Blazers,Knicks,2,0,9,2.0,Jumper,1,True
3139,134,308,Meyers Leonard,Damian Lillard,722.3,Trail Blazers,Knicks,4,0,0,2.0,Dunk,1,True
3142,137,317,CJ McCollum,Zach Collins,671.0,Trail Blazers,Knicks,6,0,22,2.0,Jumper,1,True
3144,139,320,CJ McCollum,None,637.0,Trail Blazers,Knicks,6,0, ,2.0,Jumper,1,False
3145,140,322,Nik Stauskas,None,632.0,Trail Blazers,Knicks,9,0,25,3.0,Jumper,1,True
3147,142,326,Zach Collins,None,590.0,Trail Blazers,Knicks,7,0,0,2.0,Layup,1,False
3149,144,329,CJ McCollum,Meyers Leonard,561.0,Trail Blazers,Knicks,8,0,26,3.0,Jumper,1,True
3153,148,337,CJ McCollum,None,490.0,Trail Blazers,Knicks,9,0,25,3.0,Jumper,1,True
3154,149,338,Tim Hardaway,CJ McCollum,475.0,Trail Blazers,Knicks,-9,1,11,2.0,Jumper,0,False
3155,150,341,CJ McCollum,None,465.0,Trail Blazers,Knicks,11,0,0,2.0,Layup,1,True
3157,152,343,CJ McCollum,None,429.0,Trail Blazers,Knicks,8,0,25,3.0,Jumper,1,False
3160,155,355,Jusuf Nurkic,None,391.0,Trail Blazers,Knicks,6,0,11,2.0,Jumper,1,False
3162,157,360,Damian Lillard,None,354.0,Trail Blazers,Knicks,3,0,1,2.0,Jumper,1,False
3163,158,369,Evan Turner,None,328.0,Trail Blazers,Knicks,5,0,5,2.0,Jumper,1,True
3165,160,372,Damian Lillard,None,300.0,Trail Blazers,Knicks,5,0,23,2.0,Jumper,1,False
3168,163,378,CJ McCollum,None,246.0,Trail Blazers,Knicks,3,0,13,2.0,Jumper,1,False
3169,164,380,Evan Turner,None,243.0,Trail Blazers,Knicks,3,0,1,2.0,Jumper,1,False
3171,166,385,Damian Lillard,None,210.0,Trail Blazers,Knicks,3,0,22,3.0,Jumper,1,False
3172,167,388,Al-Farouq Aminu,CJ McCollum,199.0,Trail Blazers,Knicks,6,0,25,3.0,Jumper,1,True
3174,169,390,Al-Farouq Aminu,None,161.0,Trail Blazers,Knicks,4,0,27,3.0,Jumper,1,False
3176,171,401,CJ McCollum,None,110.0,Trail Blazers,Knicks,5,0,25,3.0,Jumper,1,True
3177,172,407,Jusuf Nurkic,None,86.0,Trail Blazers,Knicks,2,0,16,2.0,Jumper,1,False
3178,173,414,Damian Lillard,None,44.7,Trail Blazers,Knicks,4,0,13,2.0,Jumper,1,True
3179,174,418,Damian Lillard,None,11.9,Trail Blazers,Knicks,2,0,14,2.0,Jumper,1,False
3180,175,420,Jusuf Nurkic,None,11.9,Trail Blazers,Knicks,2,0,3,2.0,Jumper,1,False
3181,176,422,Evan Turner,None,9.5,Trail Blazers,Knicks,4,0,1,2.0,Jumper,1,True
6999,1,8,Jusuf Nurkic,CJ McCollum,2826.0,Trail Blazers,Knicks,4,1,4,2.0,Jumper,1,True
7001,3,11,Jusuf Nurkic,None,2804.0,Trail Blazers,Knicks,6,1,-,2.0,Jumper,1,True
7002,4,12,Tim Hardaway,CJ McCollum,2787.0,Trail Blazers,Knicks,-6,0,3,2.0,Jumper,0,False
