,Unnamed: 0,Unnamed: 0.1,Player,Secondary Player,Clock,Team,Opponent,Score,Home?,Distance,Points,Shot Type,Won?,Made?
898,1,2,Kevin Durant,Stephen Curry,2850.0,Warriors,Knicks,0,0,16,2.0,Jumper,1,True
899,2,5,Kevin Durant,None,2820.0,Warriors,Knicks,0,0,26,3.0,Jumper,1,False
902,5,10,Damian Jones,Klay Thompson,2758.0,Warriors,Knicks,-4,0,0,2.0,Layup,1,True
904,7,13,Kevin Durant,Damian Jones,2738.0,Warriors,Knicks,-2,0,19,2.0,Jumper,1,True
905,8,14,Tim Hardaway,Damian Jones,2722.0,Warriors,Knicks,2,1,0,2.0,Layup,0,False
907,10,17,Stephen Curry,Draymond Green,2701.0,Warriors,Knicks,-2,0,0,2.0,Layup,1,True
908,11,18,Frank Ntilikina's,Damian Jones,2685.0,Warriors,Knicks,2,1, ,2.0,Jumper,0,False
909,12,21,Kevin Durant,Damian Jones,2675.0,Warriors,Knicks,0,0,0,2.0,Dunk,1,True
912,15,30,Klay Thompson,None,2615.0,Warriors,Knicks,-6,0, ,2.0,Jumper,1,False
915,18,36,Klay Thompson,None,2579.0,Warriors,Knicks,-6,0,22,3.0,Jumper,1,False
918,21,42,Klay Thompson,None,2558.0,Warriors,Knicks,-4,0,18,2.0,Jumper,1,True
920,23,51,Stephen Curry,None,2485.0,Warriors,Knicks,-1,0,25,3.0,Jumper,1,True
921,24,55,Stephen Curry,Kevon Looney,2456.0,Warriors,Knicks,2,0,22,3.0,Jumper,1,True
924,27,63,Stephen Curry,None,2420.0,Warriors,Knicks,4,0,0,2.0,Layup,1,True
927,30,68,Stephen Curry,Kevin Durant,2389.0,Warriors,Knicks,7,0,24,3.0,Jumper,1,True
928,31,69,Damyean Dotson,Andre Iguodala,2366.0,Warriors,Knicks,-7,1,0,2.0,Layup,0,False
929,32,71,Stephen Curry,None,2359.0,Warriors,Knicks,7,0,31,3.0,Jumper,1,False
931,34,75,Stephen Curry,None,2324.0,Warriors,Knicks,7,0,21,2.0,Jumper,1,False
933,36,83,Andre Iguodala,None,2298.0,Warriors,Knicks,4,0,16,2.0,Jumper,1,False
934,37,86,Stephen Curry,None,2282.0,Warriors,Knicks,4,0, ,3.0,Jumper,1,False
939,42,99,Shaun Livingston,None,2166.4,Warriors,Knicks,2,0, ,2.0,Jumper,1,False
941,44,105,Klay Thompson,None,2142.0,Warriors,Knicks,0,0,11,2.0,Jumper,1,False
943,46,108,Klay Thompson,None,2118.0,Warriors,Knicks,-2,0,7,2.0,Jumper,1,False
944,47,112,Klay Thompson,Shaun Livingston,2096.0,Warriors,Knicks,0,0,0,2.0,Dunk,1,True
947,50,118,Klay Thompson,None,2051.0,Warriors,Knicks,0,0,23,3.0,Jumper,1,False
949,52,121,Klay Thompson,Draymond Green,2016.0,Warriors,Knicks,0,0,0,2.0,Layup,1,True
951,54,124,Klay Thompson,None,1984.0,Warriors,Knicks,-2,0,20,2.0,Jumper,1,False
953,56,128,Jonas Jerebko,None,1962.0,Warriors,Knicks,-2,0,26,3.0,Jumper,1,False
954,57,131,Andre Iguodala,Draymond Green,1948.0,Warriors,Knicks,0,0,0,2.0,Dunk,1,True
956,59,134,Draymond Green,Klay Thompson,1916.0,Warriors,Knicks,2,0,17,2.0,Jumper,1,True
958,61,138,Klay Thompson,None,1884.0,Warriors,Knicks,4,0,0,2.0,Layup,1,True
960,63,140,Draymond Green,None,1851.0,Warriors,Knicks,5,0,25,3.0,Jumper,1,True
962,65,143,Jonas Jerebko,Klay Thompson,1825.0,Warriors,Knicks,7,0,14,2.0,Jumper,1,True
964,67,157,Jonas Jerebko,None,1768.0,Warriors,Knicks,7,0,20,2.0,Jumper,1,False
966,69,163,Kevin Durant,None,1736.0,Warriors,Knicks,9,0,2,2.0,Jumper,1,True
968,71,170,Kevin Durant,None,1702.0,Warriors,Knicks,10,0,27,3.0,Jumper,1,True
970,73,173,Stephen Curry,None,1684.0,Warriors,Knicks,10,0,29,3.0,Jumper,1,False
971,74,175,Draymond Green,None,1679.0,Warriors,Knicks,10,0,26,3.0,Jumper,1,False
973,76,180,Klay Thompson,None,1658.0,Warriors,Knicks,10,0,17,2.0,Jumper,1,False
975,78,184,Kevin Durant,None,1634.0,Warriors,Knicks,12,0, ,2.0,Jumper,1,True
978,81,191,Tim Hardaway,Draymond Green,1585.0,Warriors,Knicks,-11,1,0,2.0,Layup,0,False
979,82,196,Kevin Durant,None,1559.0,Warriors,Knicks,11,0,20,2.0,Jumper,1,True
980,83,200,Kevin Durant,None,1526.0,Warriors,Knicks,9,0,11,2.0,Jumper,1,False
984,87,211,Klay Thompson,None,1475.8,Warriors,Knicks,5,0, ,2.0,Jumper,1,False
986,89,214,Klay Thompson,None,1449.8,Warriors,Knicks,2,0,25,3.0,Jumper,1,False
989,92,221,Klay Thompson,Damian Jones,1383.0,Warriors,Knicks,0,0,20,2.0,Jumper,1,True
990,93,227,Stephen Curry,Draymond Green,1358.0,Warriors,Knicks,2,0,28,3.0,Jumper,1,True
992,95,229,Draymond Green,None,1324.0,Warriors,Knicks,2,0,0,2.0,Layup,1,True
995,98,233,Kevin Durant,None,1271.0,Warriors,Knicks,-3,0,12,2.0,Jumper,1,False
997,100,241,Stephen Curry,None,1251.0,Warriors,Knicks,-2,0,2,2.0,Jumper,1,True
1000,103,249,Draymond Green,None,1210.0,Warriors,Knicks,-2,0,0,2.0,Layup,1,True
1002,105,251,Stephen Curry,Kevin Durant,1171.0,Warriors,Knicks,-1,0,24,3.0,Jumper,1,True
1007,110,264,Stephen Curry,None,1071.0,Warriors,Knicks,-7,0,0,2.0,Layup,1,False
1009,112,268,Klay Thompson,None,1034.0,Warriors,Knicks,-7,0,21,2.0,Jumper,1,False
1010,113,272,Kevon Looney,Kevin Durant,991.0,Warriors,Knicks,-5,0,0,2.0,Dunk,1,True
1013,116,276,Kevin Durant,None,950.0,Warriors,Knicks,-5,0,0,2.0,Layup,1,False
1016,119,282,Stephen Curry,None,914.0,Warriors,Knicks,-7,0,26,3.0,Jumper,1,False
1018,121,290,Stephen Curry,Kevon Looney,895.0,Warriors,Knicks,-7,0,20,2.0,Jumper,1,True
1020,123,295,Stephen Curry,None,844.0,Warriors,Knicks,-7,0,27,3.0,Jumper,1,False
1021,124,297,Alfonzo McKinnie,None,839.0,Warriors,Knicks,-7,0,0,2.0,Layup,1,False
1023,126,300,Kevon Looney,Andre Iguodala,817.0,Warriors,Knicks,-8,0, ,2.0,Jumper,1,True
1025,128,306,Jonas Jerebko,None,788.0,Warriors,Knicks,-7,0, ,2.0,Jumper,1,False
1026,129,308,Kevon Looney,None,787.0,Warriors,Knicks,-5,0, ,2.0,Jumper,1,True
1028,131,310,Jonas Jerebko,Stephen Curry,765.6,Warriors,Knicks,-5,0,27,3.0,Jumper,1,True
1032,135,327,Kevin Durant,None,680.0,Warriors,Knicks,-3,0,27,3.0,Jumper,1,True
1034,137,330,Kevin Durant,None,649.0,Warriors,Knicks,-3,0,27,3.0,Jumper,1,False
1035,138,336,Kevin Durant,Draymond Green,628.0,Warriors,Knicks,-2,0,0,2.0,Dunk,1,True
1037,140,340,Klay Thompson,None,595.0,Warriors,Knicks,-5,0,19,2.0,Jumper,1,False
1038,141,342,Mario Hezonja,Andre Iguodala,588.0,Warriors,Knicks,5,1,0,2.0,Layup,0,False
1039,142,345,Klay Thompson,None,568.0,Warriors,Knicks,-5,0,26,3.0,Jumper,1,False
1041,144,349,Kevin Durant,None,549.0,Warriors,Knicks,-3,0,0,2.0,Layup,1,True
1042,145,354,Draymond Green,Kevin Durant,521.0,Warriors,Knicks,0,0,0,2.0,Layup,1,True
1044,147,357,Kevin Durant,None,495.0,Warriors,Knicks,2,0,0,2.0,Layup,1,True
1046,149,363,Kevin Durant,None,447.0,Warriors,Knicks,1,0,11,2.0,Jumper,1,True
1048,151,366,Kevin Durant,None,423.0,Warriors,Knicks,4,0,26,3.0,Jumper,1,True
1050,153,368,Kevin Durant,None,391.0,Warriors,Knicks,2,0,27,3.0,Jumper,1,False
1051,154,370,Draymond Green,None,390.0,Warriors,Knicks,4,0, ,2.0,Jumper,1,True
1053,156,373,Kevin Durant,None,357.0,Warriors,Knicks,6,0, ,2.0,Jumper,1,True
1054,157,375,Klay Thompson,Andre Iguodala,332.0,Warriors,Knicks,8,0,0,2.0,Layup,1,True
1056,159,384,Kevin Durant,None,296.0,Warriors,Knicks,10,0,20,2.0,Jumper,1,True
1057,160,387,Draymond Green,Kevin Durant,274.0,Warriors,Knicks,13,0,26,3.0,Jumper,1,True
1059,162,390,Alfonzo McKinnie,Draymond Green,239.0,Warriors,Knicks,16,0,26,3.0,Jumper,1,True
1061,164,394,Kevin Durant,None,191.0,Warriors,Knicks,17,0,26,3.0,Jumper,1,True
1063,166,397,Kevin Durant,None,162.0,Warriors,Knicks,20,0,29,3.0,Jumper,1,True
1065,168,399,Kevin Durant,None,132.0,Warriors,Knicks,18,0,36,3.0,Jumper,1,False
1066,169,401,Stephen Curry,None,130.0,Warriors,Knicks,21,0,26,3.0,Jumper,1,True
1067,170,409,Mitchell Robinson,Jordan Bell,109.0,Warriors,Knicks,-21,1,0,2.0,Layup,0,False
1068,171,411,Quinn Cook,None,89.0,Warriors,Knicks,21,0,26,3.0,Jumper,1,False
1069,172,414,Jonas Jerebko,Jacob Evans,72.0,Warriors,Knicks,24,0,27,3.0,Jumper,1,True
1070,173,416,Alfonzo McKinnie,Jacob Evans,50.4,Warriors,Knicks,26,0,22,2.0,Jumper,1,True
1072,175,419,Jonas Jerebko,None,23.8,Warriors,Knicks,26,0,23,3.0,Jumper,1,False
1073,176,421,Alfonzo McKinnie,None,21.7,Warriors,Knicks,28,0,1,2.0,Jumper,1,True
7173,1,5,Kevin Durant,None,2838.0,Warriors,Knicks,-3,1,24,3.0,Jumper,1,False
7175,3,9,Stephen Curry,None,2819.0,Warriors,Knicks,-3,1,9,2.0,Jumper,1,False
7176,4,12,Kevin Durant,Draymond Green,2791.0,Warriors,Knicks,-1,1,16,2.0,Jumper,1,True
7177,5,14,Kevon Looney,Kevin Durant,2767.0,Warriors,Knicks,1,1,0,2.0,Dunk,1,True
7178,6,18,Draymond Green,Stephen Curry,2736.0,Warriors,Knicks,1,1,9,2.0,Jumper,1,True
7180,8,20,Kevin Durant,Draymond Green,2711.0,Warriors,Knicks,1,1,14,2.0,Jumper,1,True
